"Step","a3c_Qbert_runseed=0 - training/episode/reward","a3c_Qbert_runseed=0 - training/episode/reward__MIN","a3c_Qbert_runseed=0 - training/episode/reward__MAX"
"189024","100","100","100"
"189088","125","125","125"
"189504","275","275","275"
"190368","50","50","50"
"191104","0","0","0"
"191296","150","150","150"
"191584","225","225","225"
"192704","225","225","225"
"194912","500","500","500"
"194976","125","125","125"
"195008","0","0","0"
"196416","250","250","250"
"197248","150","150","150"
"197376","125","125","125"
"198112","225","225","225"
"198400","200","200","200"
"198624","175","175","175"
"198752","425","425","425"
"198912","275","275","275"
"199840","200","200","200"
"201408","75","75","75"
"201440","175","175","175"
"203328","275","275","275"
"203456","250","250","250"
"204352","250","250","250"
"204416","175","175","175"
"204608","50","50","50"
"205152","325","325","325"
"205440","225","225","225"
"206240","225","225","225"
"206752","150","150","150"
"206944","100","100","100"
"206976","75","75","75"
"207040","125","125","125"
"207296","50","50","50"
"207872","300","300","300"
"207936","0","0","0"
"208416","325","325","325"
"210368","325","325","325"
"210656","200","200","200"
"210880","50","50","50"
"210976","325","325","325"
"211712","475","475","475"
"212416","200","200","200"
"214432","350","350","350"
"216640","150","150","150"
"216832","275","275","275"
"216864","125","125","125"
"217408","275","275","275"
"217760","175","175","175"
"219104","175","175","175"
"219232","200","200","200"
"219552","250","250","250"
"221280","275","275","275"
"222528","225","225","225"
"223488","150","150","150"
"223776","300","300","300"
"224032","475","475","475"
"224288","100","100","100"
"226496","250","250","250"
"227712","575","575","575"
"228768","250","250","250"
"228832","125","125","125"
"229312","225","225","225"
"232544","375","375","375"
"232928","125","125","125"
"232960","200","200","200"
"235040","500","500","500"
"235744","100","100","100"
"236128","125","125","125"
"236352","50","50","50"
"237152","25","25","25"
"237536","375","375","375"
"238048","75","75","75"
"238400","50","50","50"
"238624","650","650","650"
"240480","0","0","0"
"241056","125","125","125"
"242912","600","600","600"
"243104","25","25","25"
"243424","400","400","400"
"244576","200","200","200"
"245344","100","100","100"
"245600","150","150","150"
"245792","325","325","325"
"246400","150","150","150"
"246464","700","700","700"
"247200","75","75","75"
"247360","0","0","0"
"247904","125","125","125"
"248352","175","175","175"
"248576","250","250","250"
"248768","75","75","75"
"249216","200","200","200"
"249568","175","175","175"
"251904","100","100","100"
"251968","225","225","225"
"252000","250","250","250"
"253120","0","0","0"
"253504","250","250","250"
"254400","175","175","175"
"254976","50","50","50"
"255104","250","250","250"
"255488","275","275","275"
"256064","50","50","50"
"256640","275","275","275"
"258048","175","175","175"
"258560","550","550","550"
"260096","125","125","125"
"260256","225","225","225"
"260480","600","600","600"
"260896","125","125","125"
"263136","175","175","175"
"263488","325","325","325"
"263712","275","275","275"
"264992","275","275","275"
"265792","275","275","275"
"265824","375","375","375"
"265888","50","50","50"
"266080","225","225","225"
"266272","125","125","125"
"266560","150","150","150"
"268736","300","300","300"
"271136","175","175","175"
"271264","225","225","225"
"272064","125","125","125"
"272192","250","250","250"
"272608","150","150","150"
"272928","125","125","125"
"273088","200","200","200"
"273280","325","325","325"
"273600","350","350","350"
"274848","100","100","100"
"274880","175","175","175"
"276224","175","175","175"
"276736","50","50","50"
"277184","150","150","150"
"277664","200","200","200"
"277792","175","175","175"
"277888","175","175","175"
"280352","125","125","125"
"281056","225","225","225"
"282752","150","150","150"
"282880","225","225","225"
"284224","325","325","325"
"285184","200","200","200"
"285408","250","250","250"
"286624","250","250","250"
"286816","125","125","125"
"287072","500","500","500"
"287520","225","225","225"
"288032","275","275","275"
"288800","200","200","200"
"288960","250","250","250"
"289152","225","225","225"
"289984","175","175","175"
"290016","0","0","0"
"290272","125","125","125"
"290784","325","325","325"
"291104","200","200","200"
"291456","150","150","150"
"292544","200","200","200"
"293376","175","175","175"
"295808","225","225","225"
"296032","150","150","150"
"296800","300","300","300"
"297440","300","300","300"
"297984","300","300","300"
"298176","150","150","150"
"299552","300","300","300"
"300288","225","225","225"
"300928","25","25","25"
"302016","200","200","200"
"302112","300","300","300"
"302240","50","50","50"
"302912","225","225","225"
"304064","150","150","150"
"304576","325","325","325"
"306048","175","175","175"
"306240","325","325","325"
"306496","200","200","200"
"306880","225","225","225"
"307072","325","325","325"
"308192","175","175","175"
"309056","175","175","175"
"310816","175","175","175"
"311232","325","325","325"
"311264","300","300","300"
"311968","250","250","250"
"314016","300","300","300"
"314784","225","225","225"
"315360","250","250","250"
"316224","150","150","150"
"316576","200","200","200"
"317472","125","125","125"
"318688","500","500","500"
"318880","275","275","275"
"319968","375","375","375"
"320160","350","350","350"
