"Step","a3c_Qbert_runseed=0 - training/episode/reward","a3c_Qbert_runseed=0 - training/episode/reward__MIN","a3c_Qbert_runseed=0 - training/episode/reward__MAX"
"13463584","725","725","725"
"13464832","750","750","750"
"13465472","575","575","575"
"13466176","700","700","700"
"13466240","725","725","725"
"13467744","725","725","725"
"13469088","725","725","725"
"13469344","725","725","725"
"13469664","750","750","750"
"13470272","700","700","700"
"13472192","675","675","675"
"13472352","800","800","800"
"13472416","750","750","750"
"13473728","750","750","750"
"13473920","675","675","675"
"13475808","675","675","675"
"13476000","675","675","675"
"13476416","650","650","650"
"13477280","775","775","775"
"13477920","700","700","700"
"13478016","750","750","750"
"13481504","650","650","650"
"13481952","4600","4600","4600"
"13485088","750","750","750"
"13485536","725","725","725"
"13486528","775","775","775"
"13487008","675","675","675"
"13487872","750","750","750"
"13489760","675","675","675"
"13489824","700","700","700"
"13489984","4075","4075","4075"
"13490624","775","775","775"
"13491392","750","750","750"
"13491776","650","650","650"
"13493536","750","750","750"
"13494144","600","600","600"
"13494688","750","750","750"
"13496032","700","700","700"
"13496096","775","775","775"
"13498816","675","675","675"
"13501120","700","700","700"
"13501536","4050","4050","4050"
"13501920","750","750","750"
"13503744","800","800","800"
"13504672","725","725","725"
"13505184","775","775","775"
"13505632","725","725","725"
"13508448","750","750","750"
"13508576","800","800","800"
"13508960","725","725","725"
"13509312","725","725","725"
"13509504","800","800","800"
"13511168","775","775","775"
"13512320","775","775","775"
"13512800","750","750","750"
"13513216","750","750","750"
"13513376","700","700","700"
"13514272","1250","1250","1250"
"13515360","650","650","650"
"13517568","750","750","750"
"13518592","625","625","625"
"13519264","300","300","300"
"13520160","225","225","225"
"13520320","700","700","700"
"13520864","625","625","625"
"13522752","850","850","850"
"13524032","750","750","750"
"13524480","725","725","725"
"13524640","625","625","625"
"13526176","725","725","725"
"13529120","650","650","650"
"13529312","650","650","650"
"13531072","700","700","700"
"13531680","600","600","600"
"13532320","650","650","650"
"13533216","675","675","675"
"13533440","525","525","525"
"13534848","750","750","750"
"13535072","725","725","725"
"13535456","725","725","725"
"13537216","675","675","675"
"13538048","1275","1275","1275"
"13540512","775","775","775"
"13540608","800","800","800"
"13540640","750","750","750"
"13541120","750","750","750"
"13542336","625","625","625"
"13542784","725","725","725"
"13545280","725","725","725"
"13545600","725","725","725"
"13546176","800","800","800"
"13546688","4050","4050","4050"
"13547104","725","725","725"
"13547424","675","675","675"
"13548128","725","725","725"
"13550304","800","800","800"
"13550784","700","700","700"
"13551520","800","800","800"
"13551936","800","800","800"
"13552256","725","725","725"
"13553792","750","750","750"
"13553920","650","650","650"
"13554304","775","775","775"
"13555520","775","775","775"
"13556800","800","800","800"
"13558656","750","750","750"
"13558880","775","775","775"
"13559488","725","725","725"
"13560064","700","700","700"
"13560448","700","700","700"
"13562304","4050","4050","4050"
"13563136","600","600","600"
"13566976","675","675","675"
"13568160","825","825","825"
"13568192","675","675","675"
"13568320","700","700","700"
"13568832","775","775","775"
"13570432","1275","1275","1275"
"13571584","650","650","650"
"13571616","775","775","775"
"13572256","675","675","675"
"13573408","775","775","775"
"13573632","775","775","775"
"13573984","725","725","725"
"13574592","725","725","725"
"13576320","750","750","750"
"13579360","700","700","700"
"13582400","750","750","750"
"13582528","700","700","700"
"13582944","750","750","750"
"13583808","250","250","250"
"13584608","725","725","725"
"13586720","725","725","725"
"13589440","650","650","650"
"13589984","4050","4050","4050"
"13591168","700","700","700"
"13591200","700","700","700"
"13591232","600","600","600"
"13592128","725","725","725"
"13592416","750","750","750"
"13593120","725","725","725"
"13593632","750","750","750"
"13595552","725","725","725"
"13596288","4050","4050","4050"
"13596704","650","650","650"
"13597824","1300","1300","1300"
"13598304","725","725","725"
"13599840","275","275","275"
"13599872","775","775","775"
"13599968","800","800","800"
"13600352","725","725","725"
"13601664","4675","4675","4675"
"13601792","775","775","775"
"13604896","600","600","600"
"13605408","725","725","725"
"13607808","750","750","750"
"13609504","800","800","800"
"13609824","700","700","700"
"13609984","600","600","600"
"13610560","750","750","750"
"13611904","725","725","725"
"13612320","725","725","725"
"13613152","675","675","675"
"13613888","600","600","600"
"13616192","1250","1250","1250"
"13616544","750","750","750"
"13618272","675","675","675"
"13618688","800","800","800"
"13618912","775","775","775"
"13619456","600","600","600"
"13620160","725","725","725"
"13620512","800","800","800"
"13623552","750","750","750"
"13624032","775","775","775"
"13624128","625","625","625"
"13625568","725","725","725"
"13626400","825","825","825"
"13627168","750","750","750"
"13629056","725","725","725"
"13629632","675","675","675"
"13630048","725","725","725"
"13631296","800","800","800"
"13631552","725","725","725"
"13633088","775","775","775"
"13633440","775","775","775"
"13633696","700","700","700"
"13633888","775","775","775"
"13634144","675","675","675"
"13635456","750","750","750"
"13635712","775","775","775"
"13639456","700","700","700"
"13639872","750","750","750"
"13643872","1300","1300","1300"
"13644064","700","700","700"
"13644480","750","750","750"
"13645152","550","550","550"
"13647616","300","300","300"
"13648256","750","750","750"
"13649920","675","675","675"
"13650048","675","675","675"
"13650112","775","775","775"
"13650272","725","725","725"
"13654592","750","750","750"
"13655040","775","775","775"
"13655200","725","725","725"
"13657184","725","725","725"
"13657792","750","750","750"
"13658208","825","825","825"
"13658816","700","700","700"
"13658880","725","725","725"
"13658912","375","375","375"
"13661536","775","775","775"
"13663552","675","675","675"
"13663808","700","700","700"
"13665408","800","800","800"
"13665888","725","725","725"
"13666976","775","775","775"
"13669376","750","750","750"
"13671168","700","700","700"
"13671488","675","675","675"
"13673952","675","675","675"
"13674144","750","750","750"
"13674400","650","650","650"
"13675968","725","725","725"
"13676000","125","125","125"
"13676672","675","675","675"
"13677504","725","725","725"
"13677792","750","750","750"
"13678080","650","650","650"
"13678528","1300","1300","1300"
"13678656","675","675","675"
"13679776","725","725","725"
"13680768","775","775","775"
"13682592","600","600","600"
"13683712","625","625","625"
"13688608","4450","4450","4450"
"13689440","750","750","750"
"13689728","750","750","750"
"13692352","775","775","775"
"13692864","750","750","750"
"13693696","775","775","775"
"13693920","600","600","600"
"13694304","750","750","750"
"13694336","750","750","750"
"13695456","725","725","725"
"13695968","800","800","800"
"13696800","800","800","800"
"13696832","700","700","700"
"13697184","700","700","700"
"13699552","700","700","700"
"13699680","775","775","775"
"13699712","750","750","750"
"13700128","675","675","675"
"13701856","4000","4000","4000"
"13703904","725","725","725"
"13703968","750","750","750"
"13704960","750","750","750"
"13705952","4075","4075","4075"
"13706112","725","725","725"
"13708096","1250","1250","1250"
"13708288","650","650","650"
"13708448","675","675","675"
"13708992","700","700","700"
"13709376","3925","3925","3925"
"13710272","750","750","750"
"13710432","775","775","775"
"13710912","700","700","700"
"13712096","675","675","675"
"13713056","675","675","675"
"13714560","650","650","650"
"13715840","750","750","750"
"13715968","775","775","775"
"13717184","800","800","800"
"13719936","675","675","675"
"13719968","575","575","575"
"13720160","4550","4550","4550"
"13720352","725","725","725"
"13721344","725","725","725"
"13722272","775","775","775"
"13722400","825","825","825"
"13722944","700","700","700"
"13723104","650","650","650"
"13723552","725","725","725"
"13723616","825","825","825"
"13723712","675","675","675"
"13726592","800","800","800"
"13726976","725","725","725"
"13728128","775","775","775"
"13728192","675","675","675"
"13731200","700","700","700"
"13731648","650","650","650"
"13733344","650","650","650"
"13733504","750","750","750"
"13735232","750","750","750"
"13736000","200","200","200"
"13736160","625","625","625"
"13736544","800","800","800"
"13736864","650","650","650"
"13737792","700","700","700"
"13738848","800","800","800"
"13738880","650","650","650"
"13739552","725","725","725"
"13739968","825","825","825"
"13740352","750","750","750"
"13741952","600","600","600"
"13742112","700","700","700"
"13742240","750","750","750"
"13743712","600","600","600"
"13744416","775","775","775"
"13745184","200","200","200"
"13747008","700","700","700"
"13748896","675","675","675"
"13751392","675","675","675"
"13751584","675","675","675"
"13753568","1275","1275","1275"
"13754752","750","750","750"
"13756128","625","625","625"
"13756160","775","775","775"
"13756576","750","750","750"
"13756800","1275","1275","1275"
"13756992","750","750","750"
"13757216","800","800","800"
"13760064","625","625","625"
"13760832","750","750","750"
"13761344","750","750","750"
"13761536","775","775","775"
"13764576","700","700","700"
"13764672","625","625","625"
"13765600","700","700","700"
"13766752","650","650","650"
"13768480","725","725","725"
"13768704","700","700","700"
"13768800","1325","1325","1325"
"13769056","650","650","650"
"13769280","700","700","700"
"13770432","725","725","725"
"13771296","700","700","700"
"13773696","775","775","775"
"13774528","700","700","700"
"13776096","825","825","825"
"13776640","775","775","775"
"13777728","750","750","750"
"13781152","775","775","775"
"13781472","650","650","650"
"13782080","700","700","700"
"13782496","575","575","575"
"13783008","700","700","700"
"13784128","725","725","725"
"13785120","775","775","775"
"13785472","750","750","750"
"13786240","725","725","725"
"13787904","650","650","650"
"13788128","650","650","650"
"13788832","650","650","650"
"13789824","1275","1275","1275"
"13792992","825","825","825"
"13795104","725","725","725"
"13795744","1225","1225","1225"
"13796096","700","700","700"
"13796640","725","725","725"
"13796864","750","750","750"
"13797280","700","700","700"
"13797632","775","775","775"
"13800000","700","700","700"
"13800416","675","675","675"
"13800448","775","775","775"
"13800704","725","725","725"
"13801088","775","775","775"
"13803808","800","800","800"
"13804064","725","725","725"
"13804544","675","675","675"
"13805952","725","725","725"
"13809056","625","625","625"
"13810048","675","675","675"
"13810208","725","725","725"
"13810272","225","225","225"
"13811488","575","575","575"
"13812096","800","800","800"
"13813088","650","650","650"
"13813664","800","800","800"
"13814816","675","675","675"
"13815616","775","775","775"
"13816160","650","650","650"
"13816352","600","600","600"
"13817632","675","675","675"
"13818432","650","650","650"
"13819616","700","700","700"
"13819648","1275","1275","1275"
"13820544","800","800","800"
"13821024","650","650","650"
"13823936","725","725","725"
"13824576","775","775","775"
"13826752","800","800","800"
"13827552","725","725","725"
"13828480","650","650","650"
"13828512","750","750","750"
"13829952","350","350","350"
"13830112","1250","1250","1250"
"13831264","700","700","700"
"13831392","700","700","700"
"13832800","725","725","725"
"13833472","725","725","725"
"13835200","800","800","800"
"13835360","750","750","750"
"13835488","750","750","750"
"13836640","3925","3925","3925"
"13838752","825","825","825"
"13840032","1275","1275","1275"
"13840672","775","775","775"
"13842048","725","725","725"
"13842656","550","550","550"
"13842688","675","675","675"
"13842784","675","675","675"
"13843168","1275","1275","1275"
"13843616","700","700","700"
"13846560","775","775","775"
"13846976","800","800","800"
"13848896","4075","4075","4075"
"13849856","700","700","700"
"13850560","600","600","600"
"13850848","725","725","725"
"13852224","700","700","700"
"13853376","700","700","700"
"13855488","675","675","675"
"13855680","675","675","675"
"13855904","775","775","775"
"13858144","625","625","625"
"13858720","675","675","675"
"13858880","150","150","150"
"13862080","4700","4700","4700"
"13863296","800","800","800"
"13863872","725","725","725"
"13864448","750","750","750"
"13865728","800","800","800"
"13866016","4050","4050","4050"
"13868416","725","725","725"
"13868576","750","750","750"
"13869376","775","775","775"
"13870656","4050","4050","4050"
"13870880","825","825","825"
"13870912","675","675","675"
"13872288","700","700","700"
"13873888","675","675","675"
"13873920","800","800","800"
"13874080","750","750","750"
"13875616","650","650","650"
"13876000","700","700","700"
"13876704","775","775","775"
"13876736","775","775","775"
"13876768","775","775","775"
"13877920","700","700","700"
"13879104","750","750","750"
"13880352","725","725","725"
"13881088","750","750","750"
"13881280","725","725","725"
"13882848","775","775","775"
"13883904","625","625","625"
"13884864","775","775","775"
"13884992","675","675","675"
"13885248","775","775","775"
"13885856","675","675","675"
"13888800","1275","1275","1275"
"13889056","675","675","675"
"13892448","725","725","725"
"13893088","575","575","575"
"13893472","725","725","725"
"13894528","725","725","725"
"13894624","750","750","750"
"13897024","675","675","675"
"13902336","775","775","775"
"13902432","800","800","800"
"13905024","700","700","700"
"13905280","650","650","650"
"13905312","725","725","725"
"13906016","700","700","700"
"13907200","700","700","700"
"13907744","700","700","700"
"13912320","750","750","750"
"13912544","750","750","750"
"13912608","4050","4050","4050"
"13912960","775","775","775"
"13913056","675","675","675"
"13913376","725","725","725"
"13913600","775","775","775"
"13914816","750","750","750"
"13915264","625","625","625"
"13916192","650","650","650"
"13917024","700","700","700"
"13917440","625","625","625"
"13920000","1275","1275","1275"
"13922336","700","700","700"
"13922464","4050","4050","4050"
"13923648","775","775","775"
"13924832","750","750","750"
"13925568","675","675","675"
"13926976","675","675","675"
"13927776","750","750","750"
"13928928","750","750","750"
"13929280","750","750","750"
"13929760","725","725","725"
"13930144","725","725","725"
"13931264","725","725","725"
"13932608","750","750","750"
"13935200","775","775","775"
"13935328","1275","1275","1275"
"13937504","775","775","775"
"13938336","800","800","800"
"13938944","1250","1250","1250"
"13939104","725","725","725"
"13940192","775","775","775"
"13940928","725","725","725"
"13941440","750","750","750"
"13943616","1300","1300","1300"
"13943808","725","725","725"
"13944160","775","775","775"
"13944416","4525","4525","4525"
"13947264","800","800","800"
"13947328","725","725","725"
"13947616","750","750","750"
"13947808","625","625","625"
"13947936","725","725","725"
"13948992","700","700","700"
"13949856","700","700","700"
"13950752","675","675","675"
"13951584","1275","1275","1275"
"13952352","675","675","675"
"13953088","700","700","700"
"13953824","725","725","725"
"13954720","700","700","700"
"13954752","725","725","725"
"13956032","725","725","725"
"13956448","700","700","700"
"13957088","750","750","750"
"13960448","4425","4425","4425"
"13960960","700","700","700"
"13963392","775","775","775"
"13963808","700","700","700"
"13966816","700","700","700"
"13967488","725","725","725"
"13968256","675","675","675"
"13968448","1200","1200","1200"
"13968608","800","800","800"
"13968992","1300","1300","1300"
"13969600","750","750","750"
"13969760","800","800","800"
"13970880","750","750","750"
"13971264","750","750","750"
"13971904","750","750","750"
"13976640","800","800","800"
"13978528","800","800","800"
"13979392","750","750","750"
"13979456","650","650","650"
"13979808","775","775","775"
"13979904","675","675","675"
"13981824","750","750","750"
"13982592","725","725","725"
"13982848","725","725","725"
"13983712","1275","1275","1275"
"13984800","625","625","625"
"13985184","775","775","775"
"13985472","675","675","675"
"13986592","750","750","750"
"13987808","750","750","750"
"13988352","675","675","675"
"13988512","750","750","750"
"13989120","775","775","775"
"13990240","650","650","650"
"13991104","725","725","725"
"13993152","625","625","625"
"13993344","725","725","725"
"13993440","650","650","650"
"13994400","725","725","725"
"13994592","775","775","775"
"13995904","775","775","775"
"13997472","675","675","675"
"13997920","650","650","650"
"13997984","700","700","700"
"13999040","775","775","775"
"13999072","650","650","650"
"13999456","1775","1775","1775"
"14000544","1250","1250","1250"
"14001376","625","625","625"
"14003040","675","675","675"
"14003424","700","700","700"
"14004288","800","800","800"
"14005440","1200","1200","1200"
"14006240","675","675","675"
"14007040","575","575","575"
"14008128","400","400","400"
"14009376","700","700","700"
"14009792","750","750","750"
"14010080","775","775","775"
"14011840","675","675","675"
"14011936","675","675","675"
"14012320","750","750","750"
"14014208","600","600","600"
"14014272","575","575","575"
"14014944","675","675","675"
"14015712","750","750","750"
"14016192","725","725","725"
"14016928","3950","3950","3950"
"14016960","800","800","800"
"14018816","750","750","750"
"14020096","775","775","775"
"14021824","775","775","775"
"14021920","750","750","750"
"14022528","775","775","775"
"14022784","700","700","700"
"14023168","1300","1300","1300"
"14023872","700","700","700"
"14023904","750","750","750"
"14024800","725","725","725"
"14028640","725","725","725"
"14028864","800","800","800"
"14029696","675","675","675"
"14029920","675","675","675"
"14030496","750","750","750"
"14030816","675","675","675"
"14032352","700","700","700"
"14033376","825","825","825"
"14034464","575","575","575"
"14034560","700","700","700"
"14034912","800","800","800"
"14035840","725","725","725"
"14037888","775","775","775"
"14038144","700","700","700"
"14040800","750","750","750"
"14042272","700","700","700"
"14043360","675","675","675"
"14045024","775","775","775"
"14046016","800","800","800"
"14046144","725","725","725"
"14046528","675","675","675"
"14046688","1275","1275","1275"
"14048000","1250","1250","1250"
"14048032","650","650","650"
"14049248","650","650","650"
"14049664","750","750","750"
"14050368","675","675","675"
"14050976","1250","1250","1250"
"14051296","800","800","800"
"14052640","1225","1225","1225"
"14053856","750","750","750"
"14054208","750","750","750"
"14056064","700","700","700"
"14058720","700","700","700"
"14060288","750","750","750"
"14060352","575","575","575"
"14061984","725","725","725"
"14062048","725","725","725"
"14063136","700","700","700"
"14063424","725","725","725"
"14064032","750","750","750"
"14064320","725","725","725"
"14065984","750","750","750"
"14066304","750","750","750"
"14066336","675","675","675"
"14068736","725","725","725"
"14068960","700","700","700"
"14069152","750","750","750"
"14069312","750","750","750"
"14072928","700","700","700"
"14073152","700","700","700"
"14074880","650","650","650"
"14075680","750","750","750"
"14076032","1250","1250","1250"
"14076448","675","675","675"
"14077280","700","700","700"
"14077888","750","750","750"
"14078464","675","675","675"
"14079104","775","775","775"
"14079296","700","700","700"
"14082240","775","775","775"
"14082720","750","750","750"
"14085024","675","675","675"
"14086080","775","775","775"
"14086688","4075","4075","4075"
"14088320","800","800","800"
"14088448","4250","4250","4250"
"14089952","750","750","750"
"14090624","750","750","750"
"14090880","775","775","775"
"14091424","1300","1300","1300"
"14092000","725","725","725"
"14093472","725","725","725"
"14094208","700","700","700"
"14094624","1225","1225","1225"
"14094816","675","675","675"
"14095136","775","775","775"
"14095200","700","700","700"
"14095904","625","625","625"
"14096064","650","650","650"
"14097888","3950","3950","3950"
"14098016","4100","4100","4100"
"14099232","675","675","675"
"14101696","700","700","700"
"14102944","775","775","775"
"14105920","725","725","725"
"14106368","800","800","800"
"14107328","725","725","725"
"14107392","650","650","650"
"14108512","800","800","800"
"14108640","625","625","625"
"14110112","625","625","625"
"14110624","4550","4550","4550"
"14110752","625","625","625"
"14111456","750","750","750"
"14112544","1275","1275","1275"
"14112704","3925","3925","3925"
"14112896","4050","4050","4050"
"14114432","675","675","675"
"14115232","825","825","825"
"14115776","775","775","775"
"14121312","1300","1300","1300"
"14121408","750","750","750"
"14121632","675","675","675"
"14122112","750","750","750"
"14122816","450","450","450"
"14122880","675","675","675"
"14123616","750","750","750"
"14124352","700","700","700"
"14124416","700","700","700"
"14125248","675","675","675"
"14125952","1200","1200","1200"
"14125984","750","750","750"
"14126656","700","700","700"
"14126752","750","750","750"
"14127808","725","725","725"
"14128640","675","675","675"
"14128864","625","625","625"
"14129248","675","675","675"
"14131168","725","725","725"
"14133600","800","800","800"
"14133696","675","675","675"
"14133728","725","725","725"
"14134080","800","800","800"
"14134656","225","225","225"
"14134976","700","700","700"
"14137024","700","700","700"
"14137760","825","825","825"
"14137952","625","625","625"
"14139552","425","425","425"
"14139808","1275","1275","1275"
"14140160","700","700","700"
"14141024","800","800","800"
"14141312","775","775","775"
"14141376","400","400","400"
"14142048","725","725","725"
"14142176","750","750","750"
"14143136","4425","4425","4425"
"14144288","750","750","750"
"14146656","600","600","600"
"14146784","725","725","725"
"14147200","675","675","675"
"14147904","775","775","775"
"14148928","775","775","775"
"14151744","675","675","675"
"14151776","1300","1300","1300"
"14153120","450","450","450"
"14153920","4125","4125","4125"
"14154304","675","675","675"
"14154944","750","750","750"
"14158272","775","775","775"
"14158304","3925","3925","3925"
"14160928","1225","1225","1225"
"14162208","4575","4575","4575"
"14162560","1275","1275","1275"
"14164480","800","800","800"
"14164576","675","675","675"
"14165504","725","725","725"
"14165920","800","800","800"
"14167008","725","725","725"
"14170272","725","725","725"
"14170912","750","750","750"
"14171008","675","675","675"
"14171360","650","650","650"
"14171584","750","750","750"
"14171936","800","800","800"
"14172096","775","775","775"
"14173120","650","650","650"
"14173440","775","775","775"
"14173696","700","700","700"
"14175136","550","550","550"
"14175328","750","750","750"
"14176000","725","725","725"
"14177312","750","750","750"
"14177536","700","700","700"
"14177920","750","750","750"
"14178752","1250","1250","1250"
"14181216","725","725","725"
"14181824","700","700","700"
"14182208","775","775","775"
"14183520","800","800","800"
"14183712","750","750","750"
"14184032","800","800","800"
"14186048","700","700","700"
"14186560","800","800","800"
"14187200","725","725","725"
"14188736","725","725","725"
"14189056","3925","3925","3925"
"14190720","750","750","750"
"14191456","725","725","725"
"14192128","725","725","725"
"14192448","1250","1250","1250"
"14192800","750","750","750"
"14194496","675","675","675"
"14195392","825","825","825"
"14197280","800","800","800"
"14197664","700","700","700"
"14198752","650","650","650"
"14198784","750","750","750"
"14198944","700","700","700"
"14200160","800","800","800"
"14200256","725","725","725"
"14201408","750","750","750"
"14201536","675","675","675"
"14202336","750","750","750"
"14203520","725","725","725"
"14203872","800","800","800"
"14203936","675","675","675"
"14205568","700","700","700"
"14206016","750","750","750"
"14206976","1325","1325","1325"
"14207552","750","750","750"
"14208512","725","725","725"
"14209568","750","750","750"
"14210912","800","800","800"
"14212192","650","650","650"
"14212544","675","675","675"
"14212768","700","700","700"
"14214368","775","775","775"
"14214592","225","225","225"
"14216864","725","725","725"
"14218688","725","725","725"
"14219424","700","700","700"
"14221376","725","725","725"
"14224512","725","725","725"
"14225600","700","700","700"
"14225696","750","750","750"
"14225888","750","750","750"
"14226304","225","225","225"
"14227232","750","750","750"
"14227392","725","725","725"
"14228416","725","725","725"
"14228768","750","750","750"
"14229408","650","650","650"
"14232000","750","750","750"
"14232032","1275","1275","1275"
"14233248","825","825","825"
"14234176","625","625","625"
"14234912","750","750","750"
"14235104","775","775","775"
"14235904","700","700","700"
"14236224","650","650","650"
"14240640","700","700","700"
"14241120","700","700","700"
"14241696","825","825","825"
"14241728","775","775","775"
"14242496","800","800","800"
"14243488","750","750","750"
"14244608","750","750","750"
"14246656","625","625","625"
"14246784","675","675","675"
"14248256","800","800","800"
"14248608","775","775","775"
"14248800","625","625","625"
"14248864","725","725","725"
"14249440","675","675","675"
"14252352","775","775","775"
"14253248","600","600","600"
"14253280","800","800","800"
"14254016","750","750","750"
"14254848","800","800","800"
"14255424","475","475","475"
"14255488","700","700","700"
"14257312","775","775","775"
"14257728","700","700","700"
"14260000","650","650","650"
"14260928","700","700","700"
"14261056","650","650","650"
"14261888","750","750","750"
"14263264","775","775","775"
"14263296","750","750","750"
"14264448","800","800","800"
"14264768","825","825","825"
"14265216","675","675","675"
"14266912","775","775","775"
"14267104","725","725","725"
"14273536","725","725","725"
"14273664","725","725","725"
"14273824","625","625","625"
"14274432","725","725","725"
"14274848","700","700","700"
"14275040","700","700","700"
"14275936","750","750","750"
"14276352","750","750","750"
"14276672","725","725","725"
"14277408","775","775","775"
"14277728","750","750","750"
"14278592","350","350","350"
"14279360","3950","3950","3950"
"14279648","800","800","800"
"14281504","800","800","800"
"14281696","750","750","750"
"14282688","825","825","825"
"14283136","750","750","750"
"14284576","800","800","800"
"14284960","775","775","775"
"14285632","700","700","700"
"14285696","700","700","700"
"14286080","675","675","675"
"14287040","750","750","750"
"14289632","700","700","700"
"14289728","775","775","775"
"14289792","750","750","750"
"14291296","750","750","750"
"14291552","800","800","800"
"14292544","4025","4025","4025"
"14293120","725","725","725"
"14294528","800","800","800"
"14295168","750","750","750"
"14295328","675","675","675"
"14295424","750","750","750"
"14299520","800","800","800"
"14299552","750","750","750"
"14299936","725","725","725"
"14300832","750","750","750"
"14302080","750","750","750"
"14302880","600","600","600"
"14304320","675","675","675"
"14306048","775","775","775"
"14306272","675","675","675"
"14306848","775","775","775"
"14307744","575","575","575"
"14308416","750","750","750"
"14308672","775","775","775"
"14309216","750","750","750"
"14309280","725","725","725"
"14309664","775","775","775"
"14309696","725","725","725"
"14310400","750","750","750"
"14310624","1300","1300","1300"
"14311008","775","775","775"
"14311136","775","775","775"
"14311168","775","775","775"
"14312160","625","625","625"
"14315168","575","575","575"
"14317504","775","775","775"
"14318304","625","625","625"
"14319488","700","700","700"
"14320000","775","775","775"
"14320480","750","750","750"
"14320928","675","675","675"
"14320960","625","625","625"
"14321856","725","725","725"
"14322560","725","725","725"
"14323488","775","775","775"
"14324480","700","700","700"
"14324896","750","750","750"
"14326688","700","700","700"
"14327392","725","725","725"
"14328640","675","675","675"
"14329504","675","675","675"
"14330560","325","325","325"
"14331168","725","725","725"
"14331776","775","775","775"
"14332096","650","650","650"
"14333216","650","650","650"
"14333984","625","625","625"
"14334496","725","725","725"
"14334528","725","725","725"
"14334624","700","700","700"
"14335200","650","650","650"
"14336160","775","775","775"
"14336512","675","675","675"
"14336736","700","700","700"
"14339488","725","725","725"
"14339968","800","800","800"
"14342176","625","625","625"
"14342496","700","700","700"
"14344064","725","725","725"
"14345888","775","775","775"
"14348864","4050","4050","4050"
"14349024","750","750","750"
"14349664","700","700","700"
"14350048","750","750","750"
"14350784","725","725","725"
"14351392","800","800","800"
"14353312","750","750","750"
"14354400","1275","1275","1275"
"14354752","700","700","700"
"14354848","750","750","750"
"14355904","750","750","750"
"14356352","650","650","650"
"14358176","800","800","800"
"14358464","775","775","775"
"14358496","1300","1300","1300"
"14358784","725","725","725"
"14358912","675","675","675"
"14359488","775","775","775"
"14360096","675","675","675"
"14362528","700","700","700"
"14362784","725","725","725"
"14362912","675","675","675"
"14363680","725","725","725"
"14363936","1275","1275","1275"
"14365056","3950","3950","3950"
"14365504","725","725","725"
"14367168","750","750","750"
"14367488","675","675","675"
"14367744","625","625","625"
"14368000","700","700","700"
"14368128","725","725","725"
"14369024","675","675","675"
"14370240","750","750","750"
"14371232","3950","3950","3950"
"14371520","700","700","700"
"14373056","700","700","700"
"14373120","800","800","800"
"14373952","750","750","750"
"14375008","725","725","725"
"14375328","750","750","750"
"14375488","700","700","700"
"14379872","775","775","775"
"14380768","575","575","575"
"14383424","775","775","775"
"14383840","675","675","675"
"14385408","675","675","675"
"14385472","775","775","775"
"14385952","825","825","825"
"14386464","775","775","775"
"14388608","750","750","750"
"14388832","825","825","825"
"14389568","750","750","750"
"14390208","700","700","700"
"14391392","600","600","600"
"14391520","775","775","775"
"14395520","675","675","675"
"14396128","750","750","750"
"14396416","650","650","650"
"14396768","825","825","825"
"14397216","675","675","675"
"14397952","775","775","775"
"14399200","700","700","700"
"14401440","625","625","625"
"14403136","800","800","800"
"14403680","725","725","725"
"14405152","750","750","750"
"14405600","1400","1400","1400"
"14407456","675","675","675"
"14410048","775","775","775"
"14414656","775","775","775"
"14414720","750","750","750"
"14415008","675","675","675"
"14415328","700","700","700"
"14418080","650","650","650"
"14418304","725","725","725"
"14418624","675","675","675"
"14420672","600","600","600"
"14420800","700","700","700"
"14421728","775","775","775"
"14422688","775","775","775"
"14423712","750","750","750"
"14423968","375","375","375"
"14424480","725","725","725"
"14424896","775","775","775"
"14424928","725","725","725"
"14425728","700","700","700"
"14427008","775","775","775"
"14427168","675","675","675"
"14427872","725","725","725"
"14429056","750","750","750"
"14429568","750","750","750"
"14430080","750","750","750"
"14430560","725","725","725"
"14431296","675","675","675"
"14432096","750","750","750"
"14433536","725","725","725"
"14433760","625","625","625"
"14434432","700","700","700"
"14437792","675","675","675"
"14437888","675","675","675"
"14438528","800","800","800"
"14440224","675","675","675"
"14440320","675","675","675"
"14440448","725","725","725"
"14443136","1250","1250","1250"
"14443840","650","650","650"
"14445056","675","675","675"
"14446016","750","750","750"
"14446176","700","700","700"
"14448704","700","700","700"
"14449888","725","725","725"
"14450240","700","700","700"
"14451040","775","775","775"
"14451808","775","775","775"
"14452480","750","750","750"
"14452832","125","125","125"
"14453216","675","675","675"
"14453248","775","775","775"
"14455296","725","725","725"
"14455616","725","725","725"
"14456032","800","800","800"
"14456064","4100","4100","4100"
"14456992","650","650","650"
"14457664","700","700","700"
"14458304","775","775","775"
"14458624","800","800","800"
"14459104","750","750","750"
"14459744","675","675","675"
"14462528","650","650","650"
"14462688","675","675","675"
"14462944","675","675","675"
"14465312","775","775","775"
"14465376","750","750","750"
"14465664","575","575","575"
"14466336","700","700","700"
"14468736","600","600","600"
"14468800","675","675","675"
"14468896","625","625","625"
"14469152","750","750","750"
"14470432","650","650","650"
"14470496","725","725","725"
"14471808","750","750","750"
"14472064","725","725","725"
"14473408","775","775","775"
"14474432","100","100","100"
"14475776","725","725","725"
"14476352","800","800","800"
"14479136","800","800","800"
"14479744","4050","4050","4050"
"14480640","625","625","625"
"14480864","4425","4425","4425"
"14482272","725","725","725"
"14482752","625","625","625"
