"Step","FuN_qbert_runseed=0 - training/episode/reward","FuN_qbert_runseed=0 - training/episode/reward__MIN","FuN_qbert_runseed=0 - training/episode/reward__MAX"
"189448","250","250","250"
"190136","175","175","175"
"190448","450","450","450"
"190512","200","200","200"
"191840","225","225","225"
"191968","575","575","575"
"192208","225","225","225"
"192944","300","300","300"
"193032","600","600","600"
"194032","300","300","300"
"195312","575","575","575"
"195680","575","575","575"
"195928","275","275","275"
"196680","300","300","300"
"198792","675","675","675"
"198864","600","600","600"
"199192","150","150","150"
"200928","425","425","425"
"202288","475","475","475"
"202936","500","500","500"
"203120","375","375","375"
"203912","400","400","400"
"204088","525","525","525"
"205176","550","550","550"
"205704","625","625","625"
"206008","300","300","300"
"207160","275","275","275"
"207440","600","600","600"
"207448","200","200","200"
"209448","600","600","600"
"209464","225","225","225"
"209704","650","650","650"
"211080","600","600","600"
"211584","1100","1100","1100"
"212016","250","250","250"
"213624","125","125","125"
"213848","750","750","750"
"214224","525","525","525"
"214960","225","225","225"
"215240","150","150","150"
"216984","600","600","600"
"217280","600","600","600"
"217680","575","575","575"
"217704","175","175","175"
"219096","1025","1025","1025"
"219776","475","475","475"
"219864","150","150","150"
"219952","625","625","625"
"220472","525","525","525"
"220920","250","250","250"
"221040","550","550","550"
"222768","500","500","500"
"222928","350","350","350"
"222944","625","625","625"
"223464","250","250","250"
"224552","225","225","225"
"225360","175","175","175"
"225744","500","500","500"
"225832","375","375","375"
"227248","250","250","250"
"228048","625","625","625"
"229272","475","475","475"
"229288","525","525","525"
"230016","575","575","575"
"230928","700","700","700"
"231952","250","250","250"
"231984","175","175","175"
"233168","500","500","500"
"234528","225","225","225"
"234592","600","600","600"
"234808","600","600","600"
"235368","375","375","375"
"236424","625","625","625"
"237672","200","200","200"
"237736","550","550","550"
"240704","625","625","625"
"240824","375","375","375"
"241040","600","600","600"
"242088","675","675","675"
"243360","575","575","575"
"244056","650","650","650"
"244088","175","175","175"
"244232","600","600","600"
"244848","500","500","500"
"246920","700","700","700"
"247024","475","475","475"
"247184","600","600","600"
"247280","325","325","325"
"249328","625","625","625"
"250216","325","325","325"
"250744","600","600","600"
"251344","625","625","625"
"252160","675","675","675"
"252480","625","625","625"
"253176","650","650","650"
"253888","525","525","525"
"254280","625","625","625"
"254728","525","525","525"
"255680","525","525","525"
"255936","675","675","675"
"257360","650","650","650"
"258248","675","675","675"
"259376","725","725","725"
"260896","550","550","550"
"261120","550","550","550"
"261416","400","400","400"
"262288","300","300","300"
"262544","250","250","250"
"264208","500","500","500"
"265792","400","400","400"
"265800","675","675","675"
"265896","150","150","150"
"266160","275","275","275"
"267400","475","475","475"
"268528","425","425","425"
"268752","500","500","500"
"269760","750","750","750"
"270712","625","625","625"
"271976","275","275","275"
"272048","675","675","675"
"272336","400","400","400"
"273424","400","400","400"
"273680","700","700","700"
"274088","250","250","250"
"274520","525","525","525"
"275248","675","675","675"
"275952","675","675","675"
"277864","625","625","625"
"279088","575","575","575"
"280016","225","225","225"
"280416","675","675","675"
"280976","600","600","600"
"281072","525","525","525"
"281200","575","575","575"
"282960","575","575","575"
"283160","575","575","575"
"283768","725","725","725"
"284016","200","200","200"
"284672","725","725","725"
"286264","550","550","550"
"286304","600","600","600"
"286312","550","550","550"
"286432","625","625","625"
"287080","225","225","225"
"287248","575","575","575"
"288808","475","475","475"
"289680","600","600","600"
"290296","650","650","650"
"290504","250","250","250"
"290840","125","125","125"
"291024","675","675","675"
"291088","600","600","600"
"293032","175","175","175"
"293824","725","725","725"
"293888","725","725","725"
"295304","650","650","650"
"296400","650","650","650"
"296552","250","250","250"
"296784","525","525","525"
"297232","500","500","500"
"298112","575","575","575"
"299128","250","250","250"
"299240","400","400","400"
"299648","450","450","450"
"300056","550","550","550"
"300344","225","225","225"
"301296","575","575","575"
"302592","600","600","600"
"302984","275","275","275"
"304392","600","600","600"
"305496","525","525","525"
"305688","600","600","600"
"306040","575","575","575"
"306240","450","450","450"
"306672","325","325","325"
"306824","400","400","400"
"308464","200","200","200"
"309696","400","400","400"
"309928","450","450","450"
"310288","275","275","275"
"312504","350","350","350"
"312816","700","700","700"
"313128","625","625","625"
"313648","375","375","375"
"314536","375","375","375"
"314840","150","150","150"
"315688","625","625","625"
"316352","175","175","175"
"317080","500","500","500"
"318464","550","550","550"
"320280","550","550","550"
"321208","575","575","575"
"323968","600","600","600"
"324432","625","625","625"
"324720","600","600","600"
"324968","100","100","100"
"326976","500","500","500"
"327976","475","475","475"
"327992","650","650","650"
"328144","625","625","625"
"328656","575","575","575"
"330344","650","650","650"
"330784","650","650","650"
"331776","550","550","550"
"331856","525","525","525"
"333416","450","450","450"
"334768","275","275","275"
"334968","625","625","625"
"335608","675","675","675"
"336888","375","375","375"
"336960","650","650","650"
"338488","675","675","675"
"338688","325","325","325"
"338992","100","100","100"
"339112","275","275","275"
"339392","175","175","175"
"341112","525","525","525"
"342576","625","625","625"
"342664","575","575","575"
"342872","700","700","700"
"344400","275","275","275"
"345408","75","75","75"
"345864","525","525","525"
"346256","625","625","625"
"346264","375","375","375"
"348128","575","575","575"
"348608","225","225","225"
"349032","425","425","425"
"349272","325","325","325"
"349376","675","675","675"
"349808","575","575","575"
"350848","575","575","575"
"351600","250","250","250"
"352232","550","550","550"
"352264","450","450","450"
"353848","625","625","625"
"354032","650","650","650"
"355632","625","625","625"
"355712","500","500","500"
"355984","550","550","550"
"356960","675","675","675"
"357888","350","350","350"
"359184","525","525","525"
"359208","700","700","700"
"359288","600","600","600"
"359408","600","600","600"
"360200","725","725","725"
"361216","375","375","375"
"361320","625","625","625"
"362056","175","175","175"
"362480","250","250","250"
"362960","500","500","500"
"363232","475","475","475"
"364496","575","575","575"
"365584","600","600","600"
"365728","375","375","375"
"366296","500","500","500"
"367664","575","575","575"
"367872","700","700","700"
"369008","625","625","625"
"370856","575","575","575"
"371016","575","575","575"
"371528","250","250","250"
"372576","725","725","725"
"372736","750","750","750"
"373016","550","550","550"
"373888","525","525","525"
"375024","500","500","500"
"375248","400","400","400"
"376656","625","625","625"
"377944","550","550","550"
"377952","475","475","475"
"378352","550","550","550"
"378712","625","625","625"
"379336","650","650","650"
"380152","500","500","500"
"381088","550","550","550"
"381504","675","675","675"
"382024","550","550","550"
"382208","725","725","725"
"382824","575","575","575"
"383048","600","600","600"
"384576","550","550","550"
"385640","550","550","550"
"385824","675","675","675"
"386440","550","550","550"
"386656","575","575","575"
"387320","450","450","450"
"388104","650","650","650"
"388904","550","550","550"
"389008","300","300","300"
"389296","550","550","550"
"390680","575","575","575"
"390760","600","600","600"
"391448","675","675","675"
"392424","225","225","225"
"392568","375","375","375"
"393736","675","675","675"
"394504","625","625","625"
"394720","700","700","700"
"396296","375","375","375"
"396480","600","600","600"
"396784","550","550","550"
"398040","600","600","600"
"398360","575","575","575"
"398696","525","525","525"
"400088","625","625","625"
"400392","575","575","575"
"403072","350","350","350"
"404688","550","550","550"
"404856","600","600","600"
"405912","525","525","525"
"406432","575","575","575"
"407128","500","500","500"
"408936","625","625","625"
"408984","550","550","550"
"409192","450","450","450"
"409232","550","550","550"
"411048","625","625","625"
"411296","550","550","550"
"412120","325","325","325"
"412128","525","525","525"
"412488","550","550","550"
"414128","625","625","625"
"414816","500","500","500"
"415376","600","600","600"
"415400","500","500","500"
"415584","350","350","350"
"417272","700","700","700"
"417832","625","625","625"
"418736","625","625","625"
"419072","650","650","650"
"421944","625","625","625"
"422456","525","525","525"
"424936","500","500","500"
"425720","525","525","525"
"426040","650","650","650"
"428728","425","425","425"
"429104","525","525","525"
"430056","625","625","625"
"430760","650","650","650"
"431344","525","525","525"
"431856","625","625","625"
"432736","550","550","550"
"433320","575","575","575"
"434656","275","275","275"
"434944","550","550","550"
"437224","300","300","300"
"437800","600","600","600"
"437960","675","675","675"
"440728","725","725","725"
"440824","525","525","525"
"441248","675","675","675"
"442528","475","475","475"
"443968","550","550","550"
"444080","650","650","650"
"444256","450","450","450"
"444552","575","575","575"
"444816","650","650","650"
"445864","600","600","600"
"446632","425","425","425"
"447176","575","575","575"
"447392","550","550","550"
"447832","500","500","500"
"447952","525","525","525"
"451304","575","575","575"
"451664","600","600","600"
"451744","675","675","675"
"453568","200","200","200"
"453776","575","575","575"
"453904","625","625","625"
"454384","525","525","525"
"454528","475","475","475"
"454952","650","650","650"
"456680","575","575","575"
"456688","625","625","625"
"457528","625","625","625"
"457648","525","525","525"
"457704","575","575","575"
"458088","325","325","325"
"459816","625","625","625"
"460376","600","600","600"
"460984","550","550","550"
"461064","550","550","550"
"461072","600","600","600"
"461248","625","625","625"
"462968","575","575","575"
"463872","725","725","725"
"464200","675","675","675"
"464528","600","600","600"
"464624","575","575","575"
"466504","600","600","600"
"467616","275","275","275"
"467944","600","600","600"
"469968","325","325","325"
"471000","675","675","675"
"472152","550","550","550"
"472672","350","350","350"
"473040","525","525","525"
"473536","175","175","175"
"474384","525","525","525"
"475424","575","575","575"
"475504","550","550","550"
"478176","475","475","475"
"479904","650","650","650"
"484760","700","700","700"
"485504","550","550","550"
"486432","575","575","575"
"486936","600","600","600"
"487000","600","600","600"
"489592","575","575","575"
"490200","650","650","650"
"490264","675","675","675"
"490584","600","600","600"
"491712","625","625","625"
"493144","550","550","550"
"493296","600","600","600"
"493488","625","625","625"
"494136","550","550","550"
"494432","475","475","475"
"495840","500","500","500"
