"Step","a3c_Kangaroo_runseed=0 - training/episode/reward","a3c_Kangaroo_runseed=0 - training/episode/reward__MIN","a3c_Kangaroo_runseed=0 - training/episode/reward__MAX"
"200704","0","0","0"
"200864","0","0","0"
"201184","0","0","0"
"202624","0","0","0"
"203136","0","0","0"
"203200","0","0","0"
"203488","0","0","0"
"207040","200","200","200"
"208224","0","0","0"
"208352","0","0","0"
"209600","200","200","200"
"210432","0","0","0"
"211936","0","0","0"
"212736","200","200","200"
"214496","0","0","0"
"216928","200","200","200"
"217152","0","0","0"
"219072","0","0","0"
"220960","0","0","0"
"222336","0","0","0"
"222944","0","0","0"
"225280","0","0","0"
"225536","0","0","0"
"226112","0","0","0"
"226240","0","0","0"
"226304","0","0","0"
"226656","0","0","0"
"226912","200","200","200"
"227360","200","200","200"
"227552","0","0","0"
"230048","0","0","0"
"231616","0","0","0"
"232032","0","0","0"
"232096","0","0","0"
"232320","0","0","0"
"232352","200","200","200"
"232576","0","0","0"
"233632","0","0","0"
"235392","0","0","0"
"236096","200","200","200"
"236192","0","0","0"
"236320","0","0","0"
"236480","0","0","0"
"237696","200","200","200"
"237952","0","0","0"
"239904","0","0","0"
"241216","200","200","200"
"242080","200","200","200"
"242912","200","200","200"
"243392","0","0","0"
"243840","0","0","0"
"243872","0","0","0"
"245280","0","0","0"
"245664","0","0","0"
"246336","0","0","0"
"247328","0","0","0"
"247552","0","0","0"
"248320","0","0","0"
"249184","200","200","200"
"249472","0","0","0"
"249952","0","0","0"
"252896","0","0","0"
"253984","0","0","0"
"254368","0","0","0"
"255392","0","0","0"
"255424","0","0","0"
"255680","200","200","200"
"255808","0","0","0"
"255968","0","0","0"
"256928","0","0","0"
"257696","200","200","200"
"258784","0","0","0"
"258976","0","0","0"
"259168","0","0","0"
"259936","0","0","0"
"260256","0","0","0"
"260320","200","200","200"
"260704","0","0","0"
"261248","200","200","200"
"262528","0","0","0"
"262720","400","400","400"
"263392","0","0","0"
"264000","0","0","0"
"265856","200","200","200"
"267808","0","0","0"
"268416","0","0","0"
"268736","200","200","200"
"269312","0","0","0"
"269536","200","200","200"
"269632","0","0","0"
"270752","0","0","0"
"272512","0","0","0"
"272864","200","200","200"
"273280","0","0","0"
"274560","0","0","0"
"274656","0","0","0"
"275648","0","0","0"
"276032","0","0","0"
"276608","200","200","200"
"276928","0","0","0"
"278080","200","200","200"
"278144","0","0","0"
"278592","0","0","0"
"278784","200","200","200"
"278816","0","0","0"
"282176","0","0","0"
"283168","0","0","0"
"283616","0","0","0"
"284128","0","0","0"
"284224","0","0","0"
"284800","0","0","0"
"286880","0","0","0"
"287392","200","200","200"
"287424","400","400","400"
"289280","0","0","0"
"289696","200","200","200"
"289824","0","0","0"
"289952","200","200","200"
"291168","0","0","0"
"292096","200","200","200"
"292352","0","0","0"
"293088","0","0","0"
"293472","0","0","0"
"295904","0","0","0"
"296832","0","0","0"
"297120","0","0","0"
"297888","0","0","0"
"298464","0","0","0"
"298656","200","200","200"
"301184","0","0","0"
"301472","200","200","200"
"301504","0","0","0"
"302240","0","0","0"
"303232","0","0","0"
"303712","200","200","200"
"304096","0","0","0"
"304128","0","0","0"
"304768","0","0","0"
"305184","0","0","0"
"305472","0","0","0"
"308576","0","0","0"
"308768","0","0","0"
"309376","0","0","0"
"310208","0","0","0"
"311360","0","0","0"
"312384","0","0","0"
"315264","0","0","0"
"317248","200","200","200"
"318432","200","200","200"
"319360","0","0","0"
"319520","400","400","400"
"319680","0","0","0"
"320160","0","0","0"
"320224","0","0","0"
"320672","0","0","0"
"321248","0","0","0"
"322240","0","0","0"
"322496","0","0","0"
"322816","0","0","0"
"322880","0","0","0"
"323936","0","0","0"
"324288","200","200","200"
"325440","0","0","0"
"326400","0","0","0"
"326464","0","0","0"
"326624","0","0","0"
"328128","0","0","0"
"328864","200","200","200"
"328992","200","200","200"
"330080","0","0","0"
"330880","0","0","0"
"331040","0","0","0"
"332480","0","0","0"
"332864","0","0","0"
"333024","0","0","0"
"333248","200","200","200"
