"Step","FuN_Kangaroo_runseed=0 - training/episode/reward","FuN_Kangaroo_runseed=0 - training/episode/reward__MIN","FuN_Kangaroo_runseed=0 - training/episode/reward__MAX"
"196704","0","0","0"
"196928","0","0","0"
"197024","200","200","200"
"197952","0","0","0"
"198528","0","0","0"
"199008","0","0","0"
"199808","200","200","200"
"200416","200","200","200"
"200928","200","200","200"
"201024","0","0","0"
"201120","200","200","200"
"201568","0","0","0"
"201664","0","0","0"
"202752","0","0","0"
"202976","0","0","0"
"205856","200","200","200"
"206848","0","0","0"
"206880","0","0","0"
"207200","0","0","0"
"207232","0","0","0"
"207296","200","200","200"
"208480","0","0","0"
"210048","0","0","0"
"210144","0","0","0"
"210752","0","0","0"
"211136","0","0","0"
"211648","0","0","0"
"213952","200","200","200"
"214048","0","0","0"
"214528","0","0","0"
"214816","0","0","0"
"215104","0","0","0"
"216032","0","0","0"
"216128","0","0","0"
"216480","0","0","0"
"216576","0","0","0"
"218656","0","0","0"
"220128","0","0","0"
"220352","0","0","0"
"221920","0","0","0"
"222400","200","200","200"
"222432","0","0","0"
"222560","0","0","0"
"222752","0","0","0"
"224000","200","200","200"
"224320","0","0","0"
"225152","0","0","0"
"226528","0","0","0"
"227552","0","0","0"
"227936","0","0","0"
"228288","0","0","0"
"229344","0","0","0"
"229568","0","0","0"
"231712","0","0","0"
"232288","0","0","0"
"232672","0","0","0"
"233408","0","0","0"
"233792","0","0","0"
"233888","0","0","0"
"233920","0","0","0"
"235360","200","200","200"
"236384","0","0","0"
"237184","0","0","0"
"237248","0","0","0"
"237632","0","0","0"
"238080","0","0","0"
"239008","0","0","0"
"240256","0","0","0"
"240544","0","0","0"
"240576","0","0","0"
"240736","0","0","0"
"241344","0","0","0"
"242848","0","0","0"
"243200","200","200","200"
"243328","200","200","200"
"243392","200","200","200"
"244416","0","0","0"
"246496","400","400","400"
"246656","0","0","0"
"247008","400","400","400"
"248096","0","0","0"
"248160","0","0","0"
"249632","0","0","0"
"249696","0","0","0"
"250400","400","400","400"
"250656","0","0","0"
"250688","0","0","0"
"251232","200","200","200"
"251488","0","0","0"
"252096","0","0","0"
"252576","0","0","0"
"253376","0","0","0"
"253728","0","0","0"
"256128","0","0","0"
"256384","0","0","0"
"256512","0","0","0"
"256544","0","0","0"
"257088","0","0","0"
"258336","200","200","200"
"259712","200","200","200"
"260384","0","0","0"
"260704","0","0","0"
"260736","0","0","0"
"260896","0","0","0"
"261504","0","0","0"
"262112","0","0","0"
"262208","400","400","400"
"263200","0","0","0"
"263296","0","0","0"
"266304","200","200","200"
"267456","0","0","0"
"267712","0","0","0"
"268000","200","200","200"
"271296","0","0","0"
"271808","0","0","0"
"271872","0","0","0"
"273280","0","0","0"
"274336","0","0","0"
"274816","0","0","0"
"275552","0","0","0"
"277152","0","0","0"
"277536","0","0","0"
"277952","0","0","0"
"278304","0","0","0"
"278656","0","0","0"
"279008","200","200","200"
"279104","200","200","200"
"279616","0","0","0"
"279648","400","400","400"
"279744","0","0","0"
"280128","0","0","0"
"280160","0","0","0"
"281184","200","200","200"
"282400","0","0","0"
"284864","0","0","0"
"286336","200","200","200"
"286656","0","0","0"
"288960","0","0","0"
"289376","0","0","0"
"289472","0","0","0"
"289728","200","200","200"
"290272","200","200","200"
"290496","0","0","0"
"292320","0","0","0"
"292448","200","200","200"
"294016","0","0","0"
"294336","400","400","400"
"294560","200","200","200"
"295072","0","0","0"
"295488","200","200","200"
"296224","200","200","200"
"297088","0","0","0"
"297888","400","400","400"
"300544","0","0","0"
"300768","0","0","0"
"300800","0","0","0"
"301312","0","0","0"
"302208","200","200","200"
"302656","0","0","0"
"303488","0","0","0"
"303616","200","200","200"
"305408","0","0","0"
"305888","0","0","0"
"306144","0","0","0"
"306432","400","400","400"
"307776","200","200","200"
"308320","0","0","0"
"308416","200","200","200"
"308736","0","0","0"
"309408","200","200","200"
"309536","0","0","0"
"310688","200","200","200"
"311552","0","0","0"
"311872","0","0","0"
"312320","200","200","200"
"312768","0","0","0"
"313408","200","200","200"
"313600","0","0","0"
"314336","200","200","200"
"316288","0","0","0"
"316640","0","0","0"
"316992","0","0","0"
"317184","0","0","0"
"317504","0","0","0"
"318048","200","200","200"
"318944","0","0","0"
"319040","0","0","0"
"319232","0","0","0"
"319392","200","200","200"
"320384","0","0","0"
"320480","0","0","0"
"321376","200","200","200"
"321536","0","0","0"
"322624","0","0","0"
"324256","0","0","0"
"324608","0","0","0"
"325216","200","200","200"
"325728","0","0","0"
"326272","0","0","0"
"326848","0","0","0"
"326880","0","0","0"
"327008","200","200","200"
"327456","0","0","0"
"329056","0","0","0"
"329120","400","400","400"
"330272","0","0","0"
"332160","0","0","0"
"332640","200","200","200"
"332832","0","0","0"
"334240","0","0","0"
"334528","0","0","0"
"334816","0","0","0"
"335296","0","0","0"
"335744","0","0","0"
"338656","200","200","200"
"339520","200","200","200"
"340352","0","0","0"
"340736","0","0","0"
"341216","400","400","400"
"341504","0","0","0"
"341792","0","0","0"
"342112","0","0","0"
"343200","0","0","0"
"343360","200","200","200"
"345120","200","200","200"
"345152","0","0","0"
"346400","0","0","0"
"346720","200","200","200"
"347008","0","0","0"
"348032","0","0","0"
"348544","400","400","400"
"349888","0","0","0"
"351424","0","0","0"
"352128","200","200","200"
"352736","0","0","0"
"353472","200","200","200"
"353824","0","0","0"
"354144","200","200","200"
"355936","200","200","200"
"356064","0","0","0"
"356576","0","0","0"
"357184","0","0","0"
"357440","200","200","200"
"357856","0","0","0"
"358656","200","200","200"
"358944","0","0","0"
"360096","0","0","0"
"360544","200","200","200"
"360992","200","200","200"
"362304","0","0","0"
"362624","0","0","0"
"364256","200","200","200"
"364480","0","0","0"
"364576","0","0","0"
"364672","0","0","0"
"364768","0","0","0"
"365888","0","0","0"
"367392","0","0","0"
"368768","0","0","0"
"368992","0","0","0"
"369088","0","0","0"
"369184","0","0","0"
"369696","0","0","0"
"369888","200","200","200"
"370720","0","0","0"
"371296","200","200","200"
"371968","0","0","0"
"372800","400","400","400"
"372960","400","400","400"
"373888","0","0","0"
"374400","0","0","0"
"375712","0","0","0"
"375808","0","0","0"
"377120","0","0","0"
"377184","0","0","0"
"377824","0","0","0"
"379328","200","200","200"
"379616","400","400","400"
"382016","0","0","0"
"382272","0","0","0"
"382464","0","0","0"
"382880","200","200","200"
"383296","0","0","0"
"383392","0","0","0"
"384576","0","0","0"
"384672","0","0","0"
"385184","0","0","0"
"386240","200","200","200"
"387584","0","0","0"
"388032","200","200","200"
"389920","200","200","200"
"391200","0","0","0"
"392800","0","0","0"
"393248","0","0","0"
"393376","200","200","200"
"393536","0","0","0"
"394208","0","0","0"
"394336","200","200","200"
"394560","0","0","0"
"394624","0","0","0"
"395008","0","0","0"
"395872","200","200","200"
"396160","200","200","200"
"396256","0","0","0"
"398176","200","200","200"
"398464","200","200","200"
"399296","200","200","200"
"400768","0","0","0"
"402368","0","0","0"
"403232","0","0","0"
"403392","0","0","0"
"403936","200","200","200"
"404576","0","0","0"
"405248","0","0","0"
"405408","0","0","0"
"406688","0","0","0"
"407744","0","0","0"
"408224","0","0","0"
"410464","200","200","200"
"411232","0","0","0"
"411296","0","0","0"
"412224","400","400","400"
"413696","0","0","0"
"414688","0","0","0"
"415296","0","0","0"
"415392","0","0","0"
"415680","0","0","0"
"416000","0","0","0"
"417056","0","0","0"
"417408","200","200","200"
"417568","0","0","0"
"417856","0","0","0"
"418912","200","200","200"
"419584","200","200","200"
"419712","0","0","0"
"420544","200","200","200"
"420864","0","0","0"
"422016","0","0","0"
"423552","0","0","0"
"424384","200","200","200"
"424544","0","0","0"
"425760","0","0","0"
"426496","0","0","0"
"426528","0","0","0"
"426976","0","0","0"
"427168","0","0","0"
"427232","0","0","0"
"427424","200","200","200"
"427616","0","0","0"
"427648","0","0","0"
"427744","0","0","0"
"428640","0","0","0"
"428896","0","0","0"
"430784","0","0","0"
"432384","0","0","0"
"432704","0","0","0"
"434208","0","0","0"
"435776","0","0","0"
"438656","0","0","0"
"439552","0","0","0"
"439744","0","0","0"
"439968","200","200","200"
"441120","0","0","0"
"441920","0","0","0"
"442272","200","200","200"
"442976","0","0","0"
"443072","0","0","0"
"443488","0","0","0"
"444096","0","0","0"
"444480","200","200","200"
"444704","200","200","200"
"444736","200","200","200"
"446816","200","200","200"
"448352","0","0","0"
"450048","200","200","200"
"450272","0","0","0"
"450368","0","0","0"
"450624","0","0","0"
"452672","200","200","200"
"454336","0","0","0"
"454656","200","200","200"
"454944","0","0","0"
"455744","0","0","0"
"457376","0","0","0"
"457536","0","0","0"
"457888","0","0","0"
"458496","0","0","0"
"459008","0","0","0"
"459328","0","0","0"
"461376","200","200","200"
"461664","0","0","0"
"461728","0","0","0"
"462048","200","200","200"
"463232","0","0","0"
"463296","200","200","200"
"463456","0","0","0"
"463808","200","200","200"
"464576","0","0","0"
"465088","200","200","200"
"465120","200","200","200"
"465344","0","0","0"
"465568","0","0","0"
"465728","0","0","0"
"466272","0","0","0"
"466336","0","0","0"
"466944","200","200","200"
"468256","0","0","0"
"470976","200","200","200"
"472800","0","0","0"
"473856","0","0","0"
"474400","0","0","0"
"474528","0","0","0"
"475520","200","200","200"
"476160","200","200","200"
"476384","200","200","200"
"476640","0","0","0"
"476736","0","0","0"
"477504","0","0","0"
"477792","0","0","0"
"478624","0","0","0"
"478720","400","400","400"
"479008","0","0","0"
"479360","0","0","0"
"479520","0","0","0"
