"Step","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_4","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_4__MAX","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_4","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_4__MAX","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_4","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_4__MAX"
"12576","","","","0.1875","0.1875","0.1875","","",""
"12704","","","","","","","0.255859375","0.255859375","0.255859375"
"12768","0.01171875","0.01171875","0.01171875","","","","","",""
"24928","","","","","","","0.31640625","0.31640625","0.31640625"
"25280","","","","0.1875","0.1875","0.1875","","",""
"25504","0.380859375","0.380859375","0.380859375","","","","","",""
"36640","0.24609375","0.24609375","0.24609375","","","","","",""
"38272","","","","0.375","0.375","0.375","","",""
"38336","","","","","","","0.189453125","0.189453125","0.189453125"
"50144","","","","","","","0","0","0"
"50784","","","","0","0","0","","",""
"51040","0.08984375","0.08984375","0.08984375","","","","","",""
"63680","","","","0.1875","0.1875","0.1875","","",""
"63840","0.328125","0.328125","0.328125","","","","","",""
"63872","","","","","","","0.3125","0.3125","0.3125"
"76192","","","","","","","0.0625","0.0625","0.0625"
"76576","0.26171875","0.26171875","0.26171875","0.1875","0.1875","0.1875","","",""
"88224","","","","0.1875","0.1875","0.1875","","",""
"88928","0.388671875","0.388671875","0.388671875","","","","","",""
"89248","","","","","","","0.1875","0.1875","0.1875"
"102176","0.333984375","0.333984375","0.333984375","","","","","",""
"102240","","","","0.3125","0.3125","0.3125","","",""
"102272","","","","","","","0.130859375","0.130859375","0.130859375"
"114688","0.44921875","0.44921875","0.44921875","","","","","",""
"114944","","","","0.625","0.625","0.625","","",""
"115008","","","","","","","0.443359375","0.443359375","0.443359375"
"127008","","","","0.0625","0.0625","0.0625","","",""
