"Step","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_3","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_3","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_3","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_3__MAX"
"127648","1","1","1","","","","","",""
"127808","","","","","","","0.544921875","0.544921875","0.544921875"
"140224","","","","1","1","1","","",""
"140384","","","","","","","0.50390625","0.50390625","0.50390625"
"140576","0.802734375","0.802734375","0.802734375","","","","","",""
"153504","0.798828125","0.798828125","0.798828125","1","1","1","","",""
"153536","","","","","","","0.884765625","0.884765625","0.884765625"
"165952","","","","0.619140625","0.619140625","0.619140625","","",""
"166272","0.796875","0.796875","0.796875","","","","","",""
"166304","","","","","","","0.564453125","0.564453125","0.564453125"
"179008","0.759765625","0.759765625","0.759765625","","","","","",""
"179040","","","","","","","0.923828125","0.923828125","0.923828125"
"179072","","","","0.8125","0.8125","0.8125","","",""
"191360","","","","","","","0.791015625","0.791015625","0.791015625"
"191808","","","","0.8125","0.8125","0.8125","","",""
"191936","0.55859375","0.55859375","0.55859375","","","","","",""
"202912","","","","","","","0.794921875","0.794921875","0.794921875"
"204512","","","","0.625","0.625","0.625","","",""
"204608","0.69921875","0.69921875","0.69921875","","","","","",""
"216480","0.767578125","0.767578125","0.767578125","","","","","",""
"216608","","","","","","","1","1","1"
"217376","","","","1","1","1","","",""
"230112","","","","","","","1","1","1"
"230144","0.671875","0.671875","0.671875","","","","","",""
"230368","","","","1","1","1","","",""
"242784","","","","0.625","0.625","0.625","","",""
"242816","","","","","","","0.625","0.625","0.625"
"243168","0.669921875","0.669921875","0.669921875","","","","","",""
"255296","0.33203125","0.33203125","0.33203125","","","","","",""
"255584","","","","0.994140625","0.994140625","0.994140625","","",""
"255904","","","","","","","1","1","1"
"267296","0.17578125","0.17578125","0.17578125","","","","","",""
"267968","","","","","","","0.994140625","0.994140625","0.994140625"
"268608","","","","1","1","1","","",""
"280800","0.111328125","0.111328125","0.111328125","","","","","",""
"281312","","","","","","","1","1","1"
"281536","","","","0.92578125","0.92578125","0.92578125","","",""
"293600","0.04296875","0.04296875","0.04296875","","","","","",""
"294112","","","","","","","0.990234375","0.990234375","0.990234375"
"294272","","","","0.869140625","0.869140625","0.869140625","","",""
"306624","","","","0.994140625","0.994140625","0.994140625","","",""
"306976","0.0625","0.0625","0.0625","","","","","",""
"307168","","","","","","","0.96875","0.96875","0.96875"
"319328","","","","0.8125","0.8125","0.8125","","",""
"319552","0","0","0","","","","","",""
"319968","","","","","","","0.958984375","0.958984375","0.958984375"
"331456","","","","1","1","1","","",""
"332608","0.125","0.125","0.125","","","","0.9296875","0.9296875","0.9296875"
"345216","","","","","","","0.912109375","0.912109375","0.912109375"
"345440","","","","1","1","1","","",""
"345472","0.0625","0.0625","0.0625","","","","","",""
"357184","","","","","","","0.90625","0.90625","0.90625"
"358080","","","","0.994140625","0.994140625","0.994140625","","",""
"358272","0","0","0","","","","","",""
"370432","0.1875","0.1875","0.1875","","","","","",""
"370688","","","","0.994140625","0.994140625","0.994140625","","",""
"370976","","","","","","","0.751953125","0.751953125","0.751953125"
"383104","0","0","0","","","","","",""
"383776","","","","","","","0.931640625","0.931640625","0.931640625"
"383936","","","","0.994140625","0.994140625","0.994140625","","",""
"396480","0","0","0","","","","","",""
"396640","","","","","","","0.90625","0.90625","0.90625"
"396736","","","","0.982421875","0.982421875","0.982421875","","",""
"409152","","","","1","1","1","","",""
"409216","","","","","","","0.916015625","0.916015625","0.916015625"
"409280","0.1875","0.1875","0.1875","","","","","",""
"420928","","","","","","","0.861328125","0.861328125","0.861328125"
"421728","0","0","0","","","","","",""
"421856","","","","1","1","1","","",""
"433568","0","0","0","","","","","",""
"434496","","","","","","","0.8828125","0.8828125","0.8828125"
"435040","","","","1","1","1","","",""
"445600","","","","","","","0.927734375","0.927734375","0.927734375"
"447392","","","","0.8125","0.8125","0.8125","","",""
"447936","0.1875","0.1875","0.1875","","","","","",""
"460512","","","","","","","0.9140625","0.9140625","0.9140625"
"460608","0","0","0","","","","","",""
"460736","","","","1","1","1","","",""
"469824","0.1875","0.1875","0.1875","","","","","",""
"472864","","","","","","","0.94921875","0.94921875","0.94921875"
"473408","","","","0.798828125","0.798828125","0.798828125","","",""
"485568","0","0","0","","","","","",""
"485984","","","","","","","0.91015625","0.91015625","0.91015625"
"486304","","","","0.978515625","0.978515625","0.978515625","","",""
"498496","","","","","","","0.8828125","0.8828125","0.8828125"
"499040","","","","0.953125","0.953125","0.953125","","",""
"499072","0","0","0","","","","","",""
"510688","0","0","0","","","","","",""
"511776","","","","","","","0.8828125","0.8828125","0.8828125"
"511936","","","","0.943359375","0.943359375","0.943359375","","",""
"524256","","","","0.837890625","0.837890625","0.837890625","","",""
"524640","0","0","0","","","","","",""
"524672","","","","","","","0.89453125","0.89453125","0.89453125"
"536640","0","0","0","","","","","",""
"537056","","","","","","","0.853515625","0.853515625","0.853515625"
"537184","","","","0.896484375","0.896484375","0.896484375","","",""
"550048","0","0","0","","","","","",""
"550176","","","","","","","0.77734375","0.77734375","0.77734375"
"550272","","","","0.96875","0.96875","0.96875","","",""
"562496","0","0","0","","","","","",""
"563008","","","","","","","0.6875","0.6875","0.6875"
"563104","","","","0.96875","0.96875","0.96875","","",""
"575904","0","0","0","","","","0.603515625","0.603515625","0.603515625"
"575968","","","","0.96875","0.96875","0.96875","","",""
"588160","0.1875","0.1875","0.1875","","","","","",""
"588736","","","","","","","0.4765625","0.4765625","0.4765625"
"588768","","","","0.921875","0.921875","0.921875","","",""
"598304","","","","0.88671875","0.88671875","0.88671875","","",""
"601024","0","0","0","","","","","",""
"601440","","","","","","","0.197265625","0.197265625","0.197265625"
"611616","","","","0.875","0.875","0.875","","",""
"614016","","","","","","","0.09375","0.09375","0.09375"
"614272","0","0","0","","","","","",""
"626848","","","","","","","0.236328125","0.236328125","0.236328125"
"627072","0.1875","0.1875","0.1875","","","","","",""
"627168","","","","0.87109375","0.87109375","0.87109375","","",""
"639072","","","","","","","0.03125","0.03125","0.03125"
"639552","","","","0.81640625","0.81640625","0.81640625","","",""
"639776","0","0","0","","","","","",""
"652640","0","0","0","","","","","",""
"652672","","","","0.767578125","0.767578125","0.767578125","0.03125","0.03125","0.03125"
"664896","0","0","0","","","","","",""
"664928","","","","","","","0.03125","0.03125","0.03125"
"665472","","","","0.75","0.75","0.75","","",""
"677984","0","0","0","","","","","",""
"678208","","","","","","","0.03125","0.03125","0.03125"
"678272","","","","0.765625","0.765625","0.765625","","",""
"690816","","","","0.76953125","0.76953125","0.76953125","","",""
"690944","0","0","0","","","","","",""
"691136","","","","","","","0.025390625","0.025390625","0.025390625"
"703488","0","0","0","","","","","",""
"703840","","","","0.76953125","0.76953125","0.76953125","","",""
"703968","","","","","","","0.005859375","0.005859375","0.005859375"
"716640","","","","","","","0","0","0"
"716672","0","0","0","0.728515625","0.728515625","0.728515625","","",""
"729312","0","0","0","","","","","",""
"729472","","","","0.728515625","0.728515625","0.728515625","","",""
"729504","","","","","","","0","0","0"
"741952","","","","","","","0","0","0"
"742208","0","0","0","","","","","",""
"742336","","","","0.69140625","0.69140625","0.69140625","","",""
"754176","","","","0.662109375","0.662109375","0.662109375","","",""
"754464","","","","","","","0","0","0"
"755072","0","0","0","","","","","",""
"767840","","","","0.615234375","0.615234375","0.615234375","0","0","0"
"767936","0","0","0","","","","","",""
"779680","0","0","0","","","","","",""
"780416","","","","","","","0","0","0"
"780608","","","","0.59375","0.59375","0.59375","","",""
"792768","","","","","","","0","0","0"
"793216","","","","0.56640625","0.56640625","0.56640625","","",""
"793440","0","0","0","","","","","",""
"805952","0.1875","0.1875","0.1875","","","","","",""
"806336","","","","0.45703125","0.45703125","0.45703125","0","0","0"
"818496","0","0","0","","","","","",""
"818816","","","","0.5625","0.5625","0.5625","","",""
"818848","","","","","","","0","0","0"
"831136","","","","","","","0","0","0"
"831616","","","","0.53515625","0.53515625","0.53515625","","",""
"831904","0","0","0","","","","","",""
"843808","0","0","0","","","","","",""
"843840","","","","0.53125","0.53125","0.53125","","",""
"844672","","","","","","","0","0","0"
"857280","0","0","0","","","","","",""
"857344","","","","0.53125","0.53125","0.53125","","",""
"857536","","","","","","","0","0","0"
"869504","","","","","","","0","0","0"
"870272","0","0","0","","","","","",""
"870368","","","","0.53125","0.53125","0.53125","","",""
"881664","0","0","0","","","","","",""
"882912","","","","0.513671875","0.513671875","0.513671875","","",""
"883168","","","","","","","0","0","0"
"895776","0","0","0","","","","","",""
"895872","","","","0.46875","0.46875","0.46875","","",""
"895936","","","","","","","0","0","0"
"907840","","","","","","","0","0","0"
"908288","","","","0.453125","0.453125","0.453125","","",""
"908608","0","0","0","","","","","",""
"920512","","","","","","","0.005859375","0.005859375","0.005859375"
"921152","","","","0.431640625","0.431640625","0.431640625","","",""
"921408","0","0","0","","","","","",""
"933440","0","0","0","","","","","",""
"933472","","","","","","","0","0","0"
"933664","","","","0.38671875","0.38671875","0.38671875","","",""
"945952","","","","","","","0","0","0"
"946816","0","0","0","","","","","",""
"947168","","","","0.37109375","0.37109375","0.37109375","","",""
"959776","0","0","0","0.337890625","0.337890625","0.337890625","","",""
"959904","","","","","","","0","0","0"
"972448","0","0","0","","","","","",""
"972512","","","","","","","0","0","0"
"972768","","","","0.318359375","0.318359375","0.318359375","","",""
"984832","0","0","0","","","","","",""
"985184","","","","","","","0","0","0"
"985504","","","","0.3125","0.3125","0.3125","","",""
"997984","","","","","","","0","0","0"
"998144","","","","0.294921875","0.294921875","0.294921875","","",""
"998336","0","0","0","","","","","",""
"1010400","","","","","","","0","0","0"
"1011040","","","","0.236328125","0.236328125","0.236328125","","",""
"1011104","0","0","0","","","","","",""
"1022752","","","","0.154296875","0.154296875","0.154296875","","",""
"1023744","","","","","","","0","0","0"
"1023808","0","0","0","","","","","",""
"1036512","0","0","0","","","","","",""
"1036576","","","","0.1015625","0.1015625","0.1015625","0","0","0"
"1048960","","","","0.10546875","0.10546875","0.10546875","","",""
"1049088","","","","","","","0","0","0"
"1049504","0","0","0","","","","","",""
"1061760","0","0","0","","","","","",""
"1061888","","","","0.09375","0.09375","0.09375","","",""
"1062368","","","","","","","0","0","0"
"1074080","","","","","","","0","0","0"
"1074688","","","","0.099609375","0.099609375","0.099609375","","",""
"1075072","0","0","0","","","","","",""
"1087296","","","","","","","0","0","0"
"1087552","","","","0.09765625","0.09765625","0.09765625","","",""
"1087616","0","0","0","","","","","",""
"1099168","0","0","0","","","","","",""
"1100256","","","","0.1171875","0.1171875","0.1171875","","",""
"1100512","","","","","","","0","0","0"
"1112672","","","","0.107421875","0.107421875","0.107421875","","",""
"1113280","0","0","0","","","","","",""
"1113440","","","","","","","0","0","0"
"1125792","","","","0.09375","0.09375","0.09375","","",""
"1126048","","","","","","","0","0","0"
"1126368","0","0","0","","","","","",""
"1138624","","","","","","","0","0","0"
"1139008","0","0","0","","","","","",""
"1139040","","","","0.09765625","0.09765625","0.09765625","","",""
"1151776","","","","0.1015625","0.1015625","0.1015625","","",""
"1151872","0","0","0","","","","0","0","0"
"1164224","0","0","0","","","","","",""
"1164448","","","","","","","0","0","0"
"1164704","","","","0.09375","0.09375","0.09375","","",""
"1175168","","","","0.09375","0.09375","0.09375","","",""
"1176800","","","","","","","0","0","0"
"1177568","0","0","0","","","","","",""
"1189312","","","","0.09375","0.09375","0.09375","","",""
"1189696","0","0","0","","","","","",""
"1190304","","","","","","","0","0","0"
"1201728","","","","0.099609375","0.099609375","0.099609375","","",""
"1202176","0","0","0","","","","","",""
"1203072","","","","","","","0","0","0"
"1215328","0","0","0","","","","","",""
"1215904","","","","","","","0","0","0"
"1215936","","","","0.09375","0.09375","0.09375","","",""
"1228064","","","","","","","0","0","0"
"1228704","0","0","0","","","","","",""
"1228768","","","","0.09375","0.09375","0.09375","","",""
"1240544","","","","","","","0","0","0"
"1240672","0","0","0","","","","","",""
"1240992","","","","0.099609375","0.099609375","0.099609375","","",""
"1253376","","","","0.09375","0.09375","0.09375","","",""
"1253696","0","0","0","","","","","",""
"1253984","","","","","","","0","0","0"
"1265472","0","0","0","","","","","",""
"1266752","","","","","","","0","0","0"
"1266880","","","","0.09375","0.09375","0.09375","","",""
"1279680","","","","","","","0","0","0"
"1279840","0","0","0","0.09375","0.09375","0.09375","","",""
"1291840","","","","0.09375","0.09375","0.09375","","",""
"1292640","0","0","0","","","","","",""
"1292672","","","","","","","0","0","0"
"1305056","","","","0.099609375","0.099609375","0.099609375","0","0","0"
"1305376","0","0","0","","","","","",""
"1318080","0","0","0","","","","","",""
"1318304","","","","0.09375","0.09375","0.09375","","",""
"1318368","","","","","","","0","0","0"
"1329696","0","0","0","","","","","",""
"1330816","","","","","","","0","0","0"
"1330848","","","","0.09375","0.09375","0.09375","","",""
"1343360","","","","","","","0","0","0"
"1343744","","","","0.099609375","0.099609375","0.099609375","","",""
"1343872","0","0","0","","","","","",""
"1356032","0","0","0","","","","","",""
"1356384","","","","","","","0","0","0"
"1356544","","","","0.09375","0.09375","0.09375","","",""
"1368416","","","","","","","0","0","0"
"1369472","0","0","0","","","","","",""
"1369504","","","","0.09375","0.09375","0.09375","","",""
"1381024","0","0","0","","","","","",""
"1381824","","","","","","","0","0","0"
"1382176","","","","0.099609375","0.099609375","0.099609375","","",""
"1393440","0","0","0","","","","","",""
"1395072","","","","","","","0","0","0"
"1395136","","","","0.095703125","0.095703125","0.095703125","","",""
"1407680","","","","","","","0","0","0"
"1407744","","","","0.09765625","0.09765625","0.09765625","","",""
"1407872","0","0","0","","","","","",""
"1420224","","","","0.09375","0.09375","0.09375","","",""
"1420288","","","","","","","0","0","0"
"1420704","0","0","0","","","","","",""
"1432416","0","0","0","","","","","",""
"1432992","","","","","","","0","0","0"
"1433344","","","","0.09375","0.09375","0.09375","","",""
"1445216","","","","","","","0","0","0"
"1445792","","","","0.09375","0.09375","0.09375","","",""
"1446240","0","0","0","","","","","",""
"1457760","","","","","","","0","0","0"
"1459136","0","0","0","","","","","",""
"1459168","","","","0.09375","0.09375","0.09375","","",""
"1471040","","","","","","","0","0","0"
"1471712","0","0","0","0.099609375","0.099609375","0.099609375","","",""
"1483456","","","","0.09375","0.09375","0.09375","","",""
"1484192","0","0","0","","","","","",""
"1484736","","","","","","","0","0","0"
"1497152","","","","","","","0","0","0"
"1497376","0","0","0","0.09375","0.09375","0.09375","","",""
"1509056","","","","0.09375","0.09375","0.09375","","",""
"1510016","0","0","0","","","","","",""
"1510208","","","","","","","0","0","0"
"1522016","","","","","","","0","0","0"
"1522848","0","0","0","","","","","",""
"1522944","","","","0.099609375","0.099609375","0.099609375","","",""
"1534496","0","0","0","","","","","",""
"1535808","","","","","","","0","0","0"
"1535840","","","","0.099609375","0.099609375","0.099609375","","",""
"1548064","0","0","0","","","","","",""
"1548416","","","","","","","0","0","0"
"1548736","","","","0.095703125","0.095703125","0.095703125","","",""
"1560864","","","","","","","0","0","0"
"1561504","","","","0.09765625","0.09765625","0.09765625","","",""
"1561568","0","0","0","","","","","",""
"1573536","","","","0.09375","0.09375","0.09375","","",""
"1574272","0","0","0","","","","","",""
"1574336","","","","","","","0","0","0"
"1586400","","","","","","","0","0","0"
"1586912","0","0","0","","","","","",""
"1587136","","","","0.09375","0.09375","0.09375","","",""
"1599520","0","0","0","","","","","",""
"1599712","","","","0.09375","0.09375","0.09375","","",""
"1599840","","","","","","","0","0","0"
"1612448","","","","","","","0","0","0"
"1612512","","","","0.09375","0.09375","0.09375","","",""
"1612736","0","0","0","","","","","",""
"1625376","","","","","","","0","0","0"
"1625472","0","0","0","","","","","",""
"1625536","","","","0.09375","0.09375","0.09375","","",""
"1638048","","","","","","","0","0","0"
"1638080","","","","0.09375","0.09375","0.09375","","",""
"1638240","0","0","0","","","","","",""
"1650784","0","0","0","","","","","",""
"1650912","","","","0.09375","0.09375","0.09375","","",""
"1650976","","","","","","","0","0","0"
"1660768","","","","0.099609375","0.099609375","0.099609375","","",""
"1663872","0.005859375","0.005859375","0.005859375","","","","","",""
"1663904","","","","","","","0","0","0"
"1674272","","","","","","","0.1875","0.1875","0.1875"
"1676032","0","0","0","","","","","",""
"1676704","","","","0.08203125","0.08203125","0.08203125","","",""
"1688416","","","","0.09375","0.09375","0.09375","","",""
"1688576","","","","","","","0","0","0"
"1689152","0.005859375","0.005859375","0.005859375","","","","","",""
"1700704","","","","0.099609375","0.099609375","0.099609375","","",""
"1702112","","","","","","","0","0","0"
"1702304","0","0","0","","","","","",""
"1714528","","","","","","","0","0","0"
"1714560","","","","0.09375","0.09375","0.09375","","",""
"1714656","0","0","0","","","","","",""
"1727200","0","0","0","","","","","",""
"1727616","","","","","","","0","0","0"
"1727968","","","","0.099609375","0.099609375","0.099609375","","",""
"1740352","","","","","","","0","0","0"
"1740512","0","0","0","","","","","",""
"1740672","","","","0.099609375","0.099609375","0.099609375","","",""
"1752128","0","0","0","","","","","",""
"1753344","","","","0.09375","0.09375","0.09375","","",""
"1753440","","","","","","","0","0","0"
"1765376","","","","0.10546875","0.10546875","0.10546875","","",""
"1765440","","","","","","","0","0","0"
"1766368","0","0","0","","","","","",""
"1778592","0.005859375","0.005859375","0.005859375","","","","","",""
"1778912","","","","0.09375","0.09375","0.09375","","",""
"1778944","","","","","","","0","0","0"
"1791392","0","0","0","","","","","",""
"1791840","","","","0.09375","0.09375","0.09375","0","0","0"
"1804736","0","0","0","","","","","",""
"1804768","","","","0.10546875","0.10546875","0.10546875","0","0","0"
"1817024","0","0","0","","","","","",""
"1817376","","","","","","","0","0","0"
"1817440","","","","0.10546875","0.10546875","0.10546875","","",""
"1830080","","","","","","","0","0","0"
"1830272","0","0","0","","","","","",""
"1830368","","","","0.10546875","0.10546875","0.10546875","","",""
"1841568","","","","","","","0","0","0"
"1841824","","","","0.09375","0.09375","0.09375","","",""
"1842496","0","0","0","","","","","",""
"1855648","","","","","","","0","0","0"
"1855744","0","0","0","","","","","",""
"1855936","","","","0.10546875","0.10546875","0.10546875","","",""
"1866880","","","","0.099609375","0.099609375","0.099609375","","",""
"1868544","0","0","0","","","","","",""
"1868608","","","","","","","0","0","0"
"1880928","","","","","","","0","0","0"
"1881312","","","","0.10546875","0.10546875","0.10546875","","",""
"1881408","0","0","0","","","","","",""
"1893536","","","","","","","0","0","0"
"1893984","","","","0.09375","0.09375","0.09375","","",""
"1894112","0","0","0","","","","","",""
"1906240","0","0","0","","","","","",""
"1907072","","","","","","","0","0","0"
"1907168","","","","0.09375","0.09375","0.09375","","",""
"1919104","0","0","0","","","","","",""
"1919488","","","","","","","0","0","0"
"1919712","","","","0.09375","0.09375","0.09375","","",""
"1932640","","","","","","","0","0","0"
"1932704","","","","0.099609375","0.099609375","0.099609375","","",""
"1932736","0","0","0","","","","","",""
"1944512","0","0","0","","","","","",""
"1945216","","","","0.09375","0.09375","0.09375","","",""
"1945408","","","","","","","0","0","0"
"1957920","","","","0.099609375","0.099609375","0.099609375","","",""
"1958144","","","","","","","0","0","0"
"1958304","0","0","0","","","","","",""
"1970592","","","","","","","0","0","0"
"1970944","0","0","0","","","","","",""
"1970976","","","","0.09375","0.09375","0.09375","","",""
"1983136","","","","0.099609375","0.099609375","0.099609375","","",""
"1983904","","","","","","","0","0","0"
"1983968","0","0","0","","","","","",""
"1996096","0","0","0","","","","","",""
"1996128","","","","0.09375","0.09375","0.09375","","",""
"1996352","","","","","","","0.005859375","0.005859375","0.005859375"
"2009088","0.005859375","0.005859375","0.005859375","","","","","",""
"2009536","","","","","","","0","0","0"
"2009568","","","","0.099609375","0.099609375","0.099609375","","",""
"2022176","","","","0.099609375","0.099609375","0.099609375","","",""
"2022272","","","","","","","0","0","0"
"2022304","0","0","0","","","","","",""
"2034880","","","","0.09375","0.09375","0.09375","","",""
"2035040","0","0","0","","","","","",""
"2035104","","","","","","","0","0","0"
"2047616","","","","","","","0","0","0"
"2047872","0","0","0","","","","","",""
"2047904","","","","0.09375","0.09375","0.09375","","",""
"2059392","","","","0.099609375","0.099609375","0.099609375","","",""
"2060608","0.005859375","0.005859375","0.005859375","","","","","",""
"2060768","","","","","","","0","0","0"
"2073280","0","0","0","0.099609375","0.099609375","0.099609375","","",""
"2073376","","","","","","","0","0","0"
"2085920","","","","0.09375","0.09375","0.09375","","",""
"2086016","0","0","0","","","","","",""
"2086240","","","","","","","0","0","0"
"2096288","","","","0.09375","0.09375","0.09375","","",""
"2097664","","","","","","","0","0","0"
"2098208","0","0","0","","","","","",""
"2110752","","","","0.09375","0.09375","0.09375","","",""
"2111488","","","","","","","0","0","0"
"2111744","0","0","0","","","","","",""
"2124224","","","","0.09375","0.09375","0.09375","","",""
"2124384","0","0","0","","","","","",""
"2124768","","","","","","","0","0","0"
"2137184","0","0","0","","","","","",""
"2137344","","","","","","","0","0","0"
"2137472","","","","0.103515625","0.103515625","0.103515625","","",""
"2149120","0","0","0","","","","","",""
"2149888","","","","0.107421875","0.107421875","0.107421875","","",""
"2150048","","","","","","","0","0","0"
"2162944","0","0","0","","","","","",""
"2162976","","","","0.11328125","0.11328125","0.11328125","","",""
"2163136","","","","","","","0","0","0"
"2175264","","","","","","","0","0","0"
"2175712","","","","0.103515625","0.103515625","0.103515625","","",""
"2175776","0","0","0","","","","","",""
"2187712","","","","0.099609375","0.099609375","0.099609375","","",""
"2187776","0","0","0","","","","","",""
"2188320","","","","","","","0","0","0"
"2200320","","","","","","","0","0","0"
"2200864","","","","0.111328125","0.111328125","0.111328125","","",""
"2201376","0","0","0","","","","","",""
"2212768","0","0","0","","","","","",""
"2213536","","","","0.099609375","0.099609375","0.099609375","","",""
"2214208","","","","","","","0","0","0"
"2224000","0","0","0","","","","","",""
"2226048","","","","","","","0","0","0"
"2227008","","","","0.09375","0.09375","0.09375","","",""
"2239424","0.005859375","0.005859375","0.005859375","","","","","",""
"2239744","","","","","","","0","0","0"
"2239776","","","","0.09375","0.09375","0.09375","","",""
"2251776","0","0","0","","","","","",""
"2252000","","","","","","","0","0","0"
"2252320","","","","0.09375","0.09375","0.09375","","",""
"2265120","","","","","","","0","0","0"
"2265280","0","0","0","","","","","",""
"2265472","","","","0.09375","0.09375","0.09375","","",""
"2278080","","","","0.09375","0.09375","0.09375","","",""
"2278176","","","","","","","0","0","0"
"2278368","0.005859375","0.005859375","0.005859375","","","","","",""
"2290912","","","","","","","0","0","0"
"2291104","","","","0.099609375","0.099609375","0.099609375","","",""
"2291168","0.00390625","0.00390625","0.00390625","","","","","",""
"2303488","","","","","","","0","0","0"
"2303872","","","","0.09375","0.09375","0.09375","","",""
"2303936","0.0078125","0.0078125","0.0078125","","","","","",""
"2315424","","","","0.099609375","0.099609375","0.099609375","","",""
"2316288","0","0","0","","","","","",""
"2316320","","","","","","","0","0","0"
"2328864","0","0","0","","","","","",""
"2329344","","","","","","","0","0","0"
"2329472","","","","0.09375","0.09375","0.09375","","",""
"2340576","0.005859375","0.005859375","0.005859375","","","","","",""
"2342080","","","","","","","0","0","0"
"2342368","","","","0.09375","0.09375","0.09375","","",""
"2354592","0","0","0","","","","","",""
"2354656","","","","","","","0","0","0"
"2354688","","","","0.10546875","0.10546875","0.10546875","","",""
"2367328","0","0","0","","","","","",""
"2367872","","","","","","","0","0","0"
"2367904","","","","0.09375","0.09375","0.09375","","",""
"2379744","","","","0.09375","0.09375","0.09375","","",""
"2380608","0.01171875","0.01171875","0.01171875","","","","","",""
"2380768","","","","","","","0.005859375","0.005859375","0.005859375"
"2393152","","","","","","","0","0","0"
"2393248","","","","0.1171875","0.1171875","0.1171875","","",""
"2393568","0.005859375","0.005859375","0.005859375","","","","","",""
"2405472","","","","","","","0","0","0"
"2406304","","","","0.103515625","0.103515625","0.103515625","","",""
"2406336","0","0","0","","","","","",""
"2418816","","","","0.095703125","0.095703125","0.095703125","","",""
"2418880","0","0","0","","","","","",""
"2419104","","","","","","","0","0","0"
"2431232","","","","0.09375","0.09375","0.09375","","",""
"2431744","","","","","","","0","0","0"
"2431840","0","0","0","","","","","",""
"2443008","","","","0.09375","0.09375","0.09375","","",""
"2443936","0","0","0","","","","","",""
"2444192","","","","","","","0","0","0"
"2456576","","","","0.099609375","0.099609375","0.099609375","","",""
"2457184","0","0","0","","","","","",""
"2457248","","","","","","","0.01171875","0.01171875","0.01171875"
"2470048","","","","0.095703125","0.095703125","0.095703125","","",""
"2470304","0","0","0","","","","","",""
"2470336","","","","","","","0","0","0"
"2482592","0","0","0","","","","","",""
"2482944","","","","","","","0","0","0"
"2483168","","","","0.103515625","0.103515625","0.103515625","","",""
"2495616","0","0","0","","","","","",""
"2495776","","","","","","","0","0","0"
"2495808","","","","0.099609375","0.099609375","0.099609375","","",""
"2508256","","","","","","","0","0","0"
"2508576","0.01171875","0.01171875","0.01171875","","","","","",""
"2508672","","","","0.10546875","0.10546875","0.10546875","","",""
"2520640","","","","","","","0","0","0"
"2520992","","","","0.099609375","0.099609375","0.099609375","","",""
"2521248","0","0","0","","","","","",""
"2534112","","","","","","","0","0","0"
"2534272","0","0","0","0.09375","0.09375","0.09375","","",""
"2545408","0","0","0","","","","","",""
"2546432","","","","","","","0","0","0"
"2547104","","","","0.099609375","0.099609375","0.099609375","","",""
"2559424","0.015625","0.015625","0.015625","","","","","",""
"2559552","","","","","","","0","0","0"
