"Step","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_3","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_3","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_3","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_3__MAX"
"12576","","","","0.384765625","0.384765625","0.384765625","","",""
"12704","","","","","","","0.5546875","0.5546875","0.5546875"
"12768","0.28125","0.28125","0.28125","","","","","",""
"24928","","","","","","","0.328125","0.328125","0.328125"
"25280","","","","0.873046875","0.873046875","0.873046875","","",""
"25504","0.646484375","0.646484375","0.646484375","","","","","",""
"36640","0.8125","0.8125","0.8125","","","","","",""
"38272","","","","0.787109375","0.787109375","0.787109375","","",""
"38336","","","","","","","0.927734375","0.927734375","0.927734375"
"50144","","","","","","","0.912109375","0.912109375","0.912109375"
"50784","","","","1","1","1","","",""
"51040","1","1","1","","","","","",""
"63680","","","","0.875","0.875","0.875","","",""
"63840","1","1","1","","","","","",""
"63872","","","","","","","0.787109375","0.787109375","0.787109375"
"76192","","","","","","","0.744140625","0.744140625","0.744140625"
"76576","0.8125","0.8125","0.8125","0.75","0.75","0.75","","",""
"88224","","","","0.8125","0.8125","0.8125","","",""
"88928","0.625","0.625","0.625","","","","","",""
"89248","","","","","","","0.79296875","0.79296875","0.79296875"
"102176","0.8125","0.8125","0.8125","","","","","",""
"102240","","","","0.8125","0.8125","0.8125","","",""
"102272","","","","","","","0.349609375","0.349609375","0.349609375"
"114688","1","1","1","","","","","",""
"114944","","","","0.8125","0.8125","0.8125","","",""
"115008","","","","","","","0.38671875","0.38671875","0.38671875"
"127008","","","","1","1","1","","",""
