"Step","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5__MAX"
"537056","","","","","","","0.931640625","0.931640625","0.931640625"
"537184","","","","0.005859375","0.005859375","0.005859375","","",""
"550048","1","1","1","","","","","",""
"550176","","","","","","","0.9921875","0.9921875","0.9921875"
"550272","","","","0","0","0","","",""
"562496","1","1","1","","","","","",""
"563008","","","","","","","0.99609375","0.99609375","0.99609375"
"563104","","","","0","0","0","","",""
"575904","1","1","1","","","","1","1","1"
"575968","","","","0","0","0","","",""
"588160","1","1","1","","","","","",""
"588736","","","","","","","0.8125","0.8125","0.8125"
"588768","","","","0.19921875","0.19921875","0.19921875","","",""
"598304","","","","0.005859375","0.005859375","0.005859375","","",""
"601024","1","1","1","","","","","",""
"601440","","","","","","","1","1","1"
"611616","","","","0","0","0","","",""
"614016","","","","","","","1","1","1"
"614272","1","1","1","","","","","",""
"626848","","","","","","","0.806640625","0.806640625","0.806640625"
"627072","0.8125","0.8125","0.8125","","","","","",""
"627168","","","","0.017578125","0.017578125","0.017578125","","",""
"639072","","","","","","","0.994140625","0.994140625","0.994140625"
"639552","","","","0.02734375","0.02734375","0.02734375","","",""
"639776","1","1","1","","","","","",""
"652640","1","1","1","","","","","",""
"652672","","","","0.025390625","0.025390625","0.025390625","0.994140625","0.994140625","0.994140625"
"664896","1","1","1","","","","","",""
"664928","","","","","","","0.98828125","0.98828125","0.98828125"
"665472","","","","0","0","0","","",""
"677984","1","1","1","","","","","",""
"678208","","","","","","","1","1","1"
"678272","","","","0.0078125","0.0078125","0.0078125","","",""
"690816","","","","0.0859375","0.0859375","0.0859375","","",""
"690944","1","1","1","","","","","",""
"691136","","","","","","","1","1","1"
"703488","1","1","1","","","","","",""
"703840","","","","0.068359375","0.068359375","0.068359375","","",""
"703968","","","","","","","1","1","1"
"716640","","","","","","","0.99609375","0.99609375","0.99609375"
"716672","1","1","1","0.0625","0.0625","0.0625","","",""
"729312","1","1","1","","","","","",""
"729472","","","","0.0625","0.0625","0.0625","","",""
"729504","","","","","","","0.9921875","0.9921875","0.9921875"
"741952","","","","","","","1","1","1"
"742208","1","1","1","","","","","",""
"742336","","","","0.0625","0.0625","0.0625","","",""
"754176","","","","0.0625","0.0625","0.0625","","",""
"754464","","","","","","","1","1","1"
"755072","1","1","1","","","","","",""
"767840","","","","0.0625","0.0625","0.0625","1","1","1"
"767936","1","1","1","","","","","",""
"779680","1","1","1","","","","","",""
"780416","","","","","","","1","1","1"
"780608","","","","0.0625","0.0625","0.0625","","",""
"792768","","","","","","","0.994140625","0.994140625","0.994140625"
"793216","","","","0.0625","0.0625","0.0625","","",""
"793440","1","1","1","","","","","",""
"805952","1","1","1","","","","","",""
"806336","","","","0.23828125","0.23828125","0.23828125","1","1","1"
"818496","1","1","1","","","","","",""
"818816","","","","0.0625","0.0625","0.0625","","",""
"818848","","","","","","","1","1","1"
"831136","","","","","","","1","1","1"
"831616","","","","0.068359375","0.068359375","0.068359375","","",""
"831904","1","1","1","","","","","",""
"843808","0.994140625","0.994140625","0.994140625","","","","","",""
"843840","","","","0.0625","0.0625","0.0625","","",""
"844672","","","","","","","1","1","1"
"857280","1","1","1","","","","","",""
"857344","","","","0.078125","0.078125","0.078125","","",""
"857536","","","","","","","1","1","1"
"869504","","","","","","","1","1","1"
"870272","1","1","1","","","","","",""
"870368","","","","0.09765625","0.09765625","0.09765625","","",""
"881664","1","1","1","","","","","",""
"882912","","","","0.1171875","0.1171875","0.1171875","","",""
"883168","","","","","","","0.98828125","0.98828125","0.98828125"
"895776","0.994140625","0.994140625","0.994140625","","","","","",""
