"Step","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_5","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_5","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_5","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_5__MAX"
"10784","","","","1","1","1","","",""
"11360","0.9375","0.9375","0.9375","","","","","",""
"11680","","","","","","","0.1875","0.1875","0.1875"
"22816","0.6875","0.6875","0.6875","","","","","",""
"23520","","","","","","","0.125","0.125","0.125"
"25088","","","","0.625","0.625","0.625","","",""
"37600","","","","0.8125","0.8125","0.8125","","",""
"37984","","","","","","","0.4375","0.4375","0.4375"
"38304","0.625","0.625","0.625","","","","","",""
"50976","0.990234375","0.990234375","0.990234375","","","","","",""
"51136","","","","","","","0.1875","0.1875","0.1875"
"51168","","","","0.974609375","0.974609375","0.974609375","","",""
"63456","0.5703125","0.5703125","0.5703125","","","","","",""
"63680","","","","","","","0.125","0.125","0.125"
"63872","","","","0.978515625","0.978515625","0.978515625","","",""
"76224","","","","0.7890625","0.7890625","0.7890625","","",""
"76704","0.4609375","0.4609375","0.4609375","","","","0.0625","0.0625","0.0625"
"88384","0.326171875","0.326171875","0.326171875","","","","","",""
"89152","","","","","","","0","0","0"
"89568","","","","0.794921875","0.794921875","0.794921875","","",""
"101856","","","","0.8125","0.8125","0.8125","","",""
"101984","","","","","","","0.1875","0.1875","0.1875"
"102176","0.833984375","0.833984375","0.833984375","","","","","",""
"114240","0.75","0.75","0.75","","","","","",""
"114720","","","","","","","0","0","0"
"115072","","","","0.8125","0.8125","0.8125","","",""
"127776","","","","0.9375","0.9375","0.9375","","",""
"127904","1","1","1","","","","","",""
"127936","","","","","","","0","0","0"
"139296","","","","0.6875","0.6875","0.6875","","",""
"140000","0.8125","0.8125","0.8125","","","","","",""
"140096","","","","","","","0","0","0"
"152800","","","","0.8125","0.8125","0.8125","","",""
"153440","","","","","","","0","0","0"
"153472","1","1","1","","","","","",""
"165664","0.8125","0.8125","0.8125","","","","","",""
"166080","","","","0.625","0.625","0.625","","",""
"166368","","","","","","","0.375","0.375","0.375"
"178528","0.8125","0.8125","0.8125","","","","","",""
"178784","","","","","","","0","0","0"
"179168","","","","0.8125","0.8125","0.8125","","",""
"190400","","","","","","","0","0","0"
