"Step","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3__MAX"
"511872","","","","","","","0.1875","0.1875","0.1875"
"523904","","","","0","0","0","","",""
"524544","0.5625","0.5625","0.5625","","","","","",""
"524608","","","","","","","0","0","0"
"536960","","","","0","0","0","","",""
"537504","0.47265625","0.47265625","0.47265625","","","","","",""
"537536","","","","","","","0","0","0"
"549824","0.40234375","0.40234375","0.40234375","","","","","",""
"549952","","","","","","","0","0","0"
"550272","","","","0","0","0","","",""
"562528","","","","0.005859375","0.005859375","0.005859375","","",""
"562880","0.31640625","0.31640625","0.31640625","","","","","",""
"563136","","","","","","","0.1875","0.1875","0.1875"
"575424","0.2421875","0.2421875","0.2421875","","","","","",""
"575680","","","","0","0","0","","",""
"575936","","","","","","","0","0","0"
"587520","","","","0","0","0","","",""
"588608","0.048828125","0.048828125","0.048828125","","","","0","0","0"
"601280","","","","","","","0","0","0"
"601472","","","","0","0","0","","",""
"601568","0.015625","0.015625","0.015625","","","","","",""
"614080","","","","0","0","0","","",""
"614240","","","","","","","0","0","0"
"614272","0","0","0","","","","","",""
"626624","","","","","","","0.1875","0.1875","0.1875"
"626912","","","","0","0","0","","",""
"626976","0","0","0","","","","","",""
"638624","","","","0","0","0","","",""
"639488","0.005859375","0.005859375","0.005859375","","","","","",""
"639648","","","","","","","0","0","0"
"652032","0","0","0","","","","","",""
"652320","","","","0","0","0","","",""
"652768","","","","","","","0","0","0"
"664608","0","0","0","0","0","0","","",""
"665440","","","","","","","0","0","0"
"676672","0","0","0","","","","","",""
"678048","","","","","","","0","0","0"
