"Step","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_4","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_4__MAX","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_4","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_4__MAX","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_4","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_4__MAX"
"10784","","","","0.25","0.25","0.25","","",""
"11360","0.0625","0.0625","0.0625","","","","","",""
"11680","","","","","","","0.75","0.75","0.75"
"22816","0.6875","0.6875","0.6875","","","","","",""
"23520","","","","","","","0.5625","0.5625","0.5625"
"25088","","","","0.3125","0.3125","0.3125","","",""
"37600","","","","0","0","0","","",""
"37984","","","","","","","0.75","0.75","0.75"
"38304","0.1875","0.1875","0.1875","","","","","",""
"50976","0","0","0","","","","","",""
"51136","","","","","","","0.625","0.625","0.625"
"51168","","","","0","0","0","","",""
"63456","0.3125","0.3125","0.3125","","","","","",""
"63680","","","","","","","1","1","1"
"63872","","","","0.3125","0.3125","0.3125","","",""
"76224","","","","0.0625","0.0625","0.0625","","",""
"76704","0.0625","0.0625","0.0625","","","","1","1","1"
"88384","0.1875","0.1875","0.1875","","","","","",""
"89152","","","","","","","0.8125","0.8125","0.8125"
"89568","","","","0","0","0","","",""
"101856","","","","0.3125","0.3125","0.3125","","",""
"101984","","","","","","","1","1","1"
"102176","0.1875","0.1875","0.1875","","","","","",""
"114240","0.1875","0.1875","0.1875","","","","","",""
"114720","","","","","","","0.625","0.625","0.625"
"115072","","","","0.25","0.25","0.25","","",""
"127776","","","","0.0625","0.0625","0.0625","","",""
"127904","0.0625","0.0625","0.0625","","","","","",""
"127936","","","","","","","1","1","1"
"139296","","","","0.125","0.125","0.125","","",""
"140000","0.3125","0.3125","0.3125","","","","","",""
"140096","","","","","","","1","1","1"
"152800","","","","0.1875","0.1875","0.1875","","",""
"153440","","","","","","","0.625","0.625","0.625"
"153472","0","0","0","","","","","",""
"165664","0.1875","0.1875","0.1875","","","","","",""
"166080","","","","0.1875","0.1875","0.1875","","",""
"166368","","","","","","","1","1","1"
"178528","0.1875","0.1875","0.1875","","","","","",""
"178784","","","","","","","0.8125","0.8125","0.8125"
"179168","","","","0","0","0","","",""
"190400","","","","","","","1","1","1"
"190432","","","","0.1875","0.1875","0.1875","","",""
"191328","0.1875","0.1875","0.1875","","","","","",""
"203680","","","","0.375","0.375","0.375","","",""
"204480","0.375","0.375","0.375","","","","","",""
"204640","","","","","","","0.8125","0.8125","0.8125"
"216384","0.125","0.125","0.125","","","","","",""
"216960","","","","","","","1","1","1"
"217152","","","","0","0","0","","",""
"229344","","","","0","0","0","","",""
"230048","0.0625","0.0625","0.0625","","","","","",""
"230240","","","","","","","1","1","1"
"242432","0.1875","0.1875","0.1875","","","","","",""
"242688","","","","","","","1","1","1"
"243136","","","","0.375","0.375","0.375","","",""
"255616","","","","","","","1","1","1"
"255680","","","","0.125","0.125","0.125","","",""
"255712","0","0","0","","","","","",""
"268480","0","0","0","","","","","",""
"268736","","","","0.0625","0.0625","0.0625","1","1","1"
"280992","0.0625","0.0625","0.0625","","","","","",""
"281312","","","","","","","1","1","1"
"281408","","","","0.0625","0.0625","0.0625","","",""
"293888","0.3125","0.3125","0.3125","","","","","",""
"293984","","","","0.3125","0.3125","0.3125","","",""
"294272","","","","","","","1","1","1"
"306720","","","","0","0","0","","",""
"306944","0","0","0","","","","","",""
"307104","","","","","","","1","1","1"
"319392","0.1875","0.1875","0.1875","","","","","",""
"319904","","","","0.1875","0.1875","0.1875","1","1","1"
"331072","0","0","0","","","","","",""
