"Step","a3c_Frostbite_runseed=0 - training/episode/reward","a3c_Frostbite_runseed=0 - training/episode/reward__MIN","a3c_Frostbite_runseed=0 - training/episode/reward__MAX"
"12986048","260","260","260"
"12988352","240","240","240"
"12988448","240","240","240"
"12988544","250","250","250"
"12988608","270","270","270"
"12989792","250","250","250"
"12990112","260","260","260"
"12991520","270","270","270"
"12992800","240","240","240"
"12993152","260","260","260"
"12994080","260","260","260"
"12996288","260","260","260"
"12997408","260","260","260"
"12997856","260","260","260"
"12999488","260","260","260"
"12999840","260","260","260"
"13001696","260","260","260"
"13002400","260","260","260"
"13003040","260","260","260"
"13004320","260","260","260"
"13004672","260","260","260"
"13006048","260","260","260"
"13006208","260","260","260"
"13006560","260","260","260"
"13008576","260","260","260"
"13009632","250","250","250"
"13010240","260","260","260"
"13010368","260","260","260"
"13010560","260","260","260"
"13010688","260","260","260"
"13012320","260","260","260"
"13012608","260","260","260"
"13014368","260","260","260"
"13015936","250","250","250"
"13017600","260","260","260"
"13018464","250","250","250"
"13019200","260","260","260"
"13020224","270","270","270"
"13021792","260","260","260"
"13022112","260","260","260"
"13022816","260","260","260"
"13024736","250","250","250"
"13024800","260","260","260"
"13025472","250","250","250"
"13025952","260","260","260"
"13026144","260","260","260"
"13026272","260","260","260"
"13026592","250","250","250"
"13026880","260","260","260"
"13027008","260","260","260"
"13028096","260","260","260"
"13031712","260","260","260"
"13032256","260","260","260"
"13032672","260","260","260"
"13032928","260","260","260"
"13034816","260","260","260"
"13035392","260","260","260"
"13036576","260","260","260"
"13036960","260","260","260"
"13037664","260","260","260"
"13038176","260","260","260"
"13039136","260","260","260"
"13039520","260","260","260"
"13040736","260","260","260"
"13041280","260","260","260"
"13042944","260","260","260"
"13043456","260","260","260"
"13043904","260","260","260"
"13044000","260","260","260"
"13045056","260","260","260"
"13046624","260","260","260"
"13049088","260","260","260"
"13049312","260","260","260"
"13050624","260","260","260"
"13051360","260","260","260"
"13051936","260","260","260"
"13052672","260","260","260"
"13054080","260","260","260"
"13054752","230","230","230"
"13055968","260","260","260"
"13057888","260","260","260"
"13058176","260","260","260"
"13059488","260","260","260"
"13059712","260","260","260"
"13060448","260","260","260"
"13061088","260","260","260"
"13062240","260","260","260"
"13064992","260","260","260"
"13068128","250","250","250"
"13068320","260","260","260"
"13069888","260","260","260"
"13071136","230","230","230"
"13071808","250","250","250"
"13072352","260","260","260"
"13072416","260","260","260"
"13072640","230","230","230"
"13072768","260","260","260"
"13072928","260","260","260"
"13074880","260","260","260"
"13075680","240","240","240"
"13076736","260","260","260"
"13078400","250","250","250"
"13082784","260","260","260"
"13084224","250","250","250"
"13084384","250","250","250"
"13085376","260","260","260"
"13088448","260","260","260"
"13088576","260","260","260"
"13088736","260","260","260"
"13088960","250","250","250"
"13089312","270","270","270"
"13089888","260","260","260"
"13090528","260","260","260"
"13090592","240","240","240"
"13090688","260","260","260"
"13092160","220","220","220"
"13094176","260","260","260"
"13095168","250","250","250"
"13098656","260","260","260"
"13100224","250","250","250"
"13101152","260","260","260"
"13103584","260","260","260"
"13104096","260","260","260"
"13105152","270","270","270"
"13105472","260","260","260"
"13105632","260","260","260"
"13105792","260","260","260"
"13106976","260","260","260"
"13107648","260","260","260"
"13108960","250","250","250"
"13109344","260","260","260"
"13110016","260","260","260"
"13110784","260","260","260"
"13110944","230","230","230"
"13112064","260","260","260"
"13112224","260","260","260"
"13112736","260","260","260"
"13114336","260","260","260"
"13114720","220","220","220"
"13119392","250","250","250"
"13119424","250","250","250"
"13120576","250","250","250"
"13120992","260","260","260"
"13122208","250","250","250"
"13123040","260","260","260"
"13123872","260","260","260"
"13124672","260","260","260"
"13125312","260","260","260"
"13125568","260","260","260"
"13128160","260","260","260"
"13128512","250","250","250"
"13131072","260","260","260"
"13134752","260","260","260"
"13135808","260","260","260"
"13136064","250","250","250"
"13136896","260","260","260"
"13137120","250","250","250"
"13137856","260","260","260"
"13140704","260","260","260"
"13140992","260","260","260"
"13141376","260","260","260"
"13141600","260","260","260"
"13141984","260","260","260"
"13142400","260","260","260"
"13143360","260","260","260"
"13144096","250","250","250"
"13145600","260","260","260"
"13145984","260","260","260"
"13146112","260","260","260"
"13146752","260","260","260"
"13146944","240","240","240"
"13150336","260","260","260"
"13151104","260","260","260"
"13152512","260","260","260"
"13152864","260","260","260"
"13153440","260","260","260"
"13154240","210","210","210"
"13155264","260","260","260"
"13156352","260","260","260"
"13156864","260","260","260"
"13157184","250","250","250"
"13157888","260","260","260"
"13158080","250","250","250"
"13158976","260","260","260"
"13159680","260","260","260"
"13161408","260","260","260"
"13161600","260","260","260"
"13163360","260","260","260"
"13164128","260","260","260"
"13164352","250","250","250"
"13166208","260","260","260"
"13167200","260","260","260"
"13168192","260","260","260"
"13169632","260","260","260"
"13169792","260","260","260"
"13170336","250","250","250"
"13170464","260","260","260"
"13170528","260","260","260"
"13171360","250","250","250"
"13172768","260","260","260"
"13173056","220","220","220"
"13173888","260","260","260"
"13175264","260","260","260"
"13176896","260","260","260"
"13177984","240","240","240"
"13179360","220","220","220"
"13179840","250","250","250"
"13180864","260","260","260"
"13183008","260","260","260"
"13184672","260","260","260"
"13187296","270","270","270"
"13187616","260","260","260"
"13189632","260","260","260"
"13189856","260","260","260"
"13190752","260","260","260"
"13191456","240","240","240"
"13192480","260","260","260"
"13194080","260","260","260"
"13194528","260","260","260"
"13194720","260","260","260"
"13195104","250","250","250"
"13196448","260","260","260"
"13197216","260","260","260"
"13198496","250","250","250"
"13200096","260","260","260"
"13200928","260","260","260"
"13200992","250","250","250"
"13203712","260","260","260"
"13203744","260","260","260"
"13203840","260","260","260"
"13204224","260","260","260"
"13205696","260","260","260"
"13205920","230","230","230"
"13206880","230","230","230"
"13207744","260","260","260"
"13208768","250","250","250"
"13208800","260","260","260"
"13211232","260","260","260"
"13211552","260","260","260"
"13212544","260","260","260"
"13212768","260","260","260"
"13213216","250","250","250"
"13213728","260","260","260"
"13215648","260","260","260"
"13216832","260","260","260"
"13217600","260","260","260"
"13220352","260","260","260"
"13220896","250","250","250"
"13221408","260","260","260"
"13221440","260","260","260"
"13221568","260","260","260"
"13222336","260","260","260"
"13222368","260","260","260"
"13224960","260","260","260"
"13226144","250","250","250"
"13226624","260","260","260"
"13227168","260","260","260"
"13229440","260","260","260"
"13229632","260","260","260"
"13229728","260","260","260"
"13230208","250","250","250"
"13230944","260","260","260"
"13233664","260","260","260"
"13235328","260","260","260"
"13236896","260","260","260"
"13236960","230","230","230"
"13237664","260","260","260"
"13238368","260","260","260"
"13238944","260","260","260"
"13241024","260","260","260"
"13242336","260","260","260"
"13242528","260","260","260"
"13243104","260","260","260"
"13243136","250","250","250"
"13245568","260","260","260"
"13246144","260","260","260"
"13246752","260","260","260"
"13247744","260","260","260"
"13248640","260","260","260"
"13248960","260","260","260"
"13251392","270","270","270"
"13251584","260","260","260"
"13252576","260","260","260"
"13254336","260","260","260"
"13254592","270","270","270"
"13255360","260","260","260"
"13255456","260","260","260"
"13255584","260","260","260"
"13257856","250","250","250"
"13260768","260","260","260"
"13262112","260","260","260"
"13264736","260","260","260"
"13264768","260","260","260"
"13265280","260","260","260"
"13266272","250","250","250"
"13266944","250","250","250"
"13267456","260","260","260"
"13267616","260","260","260"
"13267712","260","260","260"
"13268608","260","260","260"
"13270016","260","260","260"
"13271104","260","260","260"
"13271744","260","260","260"
"13272576","240","240","240"
"13274176","260","260","260"
"13274784","260","260","260"
"13275168","260","260","260"
"13276736","250","250","250"
"13277280","260","260","260"
"13277440","260","260","260"
"13277664","260","260","260"
"13278144","260","260","260"
"13278304","260","260","260"
"13278624","260","260","260"
"13279584","220","220","220"
"13280544","260","260","260"
"13281792","260","260","260"
"13283328","250","250","250"
"13284096","260","260","260"
"13284576","250","250","250"
"13285184","250","250","250"
"13286400","250","250","250"
"13287424","260","260","260"
"13288000","220","220","220"
"13289888","260","260","260"
"13291328","180","180","180"
"13291424","260","260","260"
"13292032","260","260","260"
"13292480","240","240","240"
"13294336","260","260","260"
"13296800","250","250","250"
"13298816","240","240","240"
"13299072","260","260","260"
"13299200","260","260","260"
"13300128","250","250","250"
"13301632","260","260","260"
"13303424","260","260","260"
"13303520","250","250","250"
"13304384","260","260","260"
"13305824","260","260","260"
"13312448","260","260","260"
"13312864","210","210","210"
"13313568","260","260","260"
"13314464","260","260","260"
"13315104","260","260","260"
"13316928","260","260","260"
"13318240","260","260","260"
"13318912","220","220","220"
"13320288","260","260","260"
"13322048","270","270","270"
"13322080","260","260","260"
"13324320","260","260","260"
"13324736","260","260","260"
"13326432","260","260","260"
"13326944","260","260","260"
"13327200","260","260","260"
"13327776","260","260","260"
"13329472","220","220","220"
"13330816","260","260","260"
"13331136","260","260","260"
"13334016","260","260","260"
"13334464","260","260","260"
"13334496","260","260","260"
"13335616","260","260","260"
"13336096","260","260","260"
"13337600","250","250","250"
"13337984","260","260","260"
"13338848","260","260","260"
"13339104","250","250","250"
"13342880","260","260","260"
"13343328","260","260","260"
"13344736","260","260","260"
"13345280","260","260","260"
"13345312","260","260","260"
"13347488","260","260","260"
"13347872","260","260","260"
"13351040","260","260","260"
"13351392","260","260","260"
"13351712","260","260","260"
"13354112","260","260","260"
"13354912","240","240","240"
"13354976","260","260","260"
"13355904","260","260","260"
"13356224","250","250","250"
"13358336","250","250","250"
"13359520","260","260","260"
"13361504","260","260","260"
"13361696","260","260","260"
"13362016","250","250","250"
"13364448","260","260","260"
"13365024","260","260","260"
"13367456","260","260","260"
"13367808","250","250","250"
"13367872","260","260","260"
"13368448","250","250","250"
"13371584","260","260","260"
"13371616","260","260","260"
"13371936","260","260","260"
"13371968","250","250","250"
"13373088","260","260","260"
"13376352","260","260","260"
"13377024","260","260","260"
"13378400","260","260","260"
"13378912","240","240","240"
"13379488","260","260","260"
"13379968","270","270","270"
"13380896","260","260","260"
"13381152","260","260","260"
"13381728","260","260","260"
"13383776","260","260","260"
"13384864","260","260","260"
"13385760","260","260","260"
"13387200","260","260","260"
"13387456","260","260","260"
"13387552","260","260","260"
"13388160","260","260","260"
"13390272","260","260","260"
"13390528","260","260","260"
"13392832","260","260","260"
"13393312","250","250","250"
"13394816","260","260","260"
"13397600","250","250","250"
"13399104","260","260","260"
"13399520","260","260","260"
"13400384","260","260","260"
"13401728","260","260","260"
"13405408","260","260","260"
"13405728","260","260","260"
"13405952","260","260","260"
"13406080","230","230","230"
"13406400","260","260","260"
"13407008","260","260","260"
"13409280","260","260","260"
"13409312","260","260","260"
"13409824","260","260","260"
"13409856","260","260","260"
"13413312","240","240","240"
"13413792","260","260","260"
"13414048","260","260","260"
"13414464","260","260","260"
"13414720","260","260","260"
"13415104","260","260","260"
"13416096","260","260","260"
"13418208","260","260","260"
"13418464","260","260","260"
"13420352","260","260","260"
"13421120","260","260","260"
"13421184","260","260","260"
"13421344","260","260","260"
"13422112","260","260","260"
"13422176","260","260","260"
"13422720","260","260","260"
"13423104","260","260","260"
"13423616","260","260","260"
"13423776","260","260","260"
"13429376","260","260","260"
"13429824","260","260","260"
"13430304","260","260","260"
"13431456","260","260","260"
"13432128","260","260","260"
"13432608","260","260","260"
"13434912","260","260","260"
"13437632","250","250","250"
"13438720","260","260","260"
"13439520","260","260","260"
"13439616","260","260","260"
"13443488","260","260","260"
"13443712","260","260","260"
"13444544","260","260","260"
"13445536","260","260","260"
"13447744","260","260","260"
"13448544","260","260","260"
"13449056","260","260","260"
"13451840","260","260","260"
"13451968","260","260","260"
"13452192","260","260","260"
"13453152","260","260","260"
"13453728","260","260","260"
"13454176","260","260","260"
"13455328","260","260","260"
"13455392","260","260","260"
"13455968","260","260","260"
"13456192","260","260","260"
"13456800","260","260","260"
"13457504","260","260","260"
"13460544","260","260","260"
"13460768","260","260","260"
"13460864","260","260","260"
"13462464","260","260","260"
"13463520","260","260","260"
"13465984","260","260","260"
"13466592","260","260","260"
"13468704","260","260","260"
"13470080","260","260","260"
"13471360","260","260","260"
"13471680","260","260","260"
"13472512","260","260","260"
"13472928","260","260","260"
"13475424","260","260","260"
"13476672","260","260","260"
"13477440","260","260","260"
"13479520","260","260","260"
"13479776","260","260","260"
"13479840","260","260","260"
"13480576","260","260","260"
"13481344","250","250","250"
"13481600","250","250","250"
"13483232","260","260","260"
"13485824","250","250","250"
"13486528","260","260","260"
"13487008","260","260","260"
"13489888","260","260","260"
"13490240","260","260","260"
"13490368","260","260","260"
"13490656","260","260","260"
"13490944","260","260","260"
"13493920","260","260","260"
"13495744","260","260","260"
"13499904","270","270","270"
"13500640","260","260","260"
"13501056","260","260","260"
"13501344","260","260","260"
"13503808","260","260","260"
"13505056","260","260","260"
"13505696","260","260","260"
"13506016","240","240","240"
"13507008","260","260","260"
"13507168","250","250","250"
"13508032","260","260","260"
"13508960","260","260","260"
"13509888","260","260","260"
"13512128","260","260","260"
"13513376","260","260","260"
"13513632","260","260","260"
"13516096","250","250","250"
"13516352","260","260","260"
"13516960","260","260","260"
"13517120","260","260","260"
"13519104","260","260","260"
"13519296","260","260","260"
"13520000","260","260","260"
"13521568","260","260","260"
"13521728","260","260","260"
"13523072","240","240","240"
"13523392","260","260","260"
"13523808","260","260","260"
"13524096","260","260","260"
"13525280","260","260","260"
"13525824","260","260","260"
"13527648","250","250","250"
"13529280","260","260","260"
"13529888","260","260","260"
"13530176","260","260","260"
"13530560","260","260","260"
"13531776","260","260","260"
"13532064","220","220","220"
"13532896","250","250","250"
"13533632","250","250","250"
"13533952","260","260","260"
"13534336","260","260","260"
"13536416","260","260","260"
"13536960","250","250","250"
"13537600","260","260","260"
"13539200","230","230","230"
"13539488","240","240","240"
"13541152","260","260","260"
"13545120","260","260","260"
"13545696","260","260","260"
"13546688","250","250","250"
"13547328","260","260","260"
"13548544","260","260","260"
"13550048","260","260","260"
"13551072","260","260","260"
"13552032","260","260","260"
"13552864","260","260","260"
"13553120","260","260","260"
"13554624","260","260","260"
"13554688","260","260","260"
"13555744","260","260","260"
"13558176","260","260","260"
"13559584","260","260","260"
"13560352","260","260","260"
"13560576","260","260","260"
"13563200","260","260","260"
"13563488","260","260","260"
"13563776","260","260","260"
"13564416","260","260","260"
"13564864","260","260","260"
"13566240","260","260","260"
"13567360","260","260","260"
"13567456","260","260","260"
"13568832","260","260","260"
"13570016","260","260","260"
"13570688","260","260","260"
"13571008","260","260","260"
"13572544","260","260","260"
"13572704","260","260","260"
"13574944","260","260","260"
"13575328","260","260","260"
"13575648","260","260","260"
"13576096","260","260","260"
"13576160","260","260","260"
"13576704","250","250","250"
"13576736","260","260","260"
"13577408","250","250","250"
"13577856","260","260","260"
"13580544","260","260","260"
"13581504","260","260","260"
"13584448","260","260","260"
"13584768","260","260","260"
"13584960","260","260","260"
"13586176","260","260","260"
"13587776","260","260","260"
"13587936","260","260","260"
"13589216","260","260","260"
"13590432","250","250","250"
"13593024","260","260","260"
"13593472","260","260","260"
"13593952","260","260","260"
"13595008","260","260","260"
"13597248","270","270","270"
"13597952","260","260","260"
"13598912","240","240","240"
"13599552","260","260","260"
"13599776","210","210","210"
"13599872","260","260","260"
"13600096","260","260","260"
"13600192","260","260","260"
"13601056","260","260","260"
"13601920","260","260","260"
"13603392","260","260","260"
"13605024","260","260","260"
"13605344","260","260","260"
"13606176","260","260","260"
"13606752","260","260","260"
"13607104","260","260","260"
"13608416","260","260","260"
"13608640","260","260","260"
"13609216","260","260","260"
"13611136","260","260","260"
"13611168","260","260","260"
"13612544","220","220","220"
"13615584","260","260","260"
"13616000","250","250","250"
"13616544","260","260","260"
"13617728","260","260","260"
"13618048","240","240","240"
"13618688","260","260","260"
"13620192","260","260","260"
"13621312","260","260","260"
"13622048","260","260","260"
"13623456","250","250","250"
"13624256","250","250","250"
"13626080","260","260","260"
"13626688","250","250","250"
"13627168","260","260","260"
"13627296","260","260","260"
"13628032","260","260","260"
"13628416","260","260","260"
"13630816","260","260","260"
"13632096","260","260","260"
"13632928","260","260","260"
"13633568","260","260","260"
"13634240","260","260","260"
"13634848","260","260","260"
"13635168","260","260","260"
"13635392","260","260","260"
"13635680","260","260","260"
"13638240","250","250","250"
"13639232","260","260","260"
"13640928","260","260","260"
"13641920","260","260","260"
"13642080","260","260","260"
"13642624","260","260","260"
"13643008","250","250","250"
"13643744","260","260","260"
"13645216","260","260","260"
"13648160","260","260","260"
"13648256","260","260","260"
"13649440","260","260","260"
"13650240","250","250","250"
"13650944","260","260","260"
"13650976","260","260","260"
"13652000","250","250","250"
"13652800","260","260","260"
"13655296","260","260","260"
"13657792","260","260","260"
"13658016","260","260","260"
"13658304","260","260","260"
"13658848","260","260","260"
"13659392","260","260","260"
"13659520","260","260","260"
"13664160","260","260","260"
"13664544","240","240","240"
"13665472","220","220","220"
"13665664","260","260","260"
"13666112","250","250","250"
"13667040","260","260","260"
"13667488","260","260","260"
"13668736","260","260","260"
"13668896","260","260","260"
"13669344","260","260","260"
"13669984","260","260","260"
"13670528","260","260","260"
"13672896","260","260","260"
"13673088","230","230","230"
"13673952","260","260","260"
"13674656","260","260","260"
"13674880","220","220","220"
"13675104","260","260","260"
"13675200","260","260","260"
"13675776","260","260","260"
"13676896","260","260","260"
"13677184","260","260","260"
"13677280","260","260","260"
"13677504","260","260","260"
"13679680","260","260","260"
"13680224","260","260","260"
"13680704","260","260","260"
"13680960","260","260","260"
"13682304","260","260","260"
"13682336","260","260","260"
"13682944","260","260","260"
"13683040","250","250","250"
"13685216","260","260","260"
"13686144","260","260","260"
"13686880","260","260","260"
"13691232","260","260","260"
"13691360","260","260","260"
"13692800","260","260","260"
"13693248","250","250","250"
"13695392","250","250","250"
"13696384","240","240","240"
"13696544","260","260","260"
"13697408","260","260","260"
"13699840","260","260","260"
"13699936","260","260","260"
"13700512","260","260","260"
"13700640","240","240","240"
"13701472","260","260","260"
"13703584","250","250","250"
"13703744","260","260","260"
"13704704","260","260","260"
"13707264","260","260","260"
"13708128","260","260","260"
"13708608","260","260","260"
"13708896","250","250","250"
"13710528","240","240","240"
"13710912","220","220","220"
"13711008","260","260","260"
"13711296","260","260","260"
"13712928","260","260","260"
"13714592","260","260","260"
"13715040","260","260","260"
"13716096","260","260","260"
"13716896","260","260","260"
"13717024","260","260","260"
"13717824","260","260","260"
"13718272","260","260","260"
"13719616","250","250","250"
"13720160","260","260","260"
"13722144","260","260","260"
"13723520","250","250","250"
"13725824","260","260","260"
"13725920","260","260","260"
"13726176","260","260","260"
"13726464","260","260","260"
"13726720","260","260","260"
"13727424","250","250","250"
"13728256","260","260","260"
"13729408","260","260","260"
"13729600","260","260","260"
"13730144","260","260","260"
"13730304","260","260","260"
"13735360","260","260","260"
"13735488","260","260","260"
"13735840","260","260","260"
"13735872","260","260","260"
"13736320","260","260","260"
"13736800","260","260","260"
"13738208","260","260","260"
"13738592","240","240","240"
"13742080","260","260","260"
"13742240","260","260","260"
"13743072","260","260","260"
"13744928","260","260","260"
"13746016","260","260","260"
"13747200","260","260","260"
"13747296","260","260","260"
"13749184","260","260","260"
"13749216","260","260","260"
"13752544","260","260","260"
"13752960","260","260","260"
"13754048","260","260","260"
"13754304","260","260","260"
"13756000","260","260","260"
"13757792","260","260","260"
"13757952","260","260","260"
"13759360","260","260","260"
"13760256","260","260","260"
"13760672","260","260","260"
"13763264","260","260","260"
"13763456","260","260","260"
"13765280","250","250","250"
"13765536","240","240","240"
"13767648","260","260","260"
"13768672","260","260","260"
"13769280","260","260","260"
"13769408","260","260","260"
"13769536","260","260","260"
"13770368","260","260","260"
"13772640","260","260","260"
"13774080","260","260","260"
"13774976","260","260","260"
"13775040","260","260","260"
"13775712","260","260","260"
"13775872","260","260","260"
"13775968","260","260","260"
"13777504","260","260","260"
"13778688","260","260","260"
"13779072","260","260","260"
"13779200","250","250","250"
"13779392","260","260","260"
"13779744","260","260","260"
"13781408","260","260","260"
"13781568","260","260","260"
"13781696","260","260","260"
"13784864","260","260","260"
"13785216","260","260","260"
"13785792","260","260","260"
"13786112","260","260","260"
"13786400","260","260","260"
"13791712","260","260","260"
"13795456","260","260","260"
"13795712","260","260","260"
"13796224","260","260","260"
"13796832","260","260","260"
"13797344","260","260","260"
"13797568","260","260","260"
"13798112","260","260","260"
"13798400","260","260","260"
"13798976","260","260","260"
"13800608","240","240","240"
"13800672","260","260","260"
"13800800","260","260","260"
"13805088","260","260","260"
"13805408","230","230","230"
"13805440","260","260","260"
"13805824","260","260","260"
"13806816","260","260","260"
"13807232","260","260","260"
"13811392","260","260","260"
"13811872","250","250","250"
"13813152","260","260","260"
"13813568","260","260","260"
"13814080","260","260","260"
"13815552","260","260","260"
"13816192","260","260","260"
"13818048","260","260","260"
"13818368","250","250","250"
"13818560","260","260","260"
"13820256","250","250","250"
"13820576","260","260","260"
"13821920","260","260","260"
"13822272","260","260","260"
"13823392","260","260","260"
"13824256","260","260","260"
"13825856","250","250","250"
"13827232","260","260","260"
"13828096","240","240","240"
"13828448","260","260","260"
"13828512","260","260","260"
"13829536","260","260","260"
"13829728","230","230","230"
"13829760","260","260","260"
"13831680","260","260","260"
"13832256","260","260","260"
"13833056","260","260","260"
"13833184","260","260","260"
"13833280","260","260","260"
"13836832","280","280","280"
"13837952","260","260","260"
"13838912","240","240","240"
"13839072","260","260","260"
"13839680","230","230","230"
"13839808","260","260","260"
"13842368","260","260","260"
"13843232","260","260","260"
"13844224","260","260","260"
"13845472","260","260","260"
"13845728","260","260","260"
"13846112","260","260","260"
"13849056","260","260","260"
"13849248","260","260","260"
"13850784","250","250","250"
"13851008","260","260","260"
"13853760","250","250","250"
"13855904","260","260","260"
"13856416","260","260","260"
"13857152","260","260","260"
"13858752","220","220","220"
"13859712","260","260","260"
"13862048","260","260","260"
"13862176","260","260","260"
"13862592","260","260","260"
"13863424","240","240","240"
"13863584","260","260","260"
"13863648","260","260","260"
"13864928","260","260","260"
"13865024","240","240","240"
"13865696","260","260","260"
"13866272","260","260","260"
"13868384","260","260","260"
"13868416","260","260","260"
"13868480","260","260","260"
"13869696","260","260","260"
"13869824","260","260","260"
"13869856","260","260","260"
"13870112","260","260","260"
"13872800","260","260","260"
"13874272","260","260","260"
"13875040","260","260","260"
"13875616","260","260","260"
"13877344","250","250","250"
"13879392","260","260","260"
"13879936","260","260","260"
"13880096","260","260","260"
"13880864","260","260","260"
"13880928","260","260","260"
"13881344","260","260","260"
"13883360","260","260","260"
"13883680","250","250","250"
"13885760","250","250","250"
"13886144","260","260","260"
"13886496","250","250","250"
"13889248","260","260","260"
"13890016","270","270","270"
"13890752","260","260","260"
"13891008","260","260","260"
"13891360","260","260","260"
"13892992","260","260","260"
"13893440","260","260","260"
"13895232","260","260","260"
"13895840","270","270","270"
"13896352","260","260","260"
"13896832","260","260","260"
"13897696","260","260","260"
"13898432","260","260","260"
"13899136","250","250","250"
"13899328","260","260","260"
"13900992","260","260","260"
"13901600","260","260","260"
"13902176","260","260","260"
"13902368","260","260","260"
"13902720","260","260","260"
"13903552","260","260","260"
"13906976","260","260","260"
"13907136","240","240","240"
"13908544","260","260","260"
"13908896","260","260","260"
"13910848","260","260","260"
"13911168","260","260","260"
"13912096","260","260","260"
"13912480","260","260","260"
"13912512","260","260","260"
"13912640","260","260","260"
"13913920","260","260","260"
"13914464","260","260","260"
"13914816","260","260","260"
"13915168","260","260","260"
"13915616","260","260","260"
"13916384","260","260","260"
"13916864","260","260","260"
"13918080","260","260","260"
"13918880","250","250","250"
"13920576","260","260","260"
"13921248","260","260","260"
"13921920","260","260","260"
"13924096","260","260","260"
"13924640","260","260","260"
"13925920","260","260","260"
"13926624","230","230","230"
"13928224","260","260","260"
"13928256","260","260","260"
"13929568","260","260","260"
"13929696","260","260","260"
"13931040","260","260","260"
"13933856","240","240","240"
"13934368","260","260","260"
"13935040","260","260","260"
"13935712","260","260","260"
"13936064","260","260","260"
"13936544","260","260","260"
"13936576","260","260","260"
"13938656","260","260","260"
"13939104","260","260","260"
"13940352","260","260","260"
"13941824","230","230","230"
"13944352","260","260","260"
"13945472","260","260","260"
"13946400","210","210","210"
"13947616","260","260","260"
"13948288","260","260","260"
"13949792","230","230","230"
"13950784","260","260","260"
"13951872","260","260","260"
"13951968","260","260","260"
"13952032","220","220","220"
"13953344","260","260","260"
"13954272","260","260","260"
"13955360","260","260","260"
"13957184","260","260","260"
"13958080","260","260","260"
"13959232","260","260","260"
"13959840","260","260","260"
"13960864","260","260","260"
"13961472","260","260","260"
"13961536","260","260","260"
"13962368","260","260","260"
"13962560","260","260","260"
"13963712","270","270","270"
"13964960","260","260","260"
"13965120","260","260","260"
"13965216","250","250","250"
"13966368","260","260","260"
"13966592","260","260","260"
"13966912","260","260","260"
"13968736","260","260","260"
"13968768","260","260","260"
"13968864","250","250","250"
"13969056","260","260","260"
"13969088","260","260","260"
"13970112","260","260","260"
"13971712","260","260","260"
"13972352","260","260","260"
"13972928","250","250","250"
"13974528","260","260","260"
"13975584","260","260","260"
"13975904","260","260","260"
"13975936","260","260","260"
"13977696","280","280","280"
"13977856","260","260","260"
"13977952","260","260","260"
"13978688","260","260","260"
"13979200","260","260","260"
"13980960","260","260","260"
"13981344","260","260","260"
"13981504","220","220","220"
"13984000","260","260","260"
"13984192","260","260","260"
"13984352","260","260","260"
"13985056","260","260","260"
"13985472","260","260","260"
"13986144","260","260","260"
"13988672","260","260","260"
"13990080","240","240","240"
"13992416","260","260","260"
"13994560","260","260","260"
"13995264","260","260","260"
"13996256","250","250","250"
"13996544","260","260","260"
"13996800","260","260","260"
"13998912","260","260","260"
"13999232","230","230","230"
"13999648","260","260","260"
"14000832","260","260","260"
"14000864","240","240","240"
"14000896","260","260","260"
"14001952","260","260","260"
"14002656","260","260","260"
"14002976","260","260","260"
"14006144","260","260","260"
"14006816","260","260","260"
"14007904","260","260","260"
"14008832","260","260","260"
"14010016","260","260","260"
"14011744","250","250","250"
"14011872","260","260","260"
"14012064","260","260","260"
"14012096","260","260","260"
"14012800","260","260","260"
"14013120","260","260","260"
"14013280","250","250","250"
"14015104","260","260","260"
"14015616","260","260","260"
"14016512","240","240","240"
"14016768","260","260","260"
"14018368","260","260","260"
"14018464","260","260","260"
"14019424","260","260","260"
"14019776","260","260","260"
"14020864","260","260","260"
"14021888","230","230","230"
"14022944","260","260","260"
"14023744","250","250","250"
"14024192","250","250","250"
"14025920","260","260","260"
"14027872","260","260","260"
"14030368","260","260","260"
"14030464","260","260","260"
"14030592","260","260","260"
"14031616","260","260","260"
"14033248","220","220","220"
"14033632","260","260","260"
"14034816","260","260","260"
"14035680","260","260","260"
"14035744","260","260","260"
"14036096","230","230","230"
"14037344","260","260","260"
"14038624","260","260","260"
"14039680","260","260","260"
"14039776","260","260","260"
"14041600","260","260","260"
"14041856","260","260","260"
"14044480","240","240","240"
"14044832","270","270","270"
"14044896","220","220","220"
"14047648","260","260","260"
"14047808","260","260","260"
"14048800","260","260","260"
"14049280","260","260","260"
"14049600","250","250","250"
"14050176","260","260","260"
"14050816","260","260","260"
"14051712","260","260","260"
"14052704","260","260","260"
"14053376","240","240","240"
"14054560","260","260","260"
"14055360","240","240","240"
"14056352","260","260","260"
"14057920","260","260","260"
"14058144","250","250","250"
"14059136","250","250","250"
"14062816","260","260","260"
"14064416","260","260","260"
"14065184","260","260","260"
"14065664","260","260","260"
"14066112","260","260","260"
"14066688","260","260","260"
"14068640","240","240","240"
"14068736","260","260","260"
"14069088","260","260","260"
"14069536","260","260","260"
"14070144","260","260","260"
"14070592","260","260","260"
"14072800","260","260","260"
"14074560","260","260","260"
"14075072","260","260","260"
"14075904","260","260","260"
"14076032","260","260","260"
"14076544","240","240","240"
"14077568","240","240","240"
"14079520","260","260","260"
"14080608","230","230","230"
"14080992","260","260","260"
"14081120","260","260","260"
"14081760","260","260","260"
"14082240","230","230","230"
"14082336","260","260","260"
