"Step","a3c_Frostbite_runseed=0 - training/episode/reward","a3c_Frostbite_runseed=0 - training/episode/reward__MIN","a3c_Frostbite_runseed=0 - training/episode/reward__MAX"
"213472","160","160","160"
"213504","170","170","170"
"215360","60","60","60"
"219616","100","100","100"
"219904","190","190","190"
"220512","90","90","90"
"220928","190","190","190"
"220992","200","200","200"
"221792","80","80","80"
"222080","140","140","140"
"223104","120","120","120"
"223776","130","130","130"
"224160","130","130","130"
"224960","230","230","230"
"225216","120","120","120"
"225248","90","90","90"
"225440","120","120","120"
"225664","220","220","220"
"228800","240","240","240"
"229152","220","220","220"
"230144","120","120","120"
"230400","60","60","60"
"231360","80","80","80"
"231456","80","80","80"
"231584","90","90","90"
"231936","230","230","230"
"232160","230","230","230"
"233664","120","120","120"
"233760","90","90","90"
"234240","140","140","140"
"234336","100","100","100"
"235584","90","90","90"
"235744","120","120","120"
"236864","150","150","150"
"239200","230","230","230"
"239232","140","140","140"
"239648","110","110","110"
"240608","180","180","180"
"242240","140","140","140"
"242336","140","140","140"
"243520","80","80","80"
"243936","90","90","90"
"247616","150","150","150"
"248800","150","150","150"
"248832","110","110","110"
"248896","130","130","130"
"249184","120","120","120"
"249856","230","230","230"
"250208","130","130","130"
"251552","190","190","190"
"252608","170","170","170"
"252768","90","90","90"
"253600","140","140","140"
"255072","140","140","140"
"255136","90","90","90"
"255424","160","160","160"
"255520","70","70","70"
"255968","170","170","170"
"256160","80","80","80"
"258080","100","100","100"
"259232","70","70","70"
"260352","110","110","110"
"261408","120","120","120"
"262272","150","150","150"
"262848","130","130","130"
"264576","70","70","70"
"264672","60","60","60"
"265504","220","220","220"
"265568","120","120","120"
"265856","170","170","170"
"266720","120","120","120"
"266976","120","120","120"
"267616","130","130","130"
"268192","170","170","170"
"271104","200","200","200"
"272128","140","140","140"
"274048","130","130","130"
"274464","100","100","100"
"275936","200","200","200"
"275968","100","100","100"
"276160","160","160","160"
"276224","120","120","120"
"276768","130","130","130"
"277088","100","100","100"
"277856","140","140","140"
"277920","70","70","70"
"279872","150","150","150"
"280064","90","90","90"
"280224","130","130","130"
"280544","170","170","170"
"280896","120","120","120"
"281696","150","150","150"
"283392","150","150","150"
"284000","160","160","160"
"284832","150","150","150"
"285888","80","80","80"
"287360","150","150","150"
"287904","80","80","80"
"287968","80","80","80"
"290048","150","150","150"
"290176","110","110","110"
"292064","80","80","80"
"292480","120","120","120"
"292512","130","130","130"
"294208","140","140","140"
"295744","130","130","130"
"296224","80","80","80"
"296256","230","230","230"
"296448","130","130","130"
"296928","110","110","110"
"299008","50","50","50"
"299680","100","100","100"
"300128","100","100","100"
"300480","180","180","180"
"300672","160","160","160"
"301824","160","160","160"
"303360","30","30","30"
"303488","110","110","110"
"304384","110","110","110"
"304576","220","220","220"
"304928","130","130","130"
"305280","120","120","120"
"305504","50","50","50"
"305664","170","170","170"
"306784","140","140","140"
"308096","140","140","140"
"308320","190","190","190"
"309600","140","140","140"
"310368","60","60","60"
"310432","50","50","50"
"310528","170","170","170"
"310752","180","180","180"
"312544","120","120","120"
"313344","90","90","90"
"314016","60","60","60"
"314752","70","70","70"
"315328","180","180","180"
"315488","170","170","170"
"315648","50","50","50"
"316928","170","170","170"
"317408","110","110","110"
"317984","30","30","30"
"318144","210","210","210"
"318176","230","230","230"
"318528","140","140","140"
"319296","140","140","140"
"319968","170","170","170"
"320992","170","170","170"
"322016","90","90","90"
"323680","200","200","200"
"324832","100","100","100"
"325024","200","200","200"
"325504","30","30","30"
"325792","80","80","80"
"326624","80","80","80"
"326912","150","150","150"
"326944","110","110","110"
"327040","150","150","150"
"327840","70","70","70"
"330496","50","50","50"
"331584","190","190","190"
"332544","170","170","170"
"332704","10","10","10"
"334144","100","100","100"
"334208","170","170","170"
"334624","180","180","180"
"335200","50","50","50"
"335232","200","200","200"
"338400","210","210","210"
"339520","220","220","220"
"339744","130","130","130"
"339968","160","160","160"
"341472","130","130","130"
"342112","140","140","140"
"342912","80","80","80"
"343360","170","170","170"
"343424","270","270","270"
"343616","230","230","230"
"343968","190","190","190"
"345120","60","60","60"
"345472","200","200","200"
"346816","100","100","100"
"347488","180","180","180"
"348064","170","170","170"
"348736","110","110","110"
"348800","190","190","190"
"349760","200","200","200"
"349888","130","130","130"
"352480","120","120","120"
"354240","170","170","170"
"354304","110","110","110"
"354368","110","110","110"
"354688","180","180","180"
"354784","130","130","130"
"355584","120","120","120"
"355680","170","170","170"
"356992","80","80","80"
"357824","180","180","180"
"359968","130","130","130"
"361504","160","160","160"
"362208","160","160","160"
