"Step","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_5","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_5","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_5","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_5__MAX"
"0","0.720703125","0.720703125","0.720703125","0.6328125","0.6328125","0.6328125","","",""
"10752","","","","","","","0.12109375","0.12109375","0.12109375"
"21504","","","","0.34765625","0.34765625","0.34765625","","",""
"22752","0.673828125","0.673828125","0.673828125","","","","","",""
"23264","","","","","","","0.546875","0.546875","0.546875"
"36416","","","","0.23828125","0.23828125","0.23828125","","",""
"38144","","","","","","","0.2109375","0.2109375","0.2109375"
"38272","0.515625","0.515625","0.515625","","","","","",""
"49984","","","","","","","0.193359375","0.193359375","0.193359375"
"51008","0.689453125","0.689453125","0.689453125","","","","","",""
"51168","","","","0.357421875","0.357421875","0.357421875","","",""
"62336","0.46484375","0.46484375","0.46484375","","","","","",""
"63712","","","","0.353515625","0.353515625","0.353515625","","",""
"63840","","","","","","","0.125","0.125","0.125"
"75712","","","","","","","0.25","0.25","0.25"
"75936","0.720703125","0.720703125","0.720703125","","","","","",""
"76768","","","","0.466796875","0.466796875","0.466796875","","",""
"82912","","","","0.560546875","0.560546875","0.560546875","","",""
"89344","0.857421875","0.857421875","0.857421875","","","","0","0","0"
"101568","","","","0.337890625","0.337890625","0.337890625","","",""
"101856","0.724609375","0.724609375","0.724609375","","","","","",""
"102368","","","","","","","0.1875","0.1875","0.1875"
"114464","0.3046875","0.3046875","0.3046875","","","","0.1875","0.1875","0.1875"
"114592","","","","0.5546875","0.5546875","0.5546875","","",""
"127264","","","","0.263671875","0.263671875","0.263671875","","",""
"127552","0.87890625","0.87890625","0.87890625","","","","","",""
"127616","","","","","","","0.1875","0.1875","0.1875"
"139360","","","","0.41796875","0.41796875","0.41796875","","",""
"139904","","","","","","","0","0","0"
"140672","0.84765625","0.84765625","0.84765625","","","","","",""
"152640","0.986328125","0.986328125","0.986328125","","","","","",""
"153152","","","","","","","0","0","0"
"153536","","","","0.4609375","0.4609375","0.4609375","","",""
"165504","","","","","","","0.1875","0.1875","0.1875"
"165536","0.8125","0.8125","0.8125","","","","","",""
"166016","","","","0.37109375","0.37109375","0.37109375","","",""
"179008","","","","0.125","0.125","0.125","","",""
"179136","0.8125","0.8125","0.8125","","","","0.1875","0.1875","0.1875"
"190112","","","","","","","0.1875","0.1875","0.1875"
"191296","1","1","1","","","","","",""
"191424","","","","0.44140625","0.44140625","0.44140625","","",""
"203936","0.625","0.625","0.625","","","","","",""
"204288","","","","","","","0.1875","0.1875","0.1875"
"204544","","","","0.43359375","0.43359375","0.43359375","","",""
"216896","1","1","1","","","","","",""
"217440","","","","0.1953125","0.1953125","0.1953125","","",""
"217536","","","","","","","0","0","0"
"228832","","","","0.12109375","0.12109375","0.12109375","","",""
"229888","","","","","","","0","0","0"
"229920","1","1","1","","","","","",""
"241600","","","","","","","0","0","0"
"242784","","","","0.21875","0.21875","0.21875","","",""
"243072","0.8125","0.8125","0.8125","","","","","",""
"254656","","","","","","","0","0","0"
"255392","0.875","0.875","0.875","","","","","",""
"255904","","","","0.158203125","0.158203125","0.158203125","","",""
"266720","","","","0.14453125","0.14453125","0.14453125","","",""
"268064","","","","","","","0.1875","0.1875","0.1875"
"268736","0.9375","0.9375","0.9375","","","","","",""
"280800","0.9375","0.9375","0.9375","","","","","",""
"281056","","","","","","","0","0","0"
"281344","","","","0.12109375","0.12109375","0.12109375","","",""
"293536","0.6875","0.6875","0.6875","","","","","",""
"293792","","","","","","","0.125","0.125","0.125"
"294368","","","","0.193359375","0.193359375","0.193359375","","",""
"306592","","","","0.1015625","0.1015625","0.1015625","","",""
"306752","","","","","","","0.0625","0.0625","0.0625"
"306976","1","1","1","","","","","",""
"319648","0.8125","0.8125","0.8125","","","","0","0","0"
"319904","","","","0.43359375","0.43359375","0.43359375","","",""
"331968","","","","0.171875","0.171875","0.171875","","",""
"332416","1","1","1","","","","","",""
"332704","","","","","","","0","0","0"
"344896","1","1","1","","","","","",""
"345120","","","","","","","0","0","0"
"345376","","","","0.091796875","0.091796875","0.091796875","","",""
"357632","","","","0.07421875","0.07421875","0.07421875","","",""
"358048","1","1","1","","","","","",""
"358176","","","","","","","0","0","0"
"370848","","","","0.05078125","0.05078125","0.05078125","","",""
"371072","1","1","1","","","","0","0","0"
"383360","","","","","","","0","0","0"
"383776","","","","0.07421875","0.07421875","0.07421875","","",""
"383872","1","1","1","","","","","",""
"396448","","","","0.087890625","0.087890625","0.087890625","","",""
"396512","0.9375","0.9375","0.9375","","","","","",""
"396640","","","","","","","0.1875","0.1875","0.1875"
"409184","","","","0.048828125","0.048828125","0.048828125","","",""
"409472","0.6875","0.6875","0.6875","","","","","",""
"409536","","","","","","","0","0","0"
"421408","1","1","1","","","","","",""
