"Step","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_3","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_3","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_3","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_3__MAX"
"0","0.759765625","0.759765625","0.759765625","0.515625","0.515625","0.515625","","",""
"10752","","","","","","","0.0625","0.0625","0.0625"
"21504","","","","0.5","0.5","0.5","","",""
"22752","0.5078125","0.5078125","0.5078125","","","","","",""
"23264","","","","","","","0.4375","0.4375","0.4375"
"36416","","","","1","1","1","","",""
"38144","","","","","","","0.25","0.25","0.25"
"38272","0.419921875","0.419921875","0.419921875","","","","","",""
"49984","","","","","","","0.25","0.25","0.25"
"51008","0.28125","0.28125","0.28125","","","","","",""
"51168","","","","1","1","1","","",""
"62336","0.330078125","0.330078125","0.330078125","","","","","",""
"63712","","","","1","1","1","","",""
"63840","","","","","","","0.25","0.25","0.25"
"75712","","","","","","","0.4375","0.4375","0.4375"
"75936","0.2265625","0.2265625","0.2265625","","","","","",""
"76768","","","","0.8125","0.8125","0.8125","","",""
"82912","","","","0.806640625","0.806640625","0.806640625","","",""
"89344","0.322265625","0.322265625","0.322265625","","","","0.1875","0.1875","0.1875"
"101568","","","","1","1","1","","",""
"101856","0.12890625","0.12890625","0.12890625","","","","","",""
"102368","","","","","","","0","0","0"
"114464","0.609375","0.609375","0.609375","","","","0.1875","0.1875","0.1875"
"114592","","","","0.8125","0.8125","0.8125","","",""
"127264","","","","0.9375","0.9375","0.9375","","",""
"127552","0.0859375","0.0859375","0.0859375","","","","","",""
"127616","","","","","","","0.1875","0.1875","0.1875"
"139360","","","","0.681640625","0.681640625","0.681640625","","",""
"139904","","","","","","","0","0","0"
"140672","0.125","0.125","0.125","","","","","",""
"152640","0.1875","0.1875","0.1875","","","","","",""
"153152","","","","","","","0.1875","0.1875","0.1875"
"153536","","","","0.8125","0.8125","0.8125","","",""
"165504","","","","","","","0.1875","0.1875","0.1875"
"165536","0.375","0.375","0.375","","","","","",""
"166016","","","","0.625","0.625","0.625","","",""
"179008","","","","0.8125","0.8125","0.8125","","",""
"179136","0","0","0","","","","0.1875","0.1875","0.1875"
"190112","","","","","","","0.1875","0.1875","0.1875"
