"Step","MDM_3 - hierarchy_use/hierarchy_selected_4","MDM_3 - hierarchy_use/hierarchy_selected_4__MIN","MDM_3 - hierarchy_use/hierarchy_selected_4__MAX","MDM_2 - hierarchy_use/hierarchy_selected_4","MDM_2 - hierarchy_use/hierarchy_selected_4__MIN","MDM_2 - hierarchy_use/hierarchy_selected_4__MAX","MDM_1 - hierarchy_use/hierarchy_selected_4","MDM_1 - hierarchy_use/hierarchy_selected_4__MIN","MDM_1 - hierarchy_use/hierarchy_selected_4__MAX"
"12640","","","","","","","0.01171875","0.01171875","0.01171875"
"19744","","","","0.01875000074505806","0.01875000074505806","0.01875000074505806","","",""
"19776","0.011249999515712261","0.011249999515712261","0.011249999515712261","","","","","",""
"24288","","","","","","","0","0","0"
"37856","","","","","","","0.064453125","0.064453125","0.064453125"
"39680","0","0","0","","","","","",""
"39744","","","","0.48750001192092896","0.48750001192092896","0.48750001192092896","","",""
"50784","","","","","","","0.01171875","0.01171875","0.01171875"
"59552","0","0","0","","","","","",""
"59936","","","","1","1","1","","",""
"63648","","","","","","","0","0","0"
"76320","","","","","","","0","0","0"
"77760","0","0","0","","","","","",""
"79648","","","","0.987500011920929","0.987500011920929","0.987500011920929","","",""
"89568","","","","","","","0","0","0"
"97888","0","0","0","","","","","",""
"99744","","","","1","1","1","","",""
"101856","","","","","","","0","0","0"
"115008","","","","","","","0","0","0"
"119616","0","0","0","1","1","1","","",""
"127104","","","","","","","0.005859375","0.005859375","0.005859375"
"139584","","","","0.800000011920929","0.800000011920929","0.800000011920929","","",""
"139936","0","0","0","","","","","",""
"140544","","","","","","","0.0390625","0.0390625","0.0390625"
"153248","","","","","","","0.0546875","0.0546875","0.0546875"
"158880","","","","0.800000011920929","0.800000011920929","0.800000011920929","","",""
"159936","0","0","0","","","","","",""
"166176","","","","","","","0.046875","0.046875","0.046875"
"178592","","","","","","","0.029296875","0.029296875","0.029296875"
"179840","","","","1","1","1","","",""
"179936","0","0","0","","","","","",""
"191744","","","","","","","0.0234375","0.0234375","0.0234375"
"196480","0","0","0","","","","","",""
"199744","","","","0.800000011920929","0.800000011920929","0.800000011920929","","",""
"203840","","","","","","","0.01171875","0.01171875","0.01171875"
"216672","","","","","","","0.00390625","0.00390625","0.00390625"
"219744","","","","1","1","1","","",""
"219968","0.007499999832361937","0.007499999832361937","0.007499999832361937","","","","","",""
"229632","","","","","","","0.013671875","0.013671875","0.013671875"
"239520","","","","1","1","1","","",""
"239936","0.007499999832361937","0.007499999832361937","0.007499999832361937","","","","","",""
"241760","","","","","","","0.025390625","0.025390625","0.025390625"
"255968","","","","","","","0.037109375","0.037109375","0.037109375"
"258432","","","","1","1","1","","",""
"259776","0.01249999925494194","0.01249999925494194","0.01249999925494194","","","","","",""
"267680","","","","","","","0.04296875","0.04296875","0.04296875"
"279648","","","","1","1","1","","",""
"279904","0.00624999962747097","0.00624999962747097","0.00624999962747097","","","","","",""
"281536","","","","","","","0.048828125","0.048828125","0.048828125"
"293824","","","","","","","0.05859375","0.05859375","0.05859375"
"299072","","","","1","1","1","","",""
"299872","0.011249999515712261","0.011249999515712261","0.011249999515712261","","","","","",""
"306560","","","","","","","0.0625","0.0625","0.0625"
"319712","0.016249999403953552","0.016249999403953552","0.016249999403953552","","","","","",""
"319744","","","","1","1","1","","",""
"319776","","","","","","","0.0625","0.0625","0.0625"
"331328","","","","","","","0.0625","0.0625","0.0625"
"338976","","","","0.800000011920929","0.800000011920929","0.800000011920929","","",""
"339968","0.009999999776482582","0.009999999776482582","0.009999999776482582","","","","","",""
"345440","","","","","","","0.068359375","0.068359375","0.068359375"
"358048","","","","","","","0.091796875","0.091796875","0.091796875"
"358368","0.007499999832361937","0.007499999832361937","0.007499999832361937","","","","","",""
"359520","","","","1","1","1","","",""
"370368","","","","","","","0.1171875","0.1171875","0.1171875"
"379648","","","","1","1","1","","",""
"379744","0.0012499999720603228","0.0012499999720603228","0.0012499999720603228","","","","","",""
"382176","","","","","","","0.130859375","0.130859375","0.130859375"
"396416","","","","","","","0.140625","0.140625","0.140625"
"399552","","","","1","1","1","","",""
"399840","0.00624999962747097","0.00624999962747097","0.00624999962747097","","","","","",""
"409408","","","","","","","0.181640625","0.181640625","0.181640625"
"417984","","","","1","1","1","","",""
"419392","0.026249999180436134","0.026249999180436134","0.026249999180436134","","","","","",""
"421824","","","","","","","0.1875","0.1875","0.1875"
"435104","","","","","","","0.20703125","0.20703125","0.20703125"
"439680","0.06875000149011612","0.06875000149011612","0.06875000149011612","","","","","",""
"439776","","","","0.981249988079071","0.981249988079071","0.981249988079071","","",""
"447968","","","","","","","0.240234375","0.240234375","0.240234375"
"459936","0.14624999463558197","0.14624999463558197","0.14624999463558197","0.9750000238418579","0.9750000238418579","0.9750000238418579","","",""
"460576","","","","","","","0.255859375","0.255859375","0.255859375"
"473184","","","","","","","0.416015625","0.416015625","0.416015625"
"479840","","","","0.987500011920929","0.987500011920929","0.987500011920929","","",""
"479872","0.17499999701976776","0.17499999701976776","0.17499999701976776","","","","","",""
"486112","","","","","","","0.5703125","0.5703125","0.5703125"
"499008","","","","","","","0.66015625","0.66015625","0.66015625"
"499392","","","","0.987500011920929","0.987500011920929","0.987500011920929","","",""
"499872","0.17999999225139618","0.17999999225139618","0.17999999225139618","","","","","",""
"510272","","","","","","","0.744140625","0.744140625","0.744140625"
"519392","","","","0.987500011920929","0.987500011920929","0.987500011920929","","",""
"519744","0.19749999046325684","0.19749999046325684","0.19749999046325684","","","","","",""
"522880","","","","","","","0.810546875","0.810546875","0.810546875"
"536320","","","","","","","0.89453125","0.89453125","0.89453125"
"539264","0.20749999582767487","0.20749999582767487","0.20749999582767487","","","","","",""
"539744","","","","1","1","1","","",""
"548768","","","","","","","0.939453125","0.939453125","0.939453125"
"559360","0.1899999976158142","0.1899999976158142","0.1899999976158142","","","","","",""
"559424","","","","0.9937499761581421","0.9937499761581421","0.9937499761581421","","",""
"562400","","","","","","","0.978515625","0.978515625","0.978515625"
"574752","","","","","","","1","1","1"
"578240","0.12999999523162842","0.12999999523162842","0.12999999523162842","","","","","",""
"579328","","","","1","1","1","","",""
"588672","","","","","","","1","1","1"
"599520","0.16374999284744263","0.16374999284744263","0.16374999284744263","","","","","",""
"599936","","","","0.9937499761581421","0.9937499761581421","0.9937499761581421","","",""
"600832","","","","","","","1","1","1"
"613952","","","","","","","1","1","1"
"618496","","","","1","1","1","","",""
"619808","0.29749998450279236","0.29749998450279236","0.29749998450279236","","","","","",""
"626880","","","","","","","1","1","1"
"639680","","","","1","1","1","","",""
"639808","0.3125","0.3125","0.3125","","","","","",""
"639936","","","","","","","1","1","1"
"652032","","","","","","","1","1","1"
"659904","0.33124998211860657","0.33124998211860657","0.33124998211860657","","","","","",""
"659936","","","","1","1","1","","",""
"663552","","","","","","","1","1","1"
"678240","","","","","","","1","1","1"
"679328","0.35999998450279236","0.35999998450279236","0.35999998450279236","","","","","",""
"679744","","","","1","1","1","","",""
"690880","","","","","","","1","1","1"
"699488","","","","0.800000011920929","0.800000011920929","0.800000011920929","","",""
"699584","0.4025000035762787","0.4025000035762787","0.4025000035762787","","","","","",""
"703648","","","","","","","1","1","1"
"716704","","","","","","","1","1","1"
"719776","0.4375","0.4375","0.4375","","","","","",""
"719808","","","","1","1","1","","",""
"729504","","","","","","","1","1","1"
"738176","","","","1","1","1","","",""
"738784","0.4375","0.4375","0.4375","","","","","",""
"742176","","","","","","","1","1","1"
"754432","","","","","","","1","1","1"
"759616","0.4337500035762787","0.4337500035762787","0.4337500035762787","","","","","",""
"759840","","","","1","1","1","","",""
"767968","","","","","","","1","1","1"
"779488","0.44874998927116394","0.44874998927116394","0.44874998927116394","","","","","",""
"779712","","","","1","1","1","","",""
"780448","","","","","","","1","1","1"
"792864","","","","","","","1","1","1"
"799296","0.4737499952316284","0.4737499952316284","0.4737499952316284","","","","","",""
"799968","","","","1","1","1","","",""
"805760","","","","","","","1","1","1"
"818848","","","","","","","1","1","1"
"819488","0.5037499666213989","0.5037499666213989","0.5037499666213989","","","","","",""
"819936","","","","0.9937499761581421","0.9937499761581421","0.9937499761581421","","",""
"831136","","","","","","","1","1","1"
"839680","0.5600000023841858","0.5600000023841858","0.5600000023841858","","","","","",""
"839872","","","","1","1","1","","",""
"843872","","","","","","","1","1","1"
"857504","","","","","","","1","1","1"
"859488","","","","0.987500011920929","0.987500011920929","0.987500011920929","","",""
"859968","0.6825000047683716","0.6825000047683716","0.6825000047683716","","","","","",""
"868640","","","","","","","1","1","1"
"878848","0.8324999809265137","0.8324999809265137","0.8324999809265137","","","","","",""
"879968","","","","1","1","1","","",""
"883008","","","","","","","1","1","1"
"895712","","","","","","","1","1","1"
"899808","","","","0.9937499761581421","0.9937499761581421","0.9937499761581421","","",""
"899968","0.9487499594688416","0.9487499594688416","0.9487499594688416","","","","","",""
"908672","","","","","","","1","1","1"
"919744","0.9924999475479126","0.9924999475479126","0.9924999475479126","","","","","",""
"919808","","","","1","1","1","","",""
"921504","","","","","","","1","1","1"
"934368","","","","","","","1","1","1"
"939328","","","","0.9937499761581421","0.9937499761581421","0.9937499761581421","","",""
"939616","0.9962499737739563","0.9962499737739563","0.9962499737739563","","","","","",""
"947072","","","","","","","1","1","1"
"959232","1","1","1","","","","","",""
"959552","","","","0.9937499761581421","0.9937499761581421","0.9937499761581421","","",""
"959936","","","","","","","1","1","1"
"970976","","","","","","","1","1","1"
"979008","","","","1","1","1","","",""
"979392","0.9874999523162842","0.9874999523162842","0.9874999523162842","","","","","",""
"984992","","","","","","","1","1","1"
"997440","","","","","","","1","1","1"
"999424","","","","1","1","1","","",""
"999744","0.9975000023841858","0.9975000023841858","0.9975000023841858","","","","","",""
"1010976","","","","","","","1","1","1"
"1019488","1","1","1","","","","","",""
"1019936","","","","1","1","1","","",""
"1023232","","","","","","","1","1","1"
"1036448","","","","","","","1","1","1"
"1039904","","","","0.9937499761581421","0.9937499761581421","0.9937499761581421","","",""
"1039936","0.9962499737739563","0.9962499737739563","0.9962499737739563","","","","","",""
"1049280","","","","","","","1","1","1"
"1059872","","","","1","1","1","","",""
"1059936","1","1","1","","","","","",""
"1061760","","","","","","","1","1","1"
"1074784","","","","","","","1","1","1"
"1078944","","","","1","1","1","","",""
"1079872","1","1","1","","","","","",""
"1087872","","","","","","","1","1","1"
"1098752","","","","1","1","1","","",""
"1099744","","","","","","","1","1","1"
"1099936","1","1","1","","","","","",""
"1112128","","","","","","","1","1","1"
"1119488","0.9975000023841858","0.9975000023841858","0.9975000023841858","","","","","",""
"1119872","","","","1","1","1","","",""
"1126112","","","","","","","1","1","1"
"1138080","","","","","","","1","1","1"
"1139232","0.9912499785423279","0.9912499785423279","0.9912499785423279","","","","","",""
"1139712","","","","1","1","1","","",""
"1151040","","","","","","","1","1","1"
"1159424","0.96875","0.96875","0.96875","","","","","",""
"1159936","","","","1","1","1","","",""
"1164320","","","","","","","1","1","1"
"1177376","","","","","","","1","1","1"
"1179904","","","","1","1","1","","",""
"1179968","0.9724999666213989","0.9724999666213989","0.9724999666213989","","","","","",""
"1190080","","","","","","","1","1","1"
"1199712","","","","0.9937499761581421","0.9937499761581421","0.9937499761581421","","",""
"1199840","0.96875","0.96875","0.96875","","","","","",""
"1202656","","","","","","","1","1","1"
"1215872","","","","","","","1","1","1"
"1218432","","","","1","1","1","","",""
"1219680","0.9924999475479126","0.9924999475479126","0.9924999475479126","","","","","",""
"1228736","","","","","","","1","1","1"
"1238304","1","1","1","","","","","",""
"1239424","","","","0.9937499761581421","0.9937499761581421","0.9937499761581421","","",""
"1241280","","","","","","","1","1","1"
"1253568","","","","","","","1","1","1"
"1259808","1","1","1","","","","","",""
"1259936","","","","0.9937499761581421","0.9937499761581421","0.9937499761581421","","",""
"1266176","","","","","","","1","1","1"
"1278720","","","","","","","1","1","1"
"1278944","","","","0.987500011920929","0.987500011920929","0.987500011920929","","",""
"1279712","1","1","1","","","","","",""
"1292640","","","","","","","1","1","1"
"1299552","1","1","1","","","","","",""
"1299872","","","","1","1","1","","",""
"1305056","","","","","","","1","1","1"
"1318304","","","","","","","1","1","1"
"1319328","","","","0.9937499761581421","0.9937499761581421","0.9937499761581421","","",""
"1319808","1","1","1","","","","","",""
"1331008","","","","","","","1","1","1"
"1339520","","","","1","1","1","","",""
"1339552","1","1","1","","","","","",""
"1343840","","","","","","","1","1","1"
"1356128","","","","","","","1","1","1"
"1358816","","","","1","1","1","","",""
"1359936","1","1","1","","","","","",""
"1369408","","","","","","","1","1","1"
"1378432","","","","1","1","1","","",""
"1379584","1","1","1","","","","","",""
"1381984","","","","","","","1","1","1"
"1395040","","","","","","","1","1","1"
"1399104","0.9962499737739563","0.9962499737739563","0.9962499737739563","","","","","",""
"1399712","","","","1","1","1","","",""
"1405664","","","","","","","1","1","1"
"1419424","","","","1","1","1","","",""
"1419584","1","1","1","","","","","",""
"1420352","","","","","","","1","1","1"
"1433248","","","","","","","1","1","1"
"1439744","1","1","1","","","","","",""
"1439808","","","","1","1","1","","",""
"1445184","","","","","","","1","1","1"
"1458656","","","","","","","1","1","1"
"1459264","","","","1","1","1","","",""
"1459648","1","1","1","","","","","",""
"1471776","","","","","","","1","1","1"
