"Step","MDM_3 - hierarchy_use/hierarchy_selected_5","MDM_3 - hierarchy_use/hierarchy_selected_5__MIN","MDM_3 - hierarchy_use/hierarchy_selected_5__MAX","MDM_2 - hierarchy_use/hierarchy_selected_5","MDM_2 - hierarchy_use/hierarchy_selected_5__MIN","MDM_2 - hierarchy_use/hierarchy_selected_5__MAX","MDM_1 - hierarchy_use/hierarchy_selected_5","MDM_1 - hierarchy_use/hierarchy_selected_5__MIN","MDM_1 - hierarchy_use/hierarchy_selected_5__MAX"
"742176","","","","","","","1","1","1"
"754432","","","","","","","1","1","1"
"759616","1","1","1","","","","","",""
"759840","","","","0","0","0","","",""
"767968","","","","","","","1","1","1"
"779488","1","1","1","","","","","",""
"779712","","","","0","0","0","","",""
"780448","","","","","","","0.994140625","0.994140625","0.994140625"
"792864","","","","","","","1","1","1"
"799296","1","1","1","","","","","",""
"799968","","","","0","0","0","","",""
"805760","","","","","","","1","1","1"
"818848","","","","","","","1","1","1"
"819488","1","1","1","","","","","",""
"819936","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"831136","","","","","","","1","1","1"
"839680","1","1","1","","","","","",""
"839872","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"843872","","","","","","","0.994140625","0.994140625","0.994140625"
"857504","","","","","","","1","1","1"
"859488","","","","0.012500000186264515","0.012500000186264515","0.012500000186264515","","",""
"859968","1","1","1","","","","","",""
"868640","","","","","","","1","1","1"
"878848","1","1","1","","","","","",""
"879968","","","","0","0","0","","",""
"883008","","","","","","","1","1","1"
"895712","","","","","","","0.998046875","0.998046875","0.998046875"
"899808","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"899968","1","1","1","","","","","",""
"908672","","","","","","","0.984375","0.984375","0.984375"
"919744","0.9887499809265137","0.9887499809265137","0.9887499809265137","","","","","",""
"919808","","","","0","0","0","","",""
"921504","","","","","","","1","1","1"
"934368","","","","","","","1","1","1"
"939328","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"939616","0.9712499976158142","0.9712499976158142","0.9712499976158142","","","","","",""
"947072","","","","","","","0.990234375","0.990234375","0.990234375"
"959232","0.9424999952316284","0.9424999952316284","0.9424999952316284","","","","","",""
"959552","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"959936","","","","","","","0.998046875","0.998046875","0.998046875"
"970976","","","","","","","0.994140625","0.994140625","0.994140625"
"979008","","","","0","0","0","","",""
"979392","0.9737499952316284","0.9737499952316284","0.9737499952316284","","","","","",""
"984992","","","","","","","1","1","1"
"997440","","","","","","","1","1","1"
"999424","","","","0","0","0","","",""
"999744","1","1","1","","","","","",""
"1010976","","","","","","","0.994140625","0.994140625","0.994140625"
"1019488","1","1","1","","","","","",""
"1019936","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"1023232","","","","","","","1","1","1"
"1036448","","","","","","","1","1","1"
"1039904","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"1039936","1","1","1","","","","","",""
"1049280","","","","","","","1","1","1"
"1059872","","","","0","0","0","","",""
"1059936","1","1","1","","","","","",""
"1061760","","","","","","","1","1","1"
"1074784","","","","","","","0.98828125","0.98828125","0.98828125"
"1078944","","","","0","0","0","","",""
"1079872","1","1","1","","","","","",""
"1087872","","","","","","","0.98046875","0.98046875","0.98046875"
"1098752","","","","0","0","0","","",""
"1099744","","","","","","","0.99609375","0.99609375","0.99609375"
"1099936","1","1","1","","","","","",""
"1112128","","","","","","","1","1","1"
"1119488","1","1","1","","","","","",""
"1119872","","","","0","0","0","","",""
"1126112","","","","","","","1","1","1"
"1138080","","","","","","","1","1","1"
"1139232","0.9962499737739563","0.9962499737739563","0.9962499737739563","","","","","",""
"1139712","","","","0","0","0","","",""
"1151040","","","","","","","0.994140625","0.994140625","0.994140625"
"1159424","0.9962499737739563","0.9962499737739563","0.9962499737739563","","","","","",""
"1159936","","","","0","0","0","","",""
"1164320","","","","","","","0.970703125","0.970703125","0.970703125"
"1177376","","","","","","","1","1","1"
"1179904","","","","0","0","0","","",""
"1179968","0.9962499737739563","0.9962499737739563","0.9962499737739563","","","","","",""
"1190080","","","","","","","1","1","1"
