"Step","MDM_3 - hierarchy_use/hierarchy_selected_3","MDM_3 - hierarchy_use/hierarchy_selected_3__MIN","MDM_3 - hierarchy_use/hierarchy_selected_3__MAX","MDM_2 - hierarchy_use/hierarchy_selected_3","MDM_2 - hierarchy_use/hierarchy_selected_3__MIN","MDM_2 - hierarchy_use/hierarchy_selected_3__MAX","MDM_1 - hierarchy_use/hierarchy_selected_3","MDM_1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_1 - hierarchy_use/hierarchy_selected_3__MAX"
"12640","","","","","","","0.388671875","0.388671875","0.388671875"
"19744","","","","0.5687500238418579","0.5687500238418579","0.5687500238418579","","",""
"19776","0.5012499690055847","0.5012499690055847","0.5012499690055847","","","","","",""
"24288","","","","","","","0.32421875","0.32421875","0.32421875"
"37856","","","","","","","0.048828125","0.048828125","0.048828125"
"39680","0.9699999690055847","0.9699999690055847","0.9699999690055847","","","","","",""
"39744","","","","1","1","1","","",""
"50784","","","","","","","0.646484375","0.646484375","0.646484375"
"59552","1","1","1","","","","","",""
"59936","","","","1","1","1","","",""
"63648","","","","","","","0.974609375","0.974609375","0.974609375"
"76320","","","","","","","0.845703125","0.845703125","0.845703125"
"77760","1","1","1","","","","","",""
"79648","","","","1","1","1","","",""
"89568","","","","","","","0.486328125","0.486328125","0.486328125"
"97888","0.9824999570846558","0.9824999570846558","0.9824999570846558","","","","","",""
"99744","","","","1","1","1","","",""
"101856","","","","","","","0.134765625","0.134765625","0.134765625"
"115008","","","","","","","0.0234375","0.0234375","0.0234375"
"119616","0.9462499618530273","0.9462499618530273","0.9462499618530273","1","1","1","","",""
"127104","","","","","","","0","0","0"
"139584","","","","0.800000011920929","0.800000011920929","0.800000011920929","","",""
"139936","0.9412499666213989","0.9412499666213989","0.9412499666213989","","","","","",""
"140544","","","","","","","0","0","0"
"153248","","","","","","","0","0","0"
"158880","","","","0.800000011920929","0.800000011920929","0.800000011920929","","",""
"159936","0.9124999642372131","0.9124999642372131","0.9124999642372131","","","","","",""
"166176","","","","","","","0","0","0"
"178592","","","","","","","0","0","0"
"179840","","","","1","1","1","","",""
"179936","0.90625","0.90625","0.90625","","","","","",""
"191744","","","","","","","0","0","0"
"196480","0.8974999785423279","0.8974999785423279","0.8974999785423279","","","","","",""
"199744","","","","0.800000011920929","0.800000011920929","0.800000011920929","","",""
"203840","","","","","","","0","0","0"
"216672","","","","","","","0","0","0"
"219744","","","","1","1","1","","",""
"219968","0.875","0.875","0.875","","","","","",""
"229632","","","","","","","0","0","0"
"239520","","","","1","1","1","","",""
"239936","0.875","0.875","0.875","","","","","",""
"241760","","","","","","","0","0","0"
"255968","","","","","","","0","0","0"
"258432","","","","1","1","1","","",""
"259776","0.8662499785423279","0.8662499785423279","0.8662499785423279","","","","","",""
"267680","","","","","","","0","0","0"
"279648","","","","1","1","1","","",""
