"Step","a3c_Gravitar_runseed=0 - training/episode/reward","a3c_Gravitar_runseed=0 - training/episode/reward__MIN","a3c_Gravitar_runseed=0 - training/episode/reward__MAX"
"271424","250","250","250"
"271776","0","0","0"
"272352","100","100","100"
"273280","0","0","0"
"273696","0","0","0"
"274080","0","0","0"
"274400","0","0","0"
"276928","0","0","0"
"277632","600","600","600"
"279008","250","250","250"
"279584","350","350","350"
"280192","100","100","100"
"280640","250","250","250"
"281088","100","100","100"
"281280","350","350","350"
"282400","0","0","0"
"283136","0","0","0"
"283296","500","500","500"
"285056","350","350","350"
"286176","250","250","250"
"286496","350","350","350"
"286560","0","0","0"
"288192","300","300","300"
"290272","0","0","0"
"291456","0","0","0"
"291872","0","0","0"
"293344","600","600","600"
"294624","0","0","0"
"294752","600","600","600"
"295232","600","600","600"
"297248","0","0","0"
"298976","100","100","100"
"300064","250","250","250"
"300192","0","0","0"
"301120","600","600","600"
"301664","0","0","0"
"302016","0","0","0"
"302208","300","300","300"
"302368","0","0","0"
"302496","100","100","100"
"304736","250","250","250"
"308192","100","100","100"
"308896","100","100","100"
"308960","0","0","0"
"309600","250","250","250"
"310176","0","0","0"
"311328","100","100","100"
"311648","500","500","500"
"312672","0","0","0"
"312928","0","0","0"
"314112","350","350","350"
"316224","100","100","100"
"317120","500","500","500"
"318624","250","250","250"
"319456","450","450","450"
"321088","250","250","250"
"321920","250","250","250"
"323360","350","350","350"
"323488","500","500","500"
"323552","250","250","250"
"324512","100","100","100"
"324960","450","450","450"
"326112","0","0","0"
"328288","100","100","100"
"328320","450","450","450"
"328992","100","100","100"
"330048","0","0","0"
"330240","0","0","0"
"331520","350","350","350"
"333664","0","0","0"
"333792","100","100","100"
"335072","0","0","0"
"335488","700","700","700"
"336320","350","350","350"
"336992","100","100","100"
"337504","250","250","250"
"337888","600","600","600"
"339168","450","450","450"
"339360","100","100","100"
"339392","100","100","100"
"340064","0","0","0"
"342464","100","100","100"
"342848","250","250","250"
"346560","100","100","100"
"346880","550","550","550"
"349248","350","350","350"
"351104","100","100","100"
"351328","100","100","100"
"354752","500","500","500"
"354880","700","700","700"
"355488","350","350","350"
"358048","350","350","350"
"358592","600","600","600"
"359616","0","0","0"
"361888","250","250","250"
"362944","0","0","0"
"363072","250","250","250"
"363168","100","100","100"
"365536","250","250","250"
"367008","0","0","0"
"367328","450","450","450"
"369856","500","500","500"
"371296","350","350","350"
"371936","500","500","500"
"373760","700","700","700"
"373792","600","600","600"
"374016","450","450","450"
"377824","250","250","250"
"377856","0","0","0"
"378112","250","250","250"
"378272","250","250","250"
"378528","0","0","0"
"380896","0","0","0"
"382240","0","0","0"
"386368","600","600","600"
"387200","100","100","100"
"387488","250","250","250"
"389120","0","0","0"
"390304","0","0","0"
"390528","0","0","0"
"390816","0","0","0"
"391360","500","500","500"
"391648","450","450","450"
"391712","100","100","100"
"392672","600","600","600"
"392928","100","100","100"
"392992","250","250","250"
"394592","250","250","250"
"395744","250","250","250"
"396672","0","0","0"
"397632","450","450","450"
"403520","0","0","0"
