"Step","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3__MAX"
"575808","","","","","","","0.8125","0.8125","0.8125"
"588384","","","","","","","1","1","1"
"588512","0","0","0","","","","","",""
"588672","","","","0.951171875","0.951171875","0.951171875","","",""
"600672","","","","","","","0.8125","0.8125","0.8125"
"601504","","","","0.787109375","0.787109375","0.787109375","","",""
"601536","0","0","0","","","","","",""
"613664","","","","","","","0.806640625","0.806640625","0.806640625"
"613920","0.1875","0.1875","0.1875","","","","","",""
"614240","","","","0.775390625","0.775390625","0.775390625","","",""
"625824","","","","0.9375","0.9375","0.9375","","",""
"626144","0","0","0","","","","","",""
"626624","","","","","","","0.9921875","0.9921875","0.9921875"
"639616","","","","0.927734375","0.927734375","0.927734375","","",""
"639904","0","0","0","","","","0.9921875","0.9921875","0.9921875"
"652224","","","","0.923828125","0.923828125","0.923828125","","",""
"652544","","","","","","","0.998046875","0.998046875","0.998046875"
"652640","0","0","0","","","","","",""
"664992","","","","0.927734375","0.927734375","0.927734375","","",""
"665504","0","0","0","","","","","",""
"665536","","","","","","","1","1","1"
"677600","0","0","0","","","","","",""
"677856","","","","0.99609375","0.99609375","0.99609375","","",""
"678304","","","","","","","1","1","1"
"690720","","","","","","","0.994140625","0.994140625","0.994140625"
"691104","","","","0.994140625","0.994140625","0.994140625","","",""
"691136","0.005859375","0.005859375","0.005859375","","","","","",""
"703552","","","","","","","0.98828125","0.98828125","0.98828125"
"703680","0","0","0","","","","","",""
"703744","","","","0.978515625","0.978515625","0.978515625","","",""
"716224","","","","0.986328125","0.986328125","0.986328125","","",""
"716416","0","0","0","","","","","",""
"716736","","","","","","","0.984375","0.984375","0.984375"
"728992","0","0","0","","","","","",""
"729536","","","","","","","0.96875","0.96875","0.96875"
"729568","","","","1","1","1","","",""
"741024","","","","","","","0.974609375","0.974609375","0.974609375"
"742208","0","0","0","","","","","",""
"742336","","","","0.994140625","0.994140625","0.994140625","","",""
"754208","","","","1","1","1","","",""
"754752","","","","","","","0.947265625","0.947265625","0.947265625"
"755072","0","0","0","","","","","",""
"767168","","","","","","","0.9375","0.9375","0.9375"
"767360","","","","1","1","1","","",""
"767584","0","0","0","","","","","",""
"780000","","","","0.994140625","0.994140625","0.994140625","","",""
"780288","","","","","","","0.8984375","0.8984375","0.8984375"
"780576","0","0","0","","","","","",""
"793024","0","0","0","","","","","",""
"793504","","","","0.8125","0.8125","0.8125","0.689453125","0.689453125","0.689453125"
"805600","","","","1","1","1","","",""
"805984","0.005859375","0.005859375","0.005859375","","","","","",""
"806304","","","","","","","0.873046875","0.873046875","0.873046875"
"817824","0","0","0","","","","","",""
"818496","","","","","","","0.830078125","0.830078125","0.830078125"
"819008","","","","0.998046875","0.998046875","0.998046875","","",""
"831488","0","0","0","","","","","",""
"831744","","","","","","","0.8125","0.8125","0.8125"
"831936","","","","0.984375","0.984375","0.984375","","",""
"844256","","","","","","","0.771484375","0.771484375","0.771484375"
"844352","","","","1","1","1","","",""
"844576","0.01171875","0.01171875","0.01171875","","","","","",""
"856672","","","","1","1","1","","",""
"856736","","","","","","","0.75","0.75","0.75"
"857376","0","0","0","","","","","",""
"869056","","","","1","1","1","","",""
"869184","","","","","","","0.775390625","0.775390625","0.775390625"
"870080","0.01171875","0.01171875","0.01171875","","","","","",""
"882848","","","","","","","0.689453125","0.689453125","0.689453125"
"883008","","","","0.982421875","0.982421875","0.982421875","","",""
"883040","0","0","0","","","","","",""
"894528","0","0","0","","","","","",""
"895008","","","","0.998046875","0.998046875","0.998046875","","",""
"895904","","","","","","","0.720703125","0.720703125","0.720703125"
"907712","0","0","0","","","","","",""
"908288","","","","0.986328125","0.986328125","0.986328125","","",""
"908544","","","","","","","0.65234375","0.65234375","0.65234375"
"920864","","","","0.986328125","0.986328125","0.986328125","","",""
"921056","0","0","0","","","","","",""
"921472","","","","","","","0.625","0.625","0.625"
"931840","0.017578125","0.017578125","0.017578125","","","","","",""
"933728","","","","0.994140625","0.994140625","0.994140625","","",""
"933984","","","","","","","0.6171875","0.6171875","0.6171875"
"946336","0","0","0","","","","","",""
"946688","","","","","","","0.59375","0.59375","0.59375"
"946816","","","","0.994140625","0.994140625","0.994140625","","",""
"959424","","","","","","","0.5703125","0.5703125","0.5703125"
"959872","0","0","0","","","","","",""
"959904","","","","1","1","1","","",""
"972192","","","","","","","0.54296875","0.54296875","0.54296875"
"972416","0","0","0","","","","","",""
"972544","","","","1","1","1","","",""
"985312","","","","1","1","1","","",""
"985504","","","","","","","0.515625","0.515625","0.515625"
"985536","0","0","0","","","","","",""
"997312","0","0","0","","","","","",""
"998240","","","","1","1","1","","",""
"998272","","","","","","","0.40625","0.40625","0.40625"
"1010240","","","","","","","0.47265625","0.47265625","0.47265625"
"1010432","0","0","0","","","","","",""
"1010976","","","","1","1","1","","",""
"1023360","0","0","0","","","","","",""
"1023584","","","","","","","0.404296875","0.404296875","0.404296875"
"1023936","","","","1","1","1","","",""
"1036256","","","","","","","0.177734375","0.177734375","0.177734375"
"1036672","0.005859375","0.005859375","0.005859375","","","","","",""
"1036704","","","","1","1","1","","",""
"1048992","","","","0.8125","0.8125","0.8125","","",""
"1049280","0","0","0","","","","","",""
"1049344","","","","","","","0.248046875","0.248046875","0.248046875"
"1061248","","","","","","","0.03125","0.03125","0.03125"
"1061600","","","","1","1","1","","",""
"1062208","0","0","0","","","","","",""
"1073632","0","0","0","","","","","",""
"1075008","","","","0.98828125","0.98828125","0.98828125","0.013671875","0.013671875","0.013671875"
"1087392","0.0078125","0.0078125","0.0078125","","","","","",""
"1087776","","","","0.986328125","0.986328125","0.986328125","","",""
"1087936","","","","","","","0","0","0"
"1100192","","","","","","","0","0","0"
