"Step","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_5","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_5","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_5","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_5__MAX"
"12224","0.375","0.375","0.375","","","","","",""
"12544","","","","1","1","1","","",""
"12608","","","","","","","0.8125","0.8125","0.8125"
"24288","0.375","0.375","0.375","","","","","",""
"24416","","","","","","","0.802734375","0.802734375","0.802734375"
"25568","","","","0.62109375","0.62109375","0.62109375","","",""
"35840","","","","","","","0.365234375","0.365234375","0.365234375"
"37280","0.5625","0.5625","0.5625","","","","","",""
"38336","","","","0.798828125","0.798828125","0.798828125","","",""
"51008","0.375","0.375","0.375","","","","","",""
"51040","","","","","","","0.375","0.375","0.375"
"51168","","","","0.4375","0.4375","0.4375","","",""
"63360","","","","","","","0.375","0.375","0.375"
"63616","0.125","0.125","0.125","","","","","",""
"63968","","","","0.806640625","0.806640625","0.806640625","","",""
"75936","0.0625","0.0625","0.0625","","","","","",""
"76416","","","","1","1","1","","",""
"76704","","","","","","","0","0","0"
"88928","","","","1","1","1","","",""
"89376","0","0","0","","","","","",""
"89440","","","","","","","0.001953125","0.001953125","0.001953125"
"101824","","","","0.8125","0.8125","0.8125","","",""
"102272","0","0","0","","","","","",""
"102368","","","","","","","0.197265625","0.197265625","0.197265625"
"114560","","","","","","","0.005859375","0.005859375","0.005859375"
"114656","0.1875","0.1875","0.1875","","","","","",""
"114912","","","","1","1","1","","",""
"127168","","","","","","","0","0","0"
"127200","0.25","0.25","0.25","","","","","",""
"127872","","","","0.8125","0.8125","0.8125","","",""
"140704","","","","1","1","1","","",""
"140768","0.125","0.125","0.125","","","","0.005859375","0.005859375","0.005859375"
"153184","0.375","0.375","0.375","","","","","",""
"153376","","","","","","","0","0","0"
"153440","","","","0.806640625","0.806640625","0.806640625","","",""
"165440","","","","0.8125","0.8125","0.8125","","",""
"165760","","","","","","","0.201171875","0.201171875","0.201171875"
"166208","0.375","0.375","0.375","","","","","",""
"178048","","","","","","","0.009765625","0.009765625","0.009765625"
"178560","0.375","0.375","0.375","","","","","",""
"179168","","","","1","1","1","","",""
"191136","0","0","0","","","","","",""
"191488","","","","","","","0.375","0.375","0.375"
"191904","","","","0.625","0.625","0.625","","",""
"204384","","","","0.982421875","0.982421875","0.982421875","","",""
"204416","0","0","0","","","","","",""
"204576","","","","","","","0.005859375","0.005859375","0.005859375"
"217184","0","0","0","","","","","",""
"217408","","","","","","","0.005859375","0.005859375","0.005859375"
"217440","","","","1","1","1","","",""
"230080","","","","0.8125","0.8125","0.8125","","",""
"230176","","","","","","","0.193359375","0.193359375","0.193359375"
"230272","0","0","0","","","","","",""
"241312","","","","","","","0.375","0.375","0.375"
"242496","","","","0.625","0.625","0.625","","",""
"243104","0.1875","0.1875","0.1875","","","","","",""
"255840","","","","0.8125","0.8125","0.8125","0.1875","0.1875","0.1875"
"255968","0","0","0","","","","","",""
"268480","0","0","0","","","","","",""
"268544","","","","1","1","1","","",""
"268640","","","","","","","0.01171875","0.01171875","0.01171875"
"281024","0","0","0","","","","","",""
"281184","","","","1","1","1","","",""
"281408","","","","","","","0.01171875","0.01171875","0.01171875"
"293664","","","","","","","0.19921875","0.19921875","0.19921875"
"293856","","","","0.80859375","0.80859375","0.80859375","","",""
"294080","0","0","0","","","","","",""
"306592","","","","0.9921875","0.9921875","0.9921875","","",""
"306656","0","0","0","","","","","",""
"306944","","","","","","","0.052734375","0.052734375","0.052734375"
"318560","0.1875","0.1875","0.1875","","","","","",""
"319744","","","","","","","0.033203125","0.033203125","0.033203125"
"319904","","","","0.994140625","0.994140625","0.994140625","","",""
"332672","0.125","0.125","0.125","","","","","",""
"332704","","","","0.984375","0.984375","0.984375","0.10546875","0.10546875","0.10546875"
"344832","","","","","","","0.130859375","0.130859375","0.130859375"
"344960","","","","0.998046875","0.998046875","0.998046875","","",""
"345120","0.25","0.25","0.25","","","","","",""
"358176","","","","1","1","1","","",""
"358208","","","","","","","0.146484375","0.146484375","0.146484375"
"358368","0","0","0","","","","","",""
"370656","","","","1","1","1","","",""
"370752","0","0","0","","","","","",""
"370816","","","","","","","0.2109375","0.2109375","0.2109375"
"383648","0","0","0","1","1","1","","",""
"383808","","","","","","","0.216796875","0.216796875","0.216796875"
"396320","","","","0.8125","0.8125","0.8125","0.177734375","0.177734375","0.177734375"
"396544","0.0078125","0.0078125","0.0078125","","","","","",""
"408544","0.0078125","0.0078125","0.0078125","","","","","",""
"408928","","","","","","","0.365234375","0.365234375","0.365234375"
"409440","","","","1","1","1","","",""
"421536","0.189453125","0.189453125","0.189453125","","","","","",""
"422144","","","","1","1","1","","",""
"422336","","","","","","","0.177734375","0.177734375","0.177734375"
"434624","","","","1","1","1","","",""
"434816","0.1875","0.1875","0.1875","","","","","",""
"435168","","","","","","","0.228515625","0.228515625","0.228515625"
"445280","","","","1","1","1","","",""
"446656","","","","","","","0.244140625","0.244140625","0.244140625"
"447008","0","0","0","","","","","",""
"460288","","","","","","","0.3125","0.3125","0.3125"
"460416","","","","1","1","1","","",""
"460736","0.1875","0.1875","0.1875","","","","","",""
"472608","0.0625","0.0625","0.0625","","","","","",""
"473120","","","","","","","0.337890625","0.337890625","0.337890625"
"473472","","","","1","1","1","","",""
"485664","0.125","0.125","0.125","","","","","",""
"485760","","","","","","","0.466796875","0.466796875","0.466796875"
"486240","","","","0.8125","0.8125","0.8125","","",""
"498592","","","","1","1","1","","",""
"498944","0","0","0","","","","0.34375","0.34375","0.34375"
"511712","","","","1","1","1","","",""
"511872","0","0","0","","","","","",""
"511904","","","","","","","0.357421875","0.357421875","0.357421875"
"524352","0","0","0","","","","","",""
"524576","","","","1","1","1","","",""
"524736","","","","","","","0.453125","0.453125","0.453125"
"537120","","","","","","","0.337890625","0.337890625","0.337890625"
"537216","","","","0.8125","0.8125","0.8125","","",""
"537536","0","0","0","","","","","",""
"550304","","","","0.8125","0.8125","0.8125","0.298828125","0.298828125","0.298828125"
"550368","0","0","0","","","","","",""
"562592","0","0","0","","","","","",""
"563104","","","","","","","0.375","0.375","0.375"
"563168","","","","1","1","1","","",""
"575008","","","","0.9765625","0.9765625","0.9765625","","",""
"575328","0","0","0","","","","","",""
"575808","","","","","","","0.4921875","0.4921875","0.4921875"
"588384","","","","","","","0.375","0.375","0.375"
"588512","0","0","0","","","","","",""
"588672","","","","0.96875","0.96875","0.96875","","",""
"600672","","","","","","","0.3046875","0.3046875","0.3046875"
"601504","","","","0.791015625","0.791015625","0.791015625","","",""
"601536","0","0","0","","","","","",""
"613664","","","","","","","0.515625","0.515625","0.515625"
"613920","0.1875","0.1875","0.1875","","","","","",""
"614240","","","","0.8125","0.8125","0.8125","","",""
"625824","","","","1","1","1","","",""
"626144","0","0","0","","","","","",""
"626624","","","","","","","0.408203125","0.408203125","0.408203125"
"639616","","","","0.99609375","0.99609375","0.99609375","","",""
"639904","0","0","0","","","","0.4140625","0.4140625","0.4140625"
"652224","","","","0.974609375","0.974609375","0.974609375","","",""
"652544","","","","","","","0.4375","0.4375","0.4375"
"652640","0","0","0","","","","","",""
"664992","","","","0.962890625","0.962890625","0.962890625","","",""
"665504","0","0","0","","","","","",""
"665536","","","","","","","0.443359375","0.443359375","0.443359375"
"677600","0","0","0","","","","","",""
"677856","","","","0.943359375","0.943359375","0.943359375","","",""
"678304","","","","","","","0.556640625","0.556640625","0.556640625"
"690720","","","","","","","0.5","0.5","0.5"
"691104","","","","0.888671875","0.888671875","0.888671875","","",""
"691136","0","0","0","","","","","",""
"703552","","","","","","","0.51953125","0.51953125","0.51953125"
"703680","0","0","0","","","","","",""
"703744","","","","0.806640625","0.806640625","0.806640625","","",""
"716224","","","","0.7890625","0.7890625","0.7890625","","",""
"716416","0.005859375","0.005859375","0.005859375","","","","","",""
"716736","","","","","","","0.578125","0.578125","0.578125"
"728992","0","0","0","","","","","",""
"729536","","","","","","","0.75390625","0.75390625","0.75390625"
"729568","","","","0.765625","0.765625","0.765625","","",""
"741024","","","","","","","0.970703125","0.970703125","0.970703125"
"742208","0.001953125","0.001953125","0.001953125","","","","","",""
"742336","","","","0.705078125","0.705078125","0.705078125","","",""
"754208","","","","0.69140625","0.69140625","0.69140625","","",""
"754752","","","","","","","1","1","1"
"755072","0.00390625","0.00390625","0.00390625","","","","","",""
"767168","","","","","","","1","1","1"
"767360","","","","0.70703125","0.70703125","0.70703125","","",""
"767584","0","0","0","","","","","",""
"780000","","","","0.73828125","0.73828125","0.73828125","","",""
"780288","","","","","","","1","1","1"
"780576","0","0","0","","","","","",""
"793024","0","0","0","","","","","",""
"793504","","","","0.74609375","0.74609375","0.74609375","0.8125","0.8125","0.8125"
"805600","","","","0.771484375","0.771484375","0.771484375","","",""
"805984","0","0","0","","","","","",""
"806304","","","","","","","1","1","1"
"817824","0","0","0","","","","","",""
"818496","","","","","","","1","1","1"
"819008","","","","0.697265625","0.697265625","0.697265625","","",""
"831488","0","0","0","","","","","",""
"831744","","","","","","","1","1","1"
"831936","","","","0.70703125","0.70703125","0.70703125","","",""
"844256","","","","","","","1","1","1"
"844352","","","","0.658203125","0.658203125","0.658203125","","",""
"844576","0","0","0","","","","","",""
"856672","","","","0.625","0.625","0.625","","",""
"856736","","","","","","","1","1","1"
"857376","0","0","0","","","","","",""
"869056","","","","0.53515625","0.53515625","0.53515625","","",""
"869184","","","","","","","0.875","0.875","0.875"
"870080","0.1875","0.1875","0.1875","","","","","",""
"882848","","","","","","","0.9375","0.9375","0.9375"
"883008","","","","0.55078125","0.55078125","0.55078125","","",""
"883040","0","0","0","","","","","",""
