"Step","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_4","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_4__MAX","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_4","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_4__MAX","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_4","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_4__MAX"
"12224","1","1","1","","","","","",""
"12544","","","","0","0","0","","",""
"12608","","","","","","","0.1875","0.1875","0.1875"
"24288","0.8125","0.8125","0.8125","","","","","",""
"24416","","","","","","","0.1875","0.1875","0.1875"
"25568","","","","0.1875","0.1875","0.1875","","",""
"35840","","","","","","","0.1875","0.1875","0.1875"
"37280","0.8125","0.8125","0.8125","","","","","",""
"38336","","","","0.375","0.375","0.375","","",""
"51008","0.625","0.625","0.625","","","","","",""
"51040","","","","","","","0.9375","0.9375","0.9375"
"51168","","","","0.375","0.375","0.375","","",""
"63360","","","","","","","0","0","0"
"63616","0.625","0.625","0.625","","","","","",""
"63968","","","","0.375","0.375","0.375","","",""
"75936","1","1","1","","","","","",""
"76416","","","","0","0","0","","",""
"76704","","","","","","","0","0","0"
"88928","","","","0","0","0","","",""
"89376","0.8125","0.8125","0.8125","","","","","",""
"89440","","","","","","","0.1875","0.1875","0.1875"
"101824","","","","0","0","0","","",""
"102272","1","1","1","","","","","",""
"102368","","","","","","","0.1875","0.1875","0.1875"
"114560","","","","","","","0","0","0"
"114656","0.8125","0.8125","0.8125","","","","","",""
"114912","","","","0","0","0","","",""
"127168","","","","","","","0.1875","0.1875","0.1875"
"127200","1","1","1","","","","","",""
"127872","","","","0.1875","0.1875","0.1875","","",""
"140704","","","","0","0","0","","",""
"140768","1","1","1","","","","0","0","0"
"153184","0.8125","0.8125","0.8125","","","","","",""
"153376","","","","","","","0.1875","0.1875","0.1875"
"153440","","","","0","0","0","","",""
"165440","","","","0","0","0","","",""
"165760","","","","","","","0.1875","0.1875","0.1875"
"166208","0.75","0.75","0.75","","","","","",""
"178048","","","","","","","0","0","0"
"178560","0.6875","0.6875","0.6875","","","","","",""
"179168","","","","0","0","0","","",""
"191136","1","1","1","","","","","",""
